Time,Pathogen_Virus,Recombinant_Virus,Normal_Th_cells,Single_Infected_Th_Cells,Double_Infected_Th_Cells,d,lamda,beta,a,alpha,b,k,u,c,q,Plasma,Production_of_Normal_cells,Degradation_of_Normal_cells,Infection_of_Normal_cells_with_Pathogen,Degradation_of_Single_Infected_Cells,Infection_of_Single_Infeced_Cells_with_Recombinant_Virus,Release_of_Pathogen,Degradation_of_Double_Infected_Cells,Release_of_Recombinant_Virus,Degradation_of_Pathogen_Virus,Degradation_of_Recombinant_Virus
46.2,6.0051395281960485,215.7123579088668,26.7027295239939,0.3183624380201743,0.15277474427379598,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.267027295239939,0.6414144663010537,0.10505960454665751,0.27469884869978906,15.918121901008714,0.30554948854759195,305.549488547592,12.010279056392097,431.4247158177336
46.5,7.434352008491893,186.0075993041431,27.006962353618366,0.41120440666069213,0.1492284455059353,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2700696235361837,0.8031170592675506,0.13569745419802842,0.3059485780249597,20.560220333034607,0.2984568910118706,298.4568910118706,14.868704016983786,372.0151986082862
46.8,9.468128715629126,171.0622203065917,27.252154688606986,0.537805388416312,0.15789368983667373,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2725215468860699,1.032107633479867,0.17747577817738297,0.36799273534137317,26.8902694208156,0.31578737967334747,315.78737967334746,18.93625743125825,342.1244406131834
47.1,12.259588396074674,170.49241141357402,27.415923418276684,0.7051568267604678,0.18243274148084762,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.27415923418276683,1.3444317464255071,0.23270175283095437,0.48089555127654404,35.25784133802339,0.36486548296169524,364.86548296169525,24.51917679214935,340.98482282714804
47.4,15.94856885283062,186.8940440203927,27.47148266366731,0.9155467785068723,0.23159440581371277,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2747148266366731,1.7525233310033632,0.3021304369072679,0.6844409596999684,45.777338925343614,0.46318881162742553,463.18881162742554,31.89713770566124,373.7880880407854
47.7,20.559954976600697,227.69146627588327,27.390391492625472,1.1566303207984763,0.3231745329775702,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2739039149262547,2.252580863519386,0.3816880058634972,1.0534194147270013,57.83151603992381,0.6463490659551404,646.3490659551404,41.11990995320139,455.38293255176654
48.0,25.784556036986753,308.39154473540015,27.15073638753903,1.3830965309105872,0.48938759379696284,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2715073638753903,2.8002787353198215,0.4564218552004938,1.7061411027427564,69.15482654552936,0.9787751875939257,978.7751875939257,51.56911207397351,616.7830894708003
48.3,30.62977918272451,455.46999717544145,26.75418095788301,1.4980774352154071,0.7738959460065905,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2675418095788301,3.2778986198184374,0.49436555362108436,2.7293173007446163,74.90387176077036,1.547791892013181,1547.791892013181,61.25955836544902,910.9399943508829
48.6,33.24737497935912,697.64122983808,26.250093598638777,1.3834037978074079,1.1853262039491075,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2625009359863878,3.4909868204688723,0.4565232532764446,3.860478107460122,69.1701898903704,2.370652407898215,2370.652407898215,66.49474995871824,1395.28245967616
48.9,31.870722556398626,1023.5745869326847,25.74517789768607,1.0414250575076747,1.5932033245981458,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2574517789768607,3.282069687769115,0.34367026897753267,4.263904892239061,52.071252875383735,3.1864066491962917,3186.4066491962917,63.74144511279725,2047.1491738653694
