Time,s1,s2,s3,rho_E,beta_a,delta_Es,pi_a,c_V,default,re1,re3,re5,re6,re7
8.1,0.00010567335273221428,12683.388103893705,352316.3357888207,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.72304484251333e-05,6.551747869397285e-12,7610.032862336223,1479728.610313047,1268338.8103893704
8.25,0.00010044165873581298,11591.744606791715,321992.90540636017,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.234150152017854e-05,6.227382841620405e-12,6955.046764075029,1352370.2027067128,1159174.4606791716
8.4,9.592508982251771e-05,10594.057541195436,294279.3758922227,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2.8228775565375913e-05,5.947355568996098e-12,6356.434524717261,1235973.3787473354,1059405.7541195436
8.549999999999999,9.198346689604512e-05,9682.240174388455,268951.1157423403,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2.4739056051539957e-05,5.702974947554797e-12,5809.344104633073,1129594.6861178293,968224.0174388455
8.7,8.848376441283221e-05,8848.901796471891,245802.82748377492,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2.1749559479082378e-05,5.485993393595597e-12,5309.341077883135,1032371.8754318547,884890.1796471891
8.85,8.539310511902513e-05,8087.287809752159,224646.88343459237,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.918329493179153e-05,5.2943725173795574e-12,4852.3726858512955,943516.910425288,808728.7809752158
9.0,8.2703271692465e-05,7391.224986045063,205311.80502830035,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.6979957992925925e-05,5.127602844932831e-12,4434.734991627038,862309.5811188616,739122.4986045063
9.15,8.032901693661386e-05,6755.07141925503,187640.87263573054,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.5073006835956603e-05,4.9803990500700595e-12,4053.042851553018,788091.6650700683,675507.141925503
9.299999999999999,7.817868830513139e-05,6173.6707905410985,171490.8551811676,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.3406930114388929e-05,4.847078674918146e-12,3704.202474324659,720261.591760904,617367.0790541099
9.45,7.62532232117561e-05,5642.310582956263,156730.84942623987,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.1951232445467203e-05,4.727699839128879e-12,3385.3863497737575,658269.5675902074,564231.0582956263
9.6,7.457220963702355e-05,5156.683919287738,143241.21989376613,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.0681814278580915e-05,4.62347699749546e-12,3094.010351572643,601613.1235538177,515668.3919287738
9.75,7.308253798825089e-05,4712.854540530351,130912.62605024473,6.2e-08,1e-06,0.6,100.0,4.2,1.0,9.567426966458693e-06,4.531117355271555e-12,2827.712724318211,549833.0294110279,471285.4540530351
9.9,7.170825819261815e-05,4307.225005712668,119645.13897838593,6.2e-08,1e-06,0.6,100.0,4.2,1.0,8.57954451735378e-06,4.445912007942325e-12,2584.3350034276004,502509.5837092209,430722.50057126675
10.049999999999999,7.045921003035545e-05,3936.507500336814,109347.43050185544,6.2e-08,1e-06,0.6,100.0,4.2,1.0,7.704533572009929e-06,4.368471021882038e-12,2361.904500202088,459259.2081077929,393650.7500336814
10.2,6.937701604845774e-05,3597.6971881394784,99936.03294855321,6.2e-08,1e-06,0.6,100.0,4.2,1.0,6.933263761690977e-06,4.3013749950043795e-12,2158.618312883687,419731.3383839235,359769.71881394787
10.35,6.84202122647125e-05,3288.0478557040096,91334.66260978558,6.2e-08,1e-06,0.6,100.0,4.2,1.0,6.24913700288743e-06,4.2420531604121754e-12,1972.8287134224056,383605.58296109946,328804.78557040094
10.5,6.751658725044293e-05,3005.0496526971233,83473.601419116,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5.6358526933224425e-06,4.186028409527462e-12,1803.029791618274,350589.12596028723,300504.9652697123
10.65,6.66819832260814e-05,2746.408748205289,76289.13185338843,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5.087110610579959e-06,4.134282960017047e-12,1647.8452489231734,320414.3537842314,274640.8748205289
10.799999999999999,6.596662966694524e-05,2510.028751063692,69723.02082641875,6.2e-08,1e-06,0.6,100.0,4.2,1.0,4.599392694117076e-06,4.089931039350605e-12,1506.0172506382153,292836.6874709588,251002.87510636923
10.95,6.534185586222942e-05,2293.9936944429965,63722.047035861,6.2e-08,1e-06,0.6,100.0,4.2,1.0,4.163716812663433e-06,4.051195063458224e-12,1376.3962166657977,267632.5975506162,229399.36944429963
11.1,6.473789784999124e-05,2096.5525071625134,58237.56961384509,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.770177832692857e-06,4.013749666699457e-12,1257.931504297508,244597.79237814937,209655.25071625135
11.25,6.416551082820694e-05,1916.1048375561463,53225.1343488884,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.4152179343963678e-06,3.978261671348831e-12,1149.6629025336877,223545.56426533128,191610.48375561464
11.4,6.368624442826388e-05,1751.1880741236102,48644.113145660245,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.0979608797906425e-06,3.948547154552361e-12,1050.712844474166,204305.27521177303,175118.80741236103
11.549999999999999,6.327950130714857e-05,1600.4654905707714,44457.37471690202,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2.813240501510595e-06,3.923329081043211e-12,960.2792943424628,186720.9738109885,160046.54905707715
11.7,6.287907899352943e-05,1462.7154109964324,40630.98361919678,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2.5548388285762745e-06,3.898502897598825e-12,877.6292465978594,170650.13120062646,146271.54109964325
11.85,6.250174530824228e-05,1336.821307518541,37133.92519050239,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2.3209351345521023e-06,3.875108209111021e-12,802.0927845111246,155962.48580011007,133682.1307518541
12.0,6.216489342176651e-05,1221.7627508172873,33937.854172741514,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2.1097430876119297e-06,3.854223392149524e-12,733.0576504903723,142538.98752551436,122176.27508172873
12.15,6.186752522462354e-05,1116.6071483889166,31016.865218198123,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.918936691275621e-06,3.83578656392666e-12,669.9642890333499,130270.83391643212,111660.71483889165
12.299999999999999,6.159616057979158e-05,1020.5021582837394,28347.282161064082,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.7460837439935645e-06,3.818961955947078e-12,612.3012949702436,119058.58507646916,102050.21582837394
12.45,6.13447132092705e-05,932.668805367605,25907.46680334174,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.5892861210296952e-06,3.803372218974771e-12,559.601283220563,108811.36057403531,93266.88053676051
12.6,6.111543719488528e-05,852.3951598935517,23677.64331906073,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.4470695231889512e-06,3.789157106082887e-12,511.437095936131,99446.10194005507,85239.51598935518
12.75,6.090860314423615e-05,779.0305670052771,21639.73796215505,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.3180462116821632e-06,3.7763333949426414e-12,467.4183402031663,90886.89944105121,77903.05670052771
12.9,6.072067376578386e-05,711.9803728893557,19777.232570970977,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.2008868869319635e-06,3.764681773478599e-12,427.1882237336134,83064.37679807811,71198.03728893558
13.049999999999999,6.054862804118091e-05,650.701104833399,18075.030681309232,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.0944183095555252e-06,3.754014938553216e-12,390.42066290003936,75915.12886149877,65070.1104833399
13.2,6.039144161363987e-05,594.6960661347365,16519.33516264558,6.2e-08,1e-06,0.6,100.0,4.2,1.0,9.976264649710585e-07,3.7442693800456715e-12,356.81763968084186,69381.20768311144,59469.60661347365
13.35,6.024840948592359e-05,543.5113125337862,15097.53645221915,6.2e-08,1e-06,0.6,100.0,4.2,1.0,9.096025584019574e-07,3.735401388127263e-12,326.10678752027167,63409.653099320436,54351.13125337862
13.5,6.011824691067034e-05,496.7319690103723,13798.110243870355,6.2e-08,1e-06,0.6,100.0,4.2,1.0,8.295181985416476e-07,3.727331308461561e-12,298.0391814062234,57952.06302425549,49673.196901037234
13.65,5.999945190241798e-05,453.9788655520304,12610.524037249137,6.2e-08,1e-06,0.6,100.0,4.2,1.0,7.566245304372154e-07,3.719966017949915e-12,272.38731933121824,52964.20095644638,45397.88655520304
13.799999999999999,5.989094888408011e-05,414.90546858932805,11525.151899905784,6.2e-08,1e-06,0.6,100.0,4.2,1.0,6.90252283318516e-07,3.713238830812967e-12,248.9432811535968,48405.6379796043,41490.54685893281
13.95,5.979197030981049e-05,379.19507025556925,10533.196391110856,6.2e-08,1e-06,0.6,100.0,4.2,1.0,6.298005658847033e-07,3.70710215920825e-12,227.51704215334155,44239.4248426656,37919.50702555692
14.1,5.9701718160760064e-05,346.55822132789984,9626.617254663082,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5.747255901794051e-07,3.701506525967124e-12,207.9349327967399,40431.79246958495,34655.82213278998
14.25,5.961935728564819e-05,316.73038511151447,8798.066249038939,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5.24535055124255e-07,3.696400151710187e-12,190.03823106690868,36951.87824596354,31673.038511151448
14.399999999999999,5.9544156243334654e-05,289.46979325100517,8040.827586599406,6.2e-08,1e-06,0.6,100.0,4.2,1.0,4.787842941421904e-07,3.691737687086748e-12,173.6818759506031,33771.475863717504,28946.979325100518
14.549999999999999,5.947550294855453e-05,264.5554860895732,7348.763499106544,6.2e-08,1e-06,0.6,100.0,4.2,1.0,4.370714051593412e-07,3.6874811828103805e-12,158.73329165374392,30864.806696247488,26455.54860895732
14.7,5.941283865605553e-05,241.78552395699188,6716.264551275873,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.9903234215633864e-07,3.683595996675443e-12,145.0713143741951,28208.311115358665,24178.55239569919
14.85,5.935563267091195e-05,220.9753442753044,6138.204004830773,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.6433698216985594e-07,3.680049225596541e-12,132.58520656518263,25780.456820289248,22097.534427530438
15.0,5.930339430555151e-05,201.9562709258504,5609.896412034637,6.2e-08,1e-06,0.6,100.0,4.2,1.0,3.3268589893618877e-07,3.676810446944194e-12,121.17376255551022,23561.56493054548,20195.62709258504
