Time,z_i,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,R0,a0,a1,k,u,lambda,d,beta,gamma,alpha,phi,eta,pa,ca,r,ba,p_i,ci,bi,xi,COMpartment,Host_cell_proliferation,Host_cell_death,Infection_1,Infection_2,Infected_cell_death_1,Infected_cell_infection_progression_1,Infected_cell_infection_progression_2,CTL_induced_infected_cell_death_1,Infected_cell_death_2,CTL_induced_infected_cell_death_2,Infected_cell_death_3,Virus_particle_production,Viral_particle_degradation,Precursor_T_cell_differentiation_2,Infection_induced_CTL_proliferation_stimulation,CTL_cell_death,Naive_CTL_division_1,Naive_CTL_division_2,Naive_CTL_division_3,Naive_CTL_division_4,Naive_CTL_division_5,Naive_CTL_division_6,Naive_CTL_division_7,Naive_CTL_division_8,Precursor_T_cell_differentiation_1,NK_cell_production,NK_infection_induced_production,NK_cell_death,NK_induced_infected_cell_death_1,NK_induced_infected_cell_death_2
52.0,0.5183427798108678,99.41843197804513,9.375039836169178e-05,1.230395390776939e-06,0.0004692797472801102,1.1857750445639042e-06,26.041635097300173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.941843197804515,1.1788789560923994e-05,5.894394780461997e-05,9.375039836169178e-06,9.375039836169178e-07,4.6927974728011026e-05,2.441413664361705e-09,2.460790781553878e-07,3.20415077920131e-11,4.6927974728011026e-05,1.230395390776939e-06,1.1857750445639042e-06,0.0,0.03833855516838263,2.6041635097300175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005907913039475681,0.051834277981086786,4.859484209517555e-05,6.377665671217975e-07
52.5,0.49822240923462296,99.44676056923375,9.377275826746102e-05,1.2585267877640762e-06,0.0004529496314484123,1.2092383812630452e-06,24.78981072362614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.944676056923376,1.2025483977259384e-05,6.0127419886296924e-05,9.377275826746102e-06,9.377275826746102e-07,4.529496314484123e-05,2.3246089284827066e-09,2.5170535755281527e-07,3.119864085928465e-11,4.529496314484123e-05,1.2585267877640762e-06,1.2092383812630452e-06,0.0,0.03651501732480087,2.4789810723626142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005681605895145177,0.049822240923462296,4.671968954459034e-05,6.27026248286129e-07
53.0,0.4790728873922265,99.47370685189028,9.403503839906858e-05,1.2894264888021684e-06,0.0004387652444787378,1.2351217655848073e-06,23.598192184797274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.947370685189028,1.2286214043617229e-05,6.143107021808614e-05,9.40350383990686e-06,9.403503839906859e-07,4.3876524447873785e-05,2.2190569082460116e-09,2.578852977604337e-07,3.0428134090921916e-11,4.3876524447873785e-05,1.2894264888021684e-06,1.2351217655848073e-06,0.0,0.03486701815622247,2.3598192184797275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005480083995954138,0.04790728873922265,4.5049637361880676e-05,6.177292710704752e-07
53.5,0.4608480656998503,99.49933811088012,9.45413438600842e-05,1.3233047259874316e-06,0.0004265821260190285,1.2636061943815598e-06,22.463927295401454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.949933811088012,1.2572797997377332e-05,6.286398998688667e-05,9.45413438600842e-06,9.45413438600842e-07,4.265821260190285e-05,2.12376987488248e-09,2.6466094519748634e-07,2.97266211542428e-11,4.265821260190285e-05,1.3233047259874316e-06,1.2636061943815598e-06,0.0,0.0333791956885692,2.2463927295401453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.000530148454438644,0.04608480656998504,4.356919544658422e-05,6.098424233027783e-07
54.0,0.44350389959748243,99.52371843675712,9.529710790235576e-05,1.3603868159415289e-06,0.0004162734527972915,1.2948875231019235e-06,21.38429215808079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.952371843675714,1.2887202125646568e-05,6.443601062823284e-05,9.529710790235577e-06,9.529710790235576e-07,4.162734527972915e-05,2.037861197204125e-09,2.720773631883058e-07,2.909090912009493e-11,4.162734527972915e-05,1.3603868159415289e-06,1.2948875231019235e-06,0.0,0.03203775764802541,2.138429215808079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005144157099946549,0.04435038995974824,4.226463897505684e-05,6.033368578310706e-07
54.5,0.4269984378625089,99.54690875650132,9.630894040046174e-05,1.4009183131206233e-06,0.0004077295285825616,1.3291786727660651e-06,20.356690620385688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.954690875650133,1.3231562805893102e-05,6.615781402946551e-05,9.630894040046174e-06,9.630894040046174e-07,4.077295285825616e-05,1.9605313037093637e-09,2.8018366262412464e-07,2.851806068462913e-11,4.077295285825616e-05,1.4009183131206233e-06,1.3291786727660651e-06,0.0,0.030830265148106887,2.035669062038569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005006634844135935,0.04269984378625089,4.112376710319063e-05,5.981899312754872e-07
55.0,0.41129171014065824,99.56896701624463,9.758479598571166e-05,1.4451666409569349e-06,0.0004008564460840436,1.3667078428327527e-06,19.378647520568897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.956896701624464,1.360816881238572e-05,6.804084406192859e-05,9.758479598571168e-06,9.758479598571167e-07,4.008564460840437e-05,1.8910613647737327e-09,2.89033328191387e-07,2.8005374943588985e-11,4.008564460840437e-05,1.4451666409569349e-06,1.3667078428327527e-06,0.0,0.02974553446561849,1.93786475205689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.000488762432206656,0.041129171014065824,4.013581762469059e-05,5.943850591974084e-07
55.5,0.39634563595838834,99.5899483292748,9.913409313014666e-05,1.493420771773741e-06,0.0003955749280737525,1.407723842387347e-06,18.447803217379764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.95899483292748,1.4019514472524408e-05,7.009757236262204e-05,9.913409313014666e-06,9.913409313014667e-07,3.955749280737525e-05,1.8288062421983446e-09,2.986841543547482e-07,2.7550332518429386e-11,3.955749280737525e-05,1.493420771773741e-06,1.407723842387347e-06,0.0,0.02877352690811,1.8447803217379766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00047859931190841844,0.039634563595838834,3.929136518682608e-05,5.919108055421304e-07
56.0,0.3821239406666229,99.60990511318896,0.00010096776681338408,1.545994608434163e-06,0.0003918193598733249,1.4524979074873383e-06,17.56190852231574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.960990511318897,1.4468317874191929e-05,7.234158937095965e-05,1.009677668133841e-05,1.0096776681338409e-06,3.918193598733249e-05,1.773186684479158e-09,3.0919892168683265e-07,2.715061588931411e-11,3.918193598733249e-05,1.545994608434163e-06,1.4524979074873383e-06,0.0,0.02790522815571132,1.7561908522315741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00047007554984475857,0.0382123940666623,3.8582200935039e-05,5.907615520242151e-07
56.5,0.3685920739752362,99.62888722108934,0.0001030983850810461,1.6032297201680628e-06,0.000389537133121918,1.5013228093614363e-06,16.718819771618854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.962888722108936,1.4957512085631956e-05,7.478756042815977e-05,1.030983850810461e-05,1.030983850810461e-06,3.89537133121918e-05,1.723683318914968e-09,3.2064594403361255e-07,2.680410874399277e-11,3.89537133121918e-05,1.6032297201680628e-06,1.5013228093614363e-06,0.0,0.02713255512871389,1.6718819771618856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00046310622417762977,0.03685920739752362,3.800124758052033e-05,5.909377676154838e-07
57.0,0.3557171323823974,99.64694206560681,0.00010554026725612204,1.6654973379546222e-06,0.00038868797445634935,1.5545160465697881e-06,15.91649411830418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.964694206560681,1.5490277043259582e-05,7.745138521629791e-05,1.0554026725612204e-05,1.0554026725612204e-06,3.886879744563494e-05,1.6798310430263177e-09,3.3309946759092445e-07,2.6508878583606013e-11,3.886879744563494e-05,1.6654973379546222e-06,1.5545160465697881e-06,0.0,0.026448268784953818,1.591649411830418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0004576191258752076,0.03557171323823974,3.7542481219219564e-05,5.924459370477348e-07
57.5,0.34346778485355745,99.66411473736459,0.00010830959192633458,1.7332012487396062e-06,0.0003892432927400829,1.6124242397420512e-06,15.15298500729996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.966411473736459,1.6070083443495966e-05,8.035041721747983e-05,1.0830959192633459e-05,1.0830959192633457e-06,3.892432927400829e-05,1.6412136226065246e-09,3.4664024974792124e-07,2.626317253678482e-11,3.892432927400829e-05,1.7332012487396062e-06,1.6124242397420512e-06,0.0,0.0258458903247213,1.5152985007299962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00045355385293129074,0.03434677848535574,3.720085561733089e-05,5.952987936100122e-07
58.0,0.33181420429134945,99.68044811325963,0.00011142454200768337,1.806781009771458e-06,0.00039118582750025593,1.675423862246177e-06,14.426437990313394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.968044811325964,1.670070013683471e-05,8.350350068417355e-05,1.1142454200768338e-05,1.1142454200768338e-06,3.91185827500256e-05,1.607459245872914e-09,3.613562019542916e-07,2.6065414199543754e-11,3.91185827500256e-05,1.806781009771458e-06,1.675423862246177e-06,0.0,0.025319632231123095,1.4426437990313394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00045086113617472237,0.033181420429134946,3.6972245744807497e-05,5.995156030860372e-07
58.5,0.32072799105326943,99.69598297662347,0.00011490548090813666,1.886715384597251e-06,0.00039450934122390094,1.7439239239031188e-06,13.735086040111382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.969598297662348,1.7386220982997176e-05,8.693110491498586e-05,1.1490548090813668e-05,1.1490548090813666e-06,3.94509341223901e-05,1.5782366667536327e-09,3.773430769194502e-07,2.5914198140645078e-11,3.94509341223901e-05,1.886715384597251e-06,1.7439239239031188e-06,0.0,0.024864338405861306,1.3735086040111382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0004495023178520118,0.03207279910532695,3.685340405267648e-05,6.051224349911729e-07
59.0,0.310182118083635,99.71075810320046,0.00011877508345979016,1.9735258481693003e-06,0.0003992183521508683,1.818370320811991e-06,13.077246173301624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.971075810320047,1.8131108320052346e-05,9.065554160026173e-05,1.1877508345979016e-05,1.1877508345979015e-06,3.9921835215086836e-05,1.5532510056581217e-09,3.947051696338601e-07,2.5808283345883822e-11,3.9921835215086836e-05,1.9735258481693003e-06,1.818370320811991e-06,0.0,0.02447541897956209,1.3077246173301624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0004494487126895543,0.0310182118083635,3.684190696311823e-05,6.121524276779558e-07
59.5,0.3001508641068224,99.72481036511192,0.00012305854754308382,2.067780589711868e-06,0.00040532804003379994,1.8992483272708877e-06,12.451315332454728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.972481036511192,1.8940217927334532e-05,9.470108963667265e-05,1.2305854754308382e-05,1.2305854754308383e-06,4.053280400338e-05,1.5322407798128087e-09,4.135561179423736e-07,2.5746588160831657e-11,4.053280400338e-05,2.067780589711868e-06,1.8992483272708877e-06,0.0,0.024148804203591424,1.2451315332454729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00045068130613886906,0.03001508641068224,3.69361293807871e-05,6.206461307853319e-07
60.0,0.2906097527209347,99.738174825383,0.00012778380027820156,2.1700991783671146e-06,0.00041286421705031103,1.9870867999502978e-06,11.855766613265699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.973817482538301,1.9818841064665364e-05,9.909420532332683e-05,1.2778380027820157e-05,1.2778380027820156e-06,4.128642170503111e-05,1.514974913054514e-09,4.3401983567342296e-07,2.5728189386360163e-11,4.128642170503111e-05,2.1700991783671146e-06,1.9870867999502978e-06,0.0,0.02388089808783355,1.18557666132657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00045319044703433556,0.029060975272093472,3.713521860058946e-05,6.306519856051708e-07
60.5,0.2815354982113697,99.75088482176024,0.00013298171092447088,2.2811572203769683e-06,0.00042186339479979656,2.0824621938616446e-06,11.28914589642707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.975088482176025,2.0772744644556307e-05,0.00010386372322278153,1.3298171092447088e-05,1.329817109244709e-06,4.2186339479979656e-05,1.5012499361828414e-09,4.5623144407539366e-07,2.5752316673523633e-11,4.2186339479979656e-05,2.2811572203769683e-06,2.0824621938616446e-06,0.0,0.023668534919273655,1.128914589642707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0004569755876719026,0.02815354982113697,3.743907223812125e-05,6.422267345372931e-07
61.0,0.27290596325687766,99.76297203173021,0.00013868629877164006,2.4016905763243047e-06,0.00043237293615003736,2.186002065393318e-06,10.75006920475106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.976297203173022,2.180820629111381e-05,0.00010904103145556904,1.3868629877164007e-05,1.3868629877164007e-06,4.3237293615003736e-05,1.4908873095459124e-09,4.803381152648609e-07,2.581833990388473e-11,4.3237293615003736e-05,2.4016905763243047e-06,2.186002065393318e-06,0.0,0.02350893756647186,1.075006920475106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0004620450436437877,0.02729059632568777,3.784831795680556e-05,6.5543568017675e-07
61.5,0.26470008961944475,99.77446657925094,0.00014493506037670354,2.532502157376943e-06,0.00044445128133652363,2.2983908013421063e-06,10.237218375723378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.977446657925094,2.2932071619456578e-05,0.00011466035809728288,1.4493506037670355e-05,1.4493506037670355e-06,4.444512813365237e-05,1.4837318633749668e-09,5.065004314753887e-07,2.592577762205834e-11,4.444512813365237e-05,2.532502157376943e-06,2.2983908013421063e-06,0.0,0.02339969343545389,1.0237218375723378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00046841612422478615,0.026470008961944475,3.836432347071306e-05,6.703535480191141e-07
62.0,0.256897850136488,99.78539710823314,0.00015176929764056232,2.6744688413058144e-06,0.0004581684154199232,2.4203756312525767e-06,9.749338021840098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.978539710823314,2.415181435156288e-05,0.00012075907175781441,1.5176929764056232e-05,1.5176929764056231e-06,4.5816841541992324e-05,1.4796501840351007e-09,5.348937682611629e-07,2.6074300762769403e-11,4.5816841541992324e-05,2.6744688413058144e-06,2.4203756312525767e-06,0.0,0.02333872951436699,0.9749338021840098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00047611525891408455,0.025689785013648804,3.8989206280585226e-05,6.870652955884878e-07
62.5,0.24948022248121526,99.79579082278912,0.00015923430144495788,2.828545507292324e-06,0.0004736061320290548,2.5527700312603116e-06,9.285233867074956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.979579082278912,2.547557040583389e-05,0.00012737785202916944,1.5923430144495787e-05,1.5923430144495788e-06,4.736061320290548e-05,1.4785277285767455e-09,5.657091014584648e-07,2.6263706538873397e-11,4.736061320290548e-05,2.828545507292324e-06,2.5527700312603116e-06,0.0,0.023324267244292093,0.9285233867074956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0004851777013630382,0.024948022248121527,3.972580895112899e-05,7.056661624575308e-07
63.0,0.24242912179854528,99.80567359045322,0.00016737983519115847,2.9957755133375953e-06,0.0004908587465087287,2.6964626411328527e-06,8.843768472032442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.980567359045324,2.6912227020975694e-05,0.00013456113510487846,1.673798351911585e-05,1.6737983519115847e-06,4.908587465087287e-05,1.4802685093175533e-09,5.991551026675191e-07,2.6493945034141828e-11,4.908587465087287e-05,2.9957755133375953e-06,2.6964626411328527e-06,0.0,0.023354818042451278,0.8843768472032443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0004956481161477818,0.02424291217985453,4.0577746452177794e-05,7.262632268040194e-07
63.5,0.2357273666930361,99.81506999403432,0.00017626052774056498,3.1772982551241265e-06,0.0005100338084025107,2.8524236201412353e-06,8.423859031328579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.981506999403432,2.847148632970342e-05,0.00014235743164851708,1.7626052774056498e-05,1.7626052774056498e-06,5.100338084025108e-05,1.4847938384740999e-09,6.354596510248253e-07,2.676511260165191e-11,5.100338084025108e-05,3.1772982551241265e-06,2.8524236201412353e-06,0.0,0.023429163741674152,0.842385903132858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.000507580874485044,0.02357273666930361,4.154943005620822e-05,7.489761508787887e-07
64.0,0.22935866024941,99.82400336072907,0.00018593606047846703,3.374353156944326e-06,0.0005312524304947437,3.021708160336253e-06,8.024476151297304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.982400336072907,3.0163900555254862e-05,0.0001508195027762743,1.8593606047846703e-05,1.8593606047846703e-06,5.312524304947437e-05,1.4920394829756316e-09,6.748706313888652e-07,2.7077416433954507e-11,5.312524304947437e-05,3.374353156944326e-06,3.021708160336253e-06,0.0,0.02354631194084859,0.8024476151297304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005210397941121551,0.022935866024941003,4.264604572339447e-05,7.739371192851177e-07
64.5,0.2233075154496868,99.83249587633277,0.0001964720017666659,3.5882969251762377e-06,0.0005546508215122101,3.2054715627151923e-06,7.644639016451022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.983249587633278,3.200102265664665e-05,0.0001600051132832332,1.964720017666659e-05,1.964720017666659e-06,5.546508215122101e-05,1.5019575303456879e-09,7.176593850352476e-07,2.7431234676813495e-11,5.546508215122101e-05,3.5882969251762377e-06,3.2054715627151923e-06,0.0,0.023705525857848773,0.7644639016451023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005360996188919698,0.02233075154496868,4.3873674569940635e-05,8.012936710568563e-07
65.0,0.21755924853898034,99.84056859564383,0.00020794000239677353,3.820607469265497e-06,0.0005803807168980076,3.4049722339263084e-06,7.283414920710745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.984056859564383,3.399543638875822e-05,0.00016997718194379112,2.0794000239677355e-05,2.0794000239677353e-06,5.803807168980076e-05,1.5145133160692883e-09,7.641214938530993e-07,2.7827069447827235e-11,5.803807168980076e-05,3.820607469265497e-06,3.4049722339263084e-06,0.0,0.023906275975515295,0.7283414920710745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005528457498313396,0.021755924853898035,4.523927066263582e-05,8.31208489975817e-07
65.5,0.21209992918051826,99.84824151921552,0.00022041856808843605,4.072899700543802e-06,0.000608610928394865,3.6215848326929075e-06,6.939915967385915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.984824151921552,3.616088770570492e-05,0.00018080443852852457,2.2041856808843606e-05,2.2041856808843606e-06,6.0861092839486504e-05,1.5296863401852768e-09,8.145799401087604e-07,2.8265581665365242e-11,6.0861092839486504e-05,4.072899700543802e-06,3.6215848326929075e-06,0.0,0.024148254788684955,0.6939915967385916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005713754930360787,0.021209992918051826,4.675076268162853e-05,8.638617380446943e-07
66.0,0.20691635733148112,99.85553362944933,0.00023399352285585436,4.3469355225953165e-06,0.0006395283822688401,3.856809316724329e-06,6.613297493188639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.985553362944934,3.8512375242853974e-05,0.00019256187621426984,2.339935228558544e-05,2.339935228558544e-06,6.395283822688401e-05,1.5474687781250001e-09,8.693871045190634e-07,2.8747577794632252e-11,6.395283822688401e-05,4.3469355225953165e-06,3.856809316724329e-06,0.0,0.0244313535167543,0.6613297493188639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005917984734286116,0.02069163573314811,4.841708738849405e-05,8.994520638902411e-07
66.5,0.201996041659143,99.86246292444076,0.0002487585717376358,4.644635549139537e-06,0.0006733393797137783,4.1122810116105086e-06,6.302756557735845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,9.986246292444077,4.106625100568362e-05,0.0002053312550284181,2.4875857173763584e-05,2.487585717376358e-06,6.733393797137784e-05,1.5678647193123866e-09,9.289271098279075e-07,2.927400716563224e-11,6.733393797137784e-05,4.644635549139537e-06,4.1122810116105086e-06,0.0,0.024755650260409292,0.6302756557735845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0006142373377879191,0.020199604165914303,5.02482468197844e-05,9.381979958755265e-07
