Time,P,I,M,beta,gamma,beta0,mu,a,b,n,alpha,alpha0,compartment,increase_in_the_amount_of_pathogenic_micro_organism,Decrease_in_the_amount_of_pathogenic_micro_organism,Increase_of_appropriate_immune_response_with_respect_to_pathogen,Reduction_of_immune_response,betterment_of_relative_characteristics_of_the_damaged_part_of_the_organ,removal_of_relative_characteristics_of_the_damaged_part_of_the_organ
25.0,2.694900206163795,7.248686861213671,61.77235155421514,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4254101855474155,2.4292218100714087,5.900346315010454,5.8966219275544445,6.467760494793108,6.177235155421514
25.5,2.693193561866924,7.24959687143388,61.91299362862693,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4238742056802316,2.426886693350106,5.897370286082896,5.897300335248486,6.463664548480618,6.191299362862694
26.0,2.69188861824094,7.248897389754776,62.04501689105882,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4226997564168458,2.4249140855168907,5.893967313483202,5.896684033695208,6.460532683778255,6.204501689105882
26.5,2.690971735445071,7.247016899731282,62.16930606215063,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4218745619005637,2.4233416583663336,5.890455293040893,5.895121108002374,6.45833216506817,6.2169306062150635
27.0,2.6904081136934086,7.244356559053269,62.28667362174832,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4213673023240676,2.4221729468937143,5.887082699489493,5.892936625567441,6.45697947286418,6.228667362174832
27.5,2.6901490784220887,7.241270970223737,62.39784277842542,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.42113417057988,2.4213853341846434,5.884029528145604,5.89041726831475,6.456357788213013,6.239784277842542
28.0,2.690138575397249,7.238056853121535,62.50343967313344,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4211247178575244,2.4209379085431015,5.881412785450198,5.887802362254732,6.456332580953398,6.250343967313345
28.5,2.690317665770552,7.234949124867056,62.60399300025714,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4212858991934967,2.420777400630474,5.87929343247431,5.8852808571015505,6.4567623978493245,6.260399300025714
29.0,2.6906297600690707,7.232118215667404,62.69993603766932,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4215667840621635,2.4208453261244864,5.877685749823702,5.882989335030985,6.457511424165769,6.269993603766932
29.5,2.691023524953394,7.229676575519623,62.79161823720239,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4219211724580547,2.421083009496908,5.876568922758339,5.881017409128337,6.458456459888145,6.27916182372024
