Act_C_Cyt,Act_C_Nuc,Ca_Cyt,Ca_Nuc,Inact_C_Cyt,Inact_C_Nuc,NFAT_Act_C_Cyt,NFAT_Act_C_Nuc,NFAT_Cyt,NFAT_Nuc,NFAT_Pi_Act_C_Cyt,NFAT_Pi_Act_C_Nuc,NFAT_Pi_Cyt,NFAT_Pi_Nuc,Time
0.004121868180979251,0.024375451679902228,1.0,1.0,0.004235567069774895,0.024406756956172015,0.00039708098956651837,0.0026104307411931216,9.577188046077048e-05,0.00022816427345879095,0.0004567647693997562,3.660228985833509e-05,0.00804977343282149,0.0001541266031458919,5.8
0.00412080967242082,0.024375153627359404,1.0,1.0,0.004234444266893143,0.024406411182960733,0.0003974426377529546,0.002615469262669294,9.575148006506973e-05,0.00022783513802873413,0.0004567368055935853,3.660592757978652e-05,0.008047503482144745,0.00015407148504377832,5.81
0.004119751742579622,0.02437485576521177,1.0,1.0,0.004233322126728441,0.024406065839321405,0.00039780241834818985,0.002620511094068909,9.573109693919923e-05,0.0002275066340021341,0.00045670781829220536,3.660956245863598e-05,0.008045234713457368,0.00015401645590445133,5.82
0.004118694391279787,0.024374558094762452,1.0,1.0,0.004232200648426372,0.024405720922874203,0.00039816033574826344,0.00262555621390384,9.571073104272491e-05,0.00022717876037757227,0.0004566778135511824,3.661319463197539e-05,0.008042967125919911,0.00015396151529457506,5.83
0.004117637618346268,0.02437426061731498,1.0,1.0,0.0042310798311329225,0.02440537643124086,0.0003985163943547581,0.0026306046007419687,9.569038233530818e-05,0.00022685151615498564,0.00045664679739563656,3.661682423527336e-05,0.008040700718693223,0.00015390666278342538,5.84
0.004116581423605516,0.024373963334176917,1.0,1.0,0.004229959673993833,0.02440503236204104,0.00039887059857432764,0.0026356562332075354,9.567005077670669e-05,0.00022652490033566784,0.0004566147758205289,3.662045140243009e-05,0.008038435490938477,0.00015385189794285192,5.85
0.0041155258068861465,0.024373666246663508,1.0,1.0,0.004228840176153945,0.024404688712888676,0.0003992229528182253,0.002640711089981492,9.5649736326775e-05,0.00022619891192227063,0.00045658175479094894,3.662407626583208e-05,0.0080361714418172,0.00015379722034724046,5.86
0.00411447076801961,0.02437336935610135,1.0,1.0,0.004227721336756544,0.02440434548138829,0.00039957346150183075,0.002645769149801851,9.562943894546536e-05,0.00022587354991880523,0.0004565477402424017,3.662769895640701e-05,0.008033908570491301,0.00015374262957347488,5.87
0.0041134163068408626,0.02437307266383203,1.0,1.0,0.0042266031549427156,0.02440400266513136,0.00039992212904417876,0.002650830391464042,9.560915859282824e-05,0.00022554881333064348,0.000456512738081095,3.663131960367841e-05,0.008031646876123098,0.00015368812520089953,5.88
0.004112362423189034,0.024372776171215783,1.0,1.0,0.004225485629850681,0.02440366026169265,0.0004002689598674865,0.002655894793821259,9.55888952290132e-05,0.0002252247011645194,0.00045647675418422683,3.6634938335820565e-05,0.008029386357875349,0.00015363370681128143,5.89
0.004111309116908094,0.024372479879635135,1.0,1.0,0.004224368760615156,0.02440331826862655,0.0004006139583966813,0.002660962335784814,9.556864881426953e-05,0.00022490121242853026,0.0004564397944002725,3.6638555279713246e-05,0.008027127014911277,0.0001535793739887723,5.9
0.0041102563878475315,0.024372183790498575,1.0,1.0,0.0042232525463666935,0.024402976683463414,0.00040095712905892876,0.002666032996324487,9.554841930894689e-05,0.0002245783461321382,0.0004564018645492719,3.6642170560996525e-05,0.00802486884639461,0.00015352512631987096,5.91
0.004109204235863012,0.024371887905244194,1.0,1.0,0.004222136986231027,0.02440263550370591,0.0004012984762831603,0.002671106754468881,9.552820667349608e-05,0.00022425610128617122,0.0004563629704231168,3.664578430412556e-05,0.008022611851489595,0.00015347096339338536,5.92
0.004108152660817057,0.024371592225343335,1.0,1.0,0.004221022079328426,0.024402294726825365,0.00040163800449960116,0.0026761835893057704,9.550801086846968e-05,0.0002239344769028248,0.0004563231177858379,3.664939663242538e-05,0.008020356029361035,0.00015341688480039484,5.93
0.004107101662579706,0.024371296752304244,1.0,1.0,0.004219907824773037,0.024401954350258083,0.00040197571813929803,0.002681263479982455,9.548783185452281e-05,0.00022361347199566304,0.0004562823123738923,3.665300766814568e-05,0.008018101379174317,0.00015336289013421228,5.94
0.004106051240999063,0.024371001487514223,1.0,1.0,0.004218794221701483,0.024401614371563157,0.00040231162164441404,0.0026863464056922546,9.546766959238303e-05,0.00022329308557945637,0.0004562405598929895,3.665661753114317e-05,0.008015847900094358,0.00015330897899099456,5.95
