Time,P,O,C,aP,n,bP,mP,zD,cPP,kP,aO,bO,zO,mO,cOC,cOP,cOO,kO,aC,bC,zC,mC,cCO,cCP,cCC,kC,default_compartment,a1,a2,a3,a4,a5,a6
2.14,12.030363655565925,0.1367118455722891,0.1393387464219121,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032023898581043,1.2030363655565925,0.012292296403644083,0.013671184557228912,0.013656265015430226,0.01393387464219121
2.15,12.030365315629128,0.13669806354937172,0.13933597169150216,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032025199034364,1.2030365315629128,0.012292287997830468,0.013669806354937173,0.013656260328763848,0.013933597169150217
2.16,12.030366975332761,0.13668429521763606,0.13933319968760782,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203202649920576,1.2030366975332762,0.012292279598282607,0.013668429521763607,0.013656255643870017,0.013933319968760783
2.17,12.030368634676899,0.13667054056345196,0.13933043040751994,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032027799095293,1.20303686346769,0.01229227120499381,0.013667054056345197,0.013656250960747568,0.013933043040751995
2.18,12.030370293661623,0.13665679957320268,0.13932766384853207,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032029098703023,1.2030370293661623,0.012292262817957401,0.013665679957320268,0.013656246279395342,0.013932766384853208
2.19,12.030371952287007,0.13664307223328462,0.13932490000794037,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032030398029012,1.203037195228701,0.012292254437166713,0.013664307223328462,0.013656241599812182,0.013932490000794037
2.2,12.03037361055313,0.1366293585301075,0.13932213888304368,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032031697073318,1.2030373610553131,0.012292246062615076,0.01366293585301075,0.01365623692199693,0.013932213888304368
2.21,12.030375268460071,0.1366156584500942,0.13931938047114337,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032032995836006,1.2030375268460072,0.012292237694295846,0.013661565845009422,0.013656232245948427,0.013931938047114338
2.22,12.030376926007907,0.13660197197968083,0.1393166247695435,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032034294317138,1.2030376926007909,0.012292229332202365,0.013660197197968084,0.01365622757166551,0.013931662476954352
2.23,12.030378583196715,0.13658829910531664,0.13931387177555077,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203203559251677,1.2030378583196715,0.01229222097632801,0.013658829910531665,0.01365622289914704,0.013931387177555078
2.24,12.030380240026572,0.1365746398134641,0.13931112148647443,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032036890434967,1.2030380240026572,0.012292212626666138,0.01365746398134641,0.013656218228391852,0.013931112148647444
2.25,12.030381896497556,0.13656099409059871,0.13930837389962641,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032038188071785,1.2030381896497557,0.01229220428321014,0.013656099409059872,0.013656213559398795,0.013930837389962642
2.26,12.030383552609743,0.13654736192320927,0.1393056290123212,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032039485427288,1.2030383552609745,0.012292195945953405,0.013654736192320927,0.01365620889216672,0.013930562901232122
