Time,miR,miR_gene,miR_gene_TF1,Signal,TF1,TF1_mRNA,Sink,kbinTF1miRgene,kdegMiR,kdegTF1,kdegTF1mRNA,kdegTF1mRNAbyMiR,krelTF1miRgene,ksynMiR,ksynTF1,ksynTF1mRNA,cell,miR_gene_TF1_binding,miR_gene_TF1_release,miR_synthesis,miR_degradation,TF1_transcription,TF1_mRNA_degradation,TF1_mRNA_degradation_via_miR,TF1_translation,TF1_degradation
14152.0,307.0284265712421,1.5087545186958704,0.4912454813041313,1.0,325.59669264755263,32.55966929202506,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274065221277,2.4562274065206564,2.4562274065206564,2.456227412569937,10.0,0.0032559669292025065,9.996744032410444,1.6279834646012532,1.6279834632377632
14640.0,307.0284265433139,1.5087545188392528,0.49124548116074884,1.0,325.59669252169346,32.55966929480452,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274058060987,2.456227405803744,2.456227405803744,2.4562274123465113,10.0,0.003255966929480452,9.996744032354483,1.6279834647402263,1.6279834626084673
15128.0,307.02842646475943,1.5087545187706852,0.4912454812293165,1.0,325.5966925819594,32.559669303474536,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274061491047,2.4562274061465823,2.4562274061465823,2.4562274117180753,10.0,0.003255966930347454,9.996744032458716,1.6279834651737268,1.6279834629097971
15616.0,307.0284263355786,1.5087545184901674,0.49124548150983427,1.0,325.59669282835034,32.559669318035105,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227407551143,2.4562274075491715,2.4562274075491715,2.456227410684629,10.0,0.0032559669318035105,9.996744032723141,1.6279834659017554,1.6279834641417517
16104.0,307.02842620795803,1.5087545181452877,0.491245481854714,1.0,325.5966931312467,32.55966933254214,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274092746663,2.45622740927357,2.45622740927357,2.4562274096636645,10.0,0.0032559669332542143,9.99674403302193,1.6279834666271071,1.6279834656562335
16592.0,307.0284262095256,1.5087545181403448,0.49124548185965694,1.0,325.5966931355852,32.55966933238047,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409299348,2.4562274092982848,2.4562274092982848,2.4562274096762047,10.0,0.0032559669332380475,9.996744033023333,1.6279834666190238,1.6279834656779262
17080.0,307.0284262110931,1.5087545181354018,0.4912454818645998,1.0,325.5966931399238,32.55966933221881,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274093240304,2.456227409322999,2.456227409322999,2.456227409688745,10.0,0.003255966933221881,9.996744033024735,1.6279834666109405,1.627983465699619
17568.0,307.0284262126607,1.508754518130459,0.49124548186954275,1.0,325.5966931442623,32.55966933205714,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409348712,2.4562274093477137,2.4562274093477137,2.4562274097012855,10.0,0.003255966933205714,9.996744033026136,1.6279834666028572,1.6279834657213115
18056.0,307.02842621422826,1.508754518125516,0.49124548187448563,1.0,325.5966931486009,32.55966933189547,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409373394,2.456227409372428,2.456227409372428,2.456227409713826,10.0,0.0032559669331895472,9.99674403302754,1.6279834665947737,1.6279834657430043
18544.0,307.02842621579583,1.5087545181205733,0.49124548187942857,1.0,325.5966931529394,32.55966933173381,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274093980765,2.456227409397143,2.456227409397143,2.4562274097263668,10.0,0.003255966933173381,9.996744033028943,1.6279834665866906,1.627983465764697
19032.0,307.02842621736335,1.5087545181156303,0.49124548188437145,1.0,325.59669315727797,32.55966933157214,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274094227585,2.4562274094218575,2.4562274094218575,2.456227409738907,10.0,0.003255966933157214,9.996744033030344,1.627983466578607,1.6279834657863899
19520.0,307.0284262189309,1.5087545181106874,0.4912454818893144,1.0,325.5966931616165,32.55966933141047,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.45622740944744,2.456227409446572,2.456227409446572,2.4562274097514476,10.0,0.003255966933141047,9.996744033031746,1.6279834665705235,1.6279834658080825
20008.0,307.0284262204985,1.5087545181057445,0.49124548189425726,1.0,325.596693165955,32.559669331248806,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274094721217,2.4562274094712864,2.4562274094712864,2.456227409763988,10.0,0.0032559669331248806,9.996744033033151,1.6279834665624404,1.6279834658297752
20496.0,307.02842622206606,1.5087545181008015,0.49124548189920014,1.0,325.5966931702936,32.559669331087136,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409496804,2.456227409496001,2.456227409496001,2.4562274097765284,10.0,0.003255966933108714,9.996744033034554,1.6279834665543569,1.627983465851468
20984.0,307.0284262236336,1.5087545180958586,0.4912454819041431,1.0,325.5966931746321,32.559669330925466,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274095214858,2.4562274095207153,2.4562274095207153,2.4562274097890686,10.0,0.0032559669330925467,9.996744033035954,1.6279834665462734,1.6279834658731605
21472.0,307.02842622520114,1.5087545180909157,0.49124548190908596,1.0,325.59669317897067,32.5596693307638,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274095461682,2.4562274095454297,2.4562274095454297,2.4562274098016093,10.0,0.0032559669330763804,9.99674403303736,1.6279834665381903,1.6279834658948533
