Time,mwd805cc43_4a96_472f_a894_c119a6aa895f,mw447078ee_8bc8_4358_abcd_ade10dba93b0,mw40a96ef6_32da_46d1_9712_4f53f60bad43,mwe1a0a651_d2d5_4f75_8d45_9336c60eb9a6,mw168e0d8a_b9f7_4d4c_b437_a81206c5d381,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_14,parameter_15,parameter_22,parameter_23,parameter_24,parameter_25,parameter_26,mw0dac359a_a4cd_40bf_97a0_45006cef2a7c,mw44539b83_caa2_4da5_bae0_a8dcf7439431,mw97ca2b6b_8c30_48ef_80cb_5ce4ebaa420f,mw18c30692_65ff_4c7a_b820_079f8ddd9b33,mwf3ceaa7c_ebe4_4e1b_842a_b4446b0aa527
1.6400000000000001,0.03173057142883858,0.00015142807211215165,7.507845979929175e-06,7.507845979929175e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010363809080955001,1.5000000000000094e-05,0.00015,0.03189707142883858,0.052,1.0,6.630683655131048e-07,6.693133079639154e-07,2.7460929752114188e-09
1.6500000000000001,0.03173057022781802,0.00015142807210941772,7.507881143227494e-06,7.507881143227494e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010363895546384725,1.5000000000000094e-05,0.00015,0.03189707022781802,0.052,1.0,6.630742104646888e-07,6.693188904887644e-07,2.7584001296228804e-09
1.6600000000000001,0.031730569026849176,0.0001514280721066838,7.5079161777122694e-06,7.50791617771227e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010363981695373217,1.5000000000000094e-05,0.00015,0.031897069026849176,0.052,1.0,6.630800340252961e-07,6.693244525829435e-07,2.770662199294422e-09
1.67,0.03173056782593193,0.00015142807210394987,7.507951083681769e-06,7.50795108368177e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364067528650534,1.5000000000000094e-05,0.00015,0.03189706782593193,0.052,1.0,6.630858362442763e-07,6.693299942935885e-07,2.782879288619413e-09
1.68,0.03173056662506615,0.00015142807210121595,7.5079858614342605e-06,7.50798586143426e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364153046946748,1.5000000000000094e-05,0.00015,0.03189706662506615,0.052,1.0,6.630916171709814e-07,6.693355156678355e-07,2.7950515019912233e-09
1.69,0.03173056542425174,0.00015142807209848202,7.5080205112680126e-06,7.508020511268013e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364238250991968,1.5000000000000094e-05,0.00015,0.03189706542425174,0.052,1.0,6.63097376854765e-07,6.693410167528236e-07,2.8071789438046123e-09
1.7,0.031730564223488564,0.0001514280720957481,7.5080550334812934e-06,7.508055033481294e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01036432314151632,1.5000000000000094e-05,0.00015,0.031897064223488564,0.052,1.0,6.631031153449823e-07,6.693464975956926e-07,2.8192617184529496e-09
1.71,0.0317305630227765,0.00015142807209301418,7.508089428372371e-06,7.508089428372371e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364407719249943,1.5000000000000094e-05,0.00015,0.0318970630227765,0.052,1.0,6.631088326909892e-07,6.693519582435835e-07,2.831299930330068e-09
1.72,0.03173056182211544,0.00015142807209028025,7.5081236962395135e-06,7.508123696239513e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01036449198492301,1.5000000000000094e-05,0.00015,0.03189706182211544,0.052,1.0,6.631145289421441e-07,6.69357398743639e-07,2.8432936838298006e-09
1.73,0.03173056062150526,0.0001514280720875498,7.50815783738099e-06,7.50815783738099e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364575939265715,1.5000000000000094e-05,0.00015,0.03189706062150526,0.052,1.0,6.631202041478065e-07,6.693628191430189e-07,2.8552430833464434e-09
1.74,0.03173055942094584,0.00015142807208481587,7.508191852095067e-06,7.508191852095066e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364659583008267,1.5000000000000094e-05,0.00015,0.03189705942094584,0.052,1.0,6.631258583573371e-07,6.693682194888377e-07,2.867148233273366e-09
1.75,0.03173055822043706,0.00015142807208208195,7.508225740680014e-06,7.508225740680015e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01036474291688091,1.5000000000000094e-05,0.00015,0.03189705822043706,0.052,1.0,6.631314916200992e-07,6.693735998282584e-07,2.879009238005328e-09
1.76,0.0317305570199788,0.00015142807207934803,7.508259503434098e-06,7.508259503434099e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364825941613889,1.5000000000000094e-05,0.00015,0.0318970570199788,0.052,1.0,6.631371039854559e-07,6.693789602084284e-07,2.8908262019347722e-09
1.77,0.03173055581957094,0.00015142807207661757,7.508293140655589e-06,7.50829314065559e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364908657937495,1.5000000000000094e-05,0.00015,0.03189705581957094,0.052,1.0,6.631426955027733e-07,6.69384300676514e-07,2.9025992294564583e-09
1.78,0.031730554619213355,0.00015142807207388365,7.508326652642753e-06,7.508326652642753e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010364991066582022,1.5000000000000094e-05,0.00015,0.031897054619213355,0.052,1.0,6.631482662214178e-07,6.693896212796348e-07,2.914328424963756e-09
1.79,0.031730553418905946,0.00015142807207114972,7.508360039693859e-06,7.50836003969386e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.0103650731682778,1.5000000000000094e-05,0.00015,0.031897053418905946,0.052,1.0,6.631538161907586e-07,6.693949220649595e-07,2.926013892850961e-09
1.8,0.03173055221864857,0.0001514280720684158,7.5083933021071755e-06,7.508393302107175e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365154963755166,1.5000000000000094e-05,0.00015,0.03189705221864857,0.052,1.0,6.631593454601649e-07,6.694002030796416e-07,2.9376557375114437e-09
1.81,0.03173055101844111,0.0001514280720656888,7.5084264401809705e-06,7.508426440180971e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.0103652364537445,1.5000000000000094e-05,0.00015,0.03189705101844111,0.052,1.0,6.63164854079009e-07,6.694054643708682e-07,2.949254063339963e-09
1.82,0.031730549818283466,0.0001514280720629549,7.508459454213512e-06,7.508459454213512e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365317638976176,1.5000000000000094e-05,0.00015,0.031897049818283466,0.052,1.0,6.631703420966628e-07,6.694107059857338e-07,2.960808974729425e-09
1.83,0.031730548618175494,0.00015142807206022096,7.5084923445030685e-06,7.508492344503069e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01036539852018061,1.5000000000000094e-05,0.00015,0.031897048618175494,0.052,1.0,6.631758095625011e-07,6.694159279714274e-07,2.9723205760741264e-09
1.84,0.03173054741811709,0.0001514280720574905,7.508525111347907e-06,7.508525111347907e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365479098088234,1.5000000000000094e-05,0.00015,0.03189704741811709,0.052,1.0,6.631812565258995e-07,6.694211303751245e-07,2.9837889717674367e-09
1.85,0.03173054621810813,0.00015142807205476005,7.508557755046298e-06,7.508557755046297e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365559373429497,1.5000000000000094e-05,0.00015,0.03189704621810813,0.052,1.0,6.631866830362354e-07,6.694263132439703e-07,2.995214266204115e-09
1.86,0.031730545018148495,0.00015142807205202613,7.508590275896507e-06,7.508590275896507e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365639346934878,1.5000000000000094e-05,0.00015,0.031897045018148495,0.052,1.0,6.631920891428872e-07,6.694314766251122e-07,3.0065965637775315e-09
1.87,0.03173054381823807,0.00015142807204929568,7.508622674196804e-06,7.508622674196804e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365719019334864,1.5000000000000094e-05,0.00015,0.03189704381823807,0.052,1.0,6.631974748952351e-07,6.694366205657441e-07,3.0179359688815187e-09
1.8800000000000001,0.031730542618376725,0.00015142807204656175,7.508654950245456e-06,7.508654950245455e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365798391359973,1.5000000000000094e-05,0.00015,0.031897042618376725,0.052,1.0,6.632028403426602e-07,6.694417451130004e-07,3.0292325859094463e-09
1.8900000000000001,0.031730541418564344,0.0001514280720438313,7.508687104340732e-06,7.508687104340733e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365877463740748,1.5000000000000094e-05,0.00015,0.031897041418564344,0.052,1.0,6.632081855345459e-07,6.694468503140786e-07,3.040486519256537e-09
1.9000000000000001,0.03173054021880081,0.00015142807204110084,7.5087191367809e-06,7.5087191367809e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010365956237207733,1.5000000000000094e-05,0.00015,0.03189704021880081,0.052,1.0,6.632135105202761e-07,6.694519362161304e-07,3.051697873315234e-09
1.9100000000000001,0.031730539019086006,0.00015142807203836692,7.508751047864227e-06,7.508751047864226e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01036603471249151,1.5000000000000094e-05,0.00015,0.031897039019086006,0.052,1.0,6.632188153492363e-07,6.694570028663098e-07,3.06286675247937e-09
1.92,0.0317305378194198,0.00015142807203563646,7.5087828378889826e-06,7.508782837888983e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366112890322684,1.5000000000000094e-05,0.00015,0.0318970378194198,0.052,1.0,6.632241000708141e-07,6.694620503118182e-07,3.073993261144168e-09
1.93,0.03173053661980209,0.000151428072032906,7.508814507153434e-06,7.508814507153434e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366190771431862,1.5000000000000094e-05,0.00015,0.03189703661980209,0.052,1.0,6.632293647343975e-07,6.694670785998114e-07,3.0850775037020707e-09
1.94,0.03173053542023275,0.00015142807203017555,7.508846055955851e-06,7.50884605595585e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366268356549694,1.5000000000000094e-05,0.00015,0.03189703542023275,0.052,1.0,6.632346093893767e-07,6.694720877774628e-07,3.096119584547838e-09
1.95,0.03173053422071165,0.0001514280720274451,7.5088774845945e-06,7.508877484594499e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366345646406833,1.5000000000000094e-05,0.00015,0.03189703422071165,0.052,1.0,6.632398340851426e-07,6.694770778919466e-07,3.107119608074839e-09
1.96,0.03173053302123868,0.00015142807202471464,7.50890879336765e-06,7.508908793367649e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366422641733961,1.5000000000000094e-05,0.00015,0.03189703302123868,0.052,1.0,6.632450388710882e-07,6.694820489904385e-07,3.11807767867737e-09
1.97,0.03173053182181372,0.0001514280720219842,7.508939982573568e-06,7.508939982573568e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366499343261774,1.5000000000000094e-05,0.00015,0.03189703182181372,0.052,1.0,6.632502237966072e-07,6.694870011201153e-07,3.128993900748801e-09
1.98,0.03173053062243665,0.00015142807201925373,7.508971052510524e-06,7.508971052510524e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366575751720996,1.5000000000000094e-05,0.00015,0.03189703062243665,0.052,1.0,6.632553889110948e-07,6.694919343281553e-07,3.139868378683428e-09
1.99,0.031730529423107355,0.00015142807201652328,7.509002003476784e-06,7.509002003476784e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366651867842365,1.5000000000000094e-05,0.00015,0.031897029423107355,0.052,1.0,6.632605342639477e-07,6.69496848661738e-07,3.1507012168746204e-09
2.0,0.0317305282238257,0.00015142807201378936,7.509032835770618e-06,7.509032835770619e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366727692356638,1.5000000000000094e-05,0.00015,0.0318970282238257,0.052,1.0,6.63265659904564e-07,6.695017441680287e-07,3.1614925197166746e-09
2.0100000000000002,0.03173052702459159,0.00015142807201106237,7.509063549690294e-06,7.509063549690294e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366803225994595,1.5000000000000094e-05,0.00015,0.03189702702459159,0.052,1.0,6.632707658823429e-07,6.695066208942557e-07,3.17224239160296e-09
2.02,0.03173052582540488,0.00015142807200833192,7.509094145534079e-06,7.509094145534079e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366878469487039,1.5000000000000094e-05,0.00015,0.03189702582540488,0.052,1.0,6.632758522466854e-07,6.695114788875561e-07,3.182950936927773e-09
2.0300000000000002,0.031730524626265466,0.00015142807200560146,7.509124623600242e-06,7.509124623600242e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010366953423564782,1.5000000000000094e-05,0.00015,0.031897024626265466,0.052,1.0,6.632809190469931e-07,6.695163181951297e-07,3.1936182600849466e-09
2.04,0.031730523427140916,0.000151428072002871,7.5091550646505625e-06,7.509155064650563e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367028286841835,1.5000000000000094e-05,0.00015,0.031897023427140916,0.052,1.0,6.632859797093202e-07,6.695211516402511e-07,3.2042726276971677e-09
2.05,0.031730522228054794,0.00015142807200014055,7.509185409998868e-06,7.509185409998867e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367102914990543,1.5000000000000094e-05,0.00015,0.031897022228054794,0.052,1.0,6.632910244773003e-07,6.695259699045788e-07,3.214893499603711e-09
2.06,0.031730521029013255,0.0001514280719974101,7.509215644315491e-06,7.509215644315491e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367177270308392,1.5000000000000094e-05,0.00015,0.031897021029013255,0.052,1.0,6.632960508022917e-07,6.695307705538959e-07,3.2254755104220077e-09
2.07,0.03173051983001614,0.0001514280719946831,7.5092457680113105e-06,7.50924576801131e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367251353803343,1.5000000000000094e-05,0.00015,0.03189701983001614,0.052,1.0,6.633010587524303e-07,6.695355536532959e-07,3.236018803958598e-09
2.08,0.03173051863106327,0.00015142807199195266,7.509275781497208e-06,7.509275781497208e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367325166483393,1.5000000000000094e-05,0.00015,0.03189701863106327,0.052,1.0,6.633060483958553e-07,6.695403192678279e-07,3.246523524022802e-09
2.09,0.03173051743215449,0.0001514280719892222,7.5093056851840615e-06,7.509305685184061e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367398709356546,1.5000000000000094e-05,0.00015,0.03189701743215449,0.052,1.0,6.63311019800706e-07,6.695450674625885e-07,3.2569898144216234e-09
2.1,0.03173051623328964,0.00015142807198649175,7.509335479482753e-06,7.509335479482752e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367471983430831,1.5000000000000094e-05,0.00015,0.03189701623328964,0.052,1.0,6.633159730351238e-07,6.695497983026597e-07,3.267417818963456e-09
2.11,0.03173051503446855,0.00015142807198376476,7.50936516480416e-06,7.50936516480416e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367544989714305,1.5000000000000094e-05,0.00015,0.03189701503446855,0.052,1.0,6.633209081672513e-07,6.69554511853141e-07,3.27780768145623e-09
2.12,0.031730513835691046,0.0001514280719810343,7.509394741559164e-06,7.509394741559164e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367617729215036,1.5000000000000094e-05,0.00015,0.031897013835691046,0.052,1.0,6.633258252652326e-07,6.695592081790866e-07,3.288159545707412e-09
2.13,0.031730512636956976,0.00015142807197830732,7.509424210158643e-06,7.509424210158644e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367690202941121,1.5000000000000094e-05,0.00015,0.031897012636956976,0.052,1.0,6.633307243972135e-07,6.695638873456141e-07,3.2984735555253965e-09
2.14,0.031730511438266176,0.00015142807197557687,7.509453571013479e-06,7.509453571013479e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367762411900674,1.5000000000000094e-05,0.00015,0.031897011438266176,0.052,1.0,6.633356056313405e-07,6.695685494177804e-07,3.30874985471765e-09
2.15,0.031730510239618474,0.0001514280719728464,7.509482824534551e-06,7.509482824534551e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367834357101834,1.5000000000000094e-05,0.00015,0.031897010239618474,0.052,1.0,6.633404690357626e-07,6.695731944606905e-07,3.318988587093029e-09
2.16,0.0317305090410137,0.00015142807197011943,7.509511971132738e-06,7.509511971132738e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367906039552753,1.5000000000000094e-05,0.00015,0.0318970090410137,0.052,1.0,6.633453146786289e-07,6.695778225394497e-07,3.3291898964585376e-09
2.17,0.03173050784245171,0.00015142807196739244,7.50954101121892e-06,7.50954101121892e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010367977460261607,1.5000000000000094e-05,0.00015,0.03189700784245171,0.052,1.0,6.63350142628091e-07,6.695824337191348e-07,3.3393539266221062e-09
2.18,0.031730506643932316,0.000151428071964662,7.509569945203979e-06,7.509569945203978e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.0103680486202366,1.5000000000000094e-05,0.00015,0.031897006643932316,0.052,1.0,6.633549529523013e-07,6.695870280648238e-07,3.3494808213925915e-09
2.19,0.031730505445455366,0.00015142807196193153,7.509598773498791e-06,7.509598773498791e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368119520485943,1.5000000000000094e-05,0.00015,0.031897005445455366,0.052,1.0,6.633597457194136e-07,6.695916056416263e-07,3.3595707245769972e-09
2.2,0.031730504247020695,0.00015142807195920455,7.5096274965142395e-06,7.509627496514239e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368190162017878,1.5000000000000094e-05,0.00015,0.031897004247020695,0.052,1.0,6.633645209975834e-07,6.695961665146538e-07,3.369623779983717e-09
2.21,0.031730503048628136,0.00015142807195647756,7.509656114661202e-06,7.509656114661202e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368260545840663,1.5000000000000094e-05,0.00015,0.031897003048628136,0.052,1.0,6.633692788549673e-07,6.696007107489881e-07,3.379640131420681e-09
2.22,0.031730501850277516,0.0001514280719537471,7.509684628350559e-06,7.509684628350559e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368330672962577,1.5000000000000094e-05,0.00015,0.031897001850277516,0.052,1.0,6.633740193597234e-07,6.696052384097117e-07,3.38961992269582e-09
2.23,0.03173050065196868,0.00015142807195102012,7.50971303799319e-06,7.50971303799319e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368400544391912,1.5000000000000094e-05,0.00015,0.03189700065196868,0.052,1.0,6.633787425800107e-07,6.696097495619553e-07,3.3995632976166003e-09
2.24,0.03173049945370147,0.00015142807194829314,7.509741343999976e-06,7.509741343999975e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368470161136992,1.5000000000000094e-05,0.00015,0.03189699945370147,0.052,1.0,6.633834485839902e-07,6.696142442708048e-07,3.409470399991416e-09
2.25,0.031730498255475706,0.00015142807194556615,7.509769546781796e-06,7.509769546781796e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368539524206155,1.5000000000000094e-05,0.00015,0.031896998255475706,0.052,1.0,6.633881374398241e-07,6.696187226013622e-07,3.41934137362866e-09
2.2600000000000002,0.03173049705729123,0.0001514280719428357,7.509797646749529e-06,7.509797646749529e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368608634607757,1.5000000000000094e-05,0.00015,0.03189699705729123,0.052,1.0,6.633928092156755e-07,6.696231846187155e-07,3.429176362335337e-09
2.27,0.031730495859147875,0.0001514280719401087,7.509825644314056e-06,7.509825644314056e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368677493350171,1.5000000000000094e-05,0.00015,0.031896995859147875,0.052,1.0,6.633974639797091e-07,6.696276303880005e-07,3.43897550991984e-09
2.2800000000000002,0.03173049466104547,0.00015142807193738173,7.5098535398862565e-06,7.509853539886257e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368746101441798,1.5000000000000094e-05,0.00015,0.03189699466104547,0.052,1.0,6.63402101800091e-07,6.696320599743077e-07,3.4487389601900995e-09
2.29,0.03173049346298387,0.00015142807193465474,7.50988133387701e-06,7.50988133387701e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368814459891048,1.5000000000000094e-05,0.00015,0.03189699346298387,0.052,1.0,6.63406722744988e-07,6.696364734427442e-07,3.4584668569535823e-09
2.3000000000000003,0.0317304922649629,0.00015142807193192775,7.509909026697197e-06,7.509909026697197e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01036888256970636,1.5000000000000094e-05,0.00015,0.0318969922649629,0.052,1.0,6.634113268825697e-07,6.696408708584188e-07,3.4681593440191454e-09
2.31,0.03173049106698239,0.00015142807192920077,7.509936618757697e-06,7.509936618757696e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010368950431896186,1.5000000000000094e-05,0.00015,0.03189699106698239,0.052,1.0,6.634159142810052e-07,6.696452522864408e-07,3.4778165651937925e-09
