Time,y,z,x,u,lambda,beta,r,tau,gamma,nu,mu_1,mu_2,mu_3,mu_4,compartment,CD4_Production,Infectious_Transmission,CD4_Natural_Death,Mitotic_Transmission,CD4LI_Spontaneous_Activation,CD4LI_Natural_Death,CD4AI_Lysis_CTL,CD4AI_Natural_Death,CTL_Proliferation,CTL_Natural_Death
848.0,1.1527944841264357,1.383350826484623,760.2929190280515,26.943601731178564,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764614833759246,9.123515028336618,0.012680739325390792,0.08083080519353569,0.8083080519353569,0.046246856869113374,0.03458383452379307,0.041500601428551685,0.04150052479453869
849.0,1.1527945974773781,1.383350903056851,760.2929423032938,26.94360507845069,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.876461596387417,9.123515307639526,0.012680740572251159,0.08083081523535207,0.8083081523535207,0.046246863976322314,0.03458383792432134,0.041500605509185606,0.04150052709170553
850.0,1.152794707511868,1.383350975642238,760.2929651133726,26.943608311026022,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764617063412014,9.123515581360472,0.012680741782630548,0.08083082493307807,0.8083082493307806,0.04624687081720078,0.03458384122535604,0.04150060947042725,0.04150052926926714
851.0,1.1527948170936073,1.3833510499645323,760.2929875463715,26.94361154773639,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764618155160716,9.123515850556458,0.012680742988029679,0.08083083464320917,0.8083083464320916,0.046246877697983274,0.034583844512808215,0.04150061341536986,0.04150053149893597
852.0,1.15279492621278,1.3833511259646292,760.2930096075634,26.943614787839184,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764619239106434,9.12351611529076,0.012680744188340578,0.08083084436351755,0.8083084436351755,0.04624688461630006,0.0345838477863834,0.041500617343660076,0.04150053377893887
853.0,1.152795034860588,1.3833512035860547,760.2930313021554,26.943618030638095,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764620315242304,9.123516375625865,0.012680745383466467,0.08083085409191429,0.8083085409191428,0.04624689156991025,0.03458385104581764,0.04150062125498116,0.041500536107581636
854.0,1.1527951430292533,1.3833512827749672,760.2930526352899,26.9436212754831,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764621383568466,9.12351663162348,0.012680746573321786,0.0808308638264493,0.808308638264493,0.04624689855670182,0.0345838542908776,0.041500625149053116,0.041500538483249014
855.0,1.152795250712017,1.3833513634801562,760.2930736120435,26.94362452177048,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764622444092056,9.123516883344521,0.012680747757832185,0.08083087356531145,0.8083087356531143,0.0462469055746916,0.034583857521360506,0.041500629025632604,0.041500540904404686
856.0,1.1527953579031383,1.3833514456530431,760.2930942374278,26.943627768942797,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764623496827201,9.123517130849134,0.01268074893693452,0.08083088330682839,0.8083088330682838,0.04624691262202528,0.034583860737094144,0.04150063288451297,0.04150054336959129
857.0,1.1527954645978962,1.3833515292476808,760.2931145163893,26.943631016488915,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764624541795025,9.123517374196672,0.012680750110576858,0.08083089304946675,0.8083089304946675,0.04624691969697742,0.03458386393793688,0.04150063672552426,0.04150054587743042
858.0,1.1527955707925885,1.3833516142207536,760.2931344538088,26.943634263943984,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764625579023647,9.123517613445705,0.012680751278718472,0.08083090279183196,0.8083090279183195,0.04624692679795141,0.03458386712377765,0.04150064054853318,0.041500548426622604
859.0,1.1527956764845317,1.383351700531578,760.2931540545022,26.943637510889456,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764626608548183,9.123517848654027,0.012680752441329848,0.08083091253266837,0.8083091253266836,0.04624693392347951,0.034583870294535954,0.04150064435344314,0.04150055101594734
860.0,1.152795781672062,1.3833517881421016,760.29317332322,26.943640756953073,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764627630410738,9.12351807987864,0.01268075359839268,0.08083092227085922,0.8083092227085922,0.046246941072222846,0.03458387345016186,0.041500648140194225,0.04150055364426305
861.0,1.152795886354534,1.3833518770169038,760.2931922646472,26.943644001808867,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764628644660423,9.123518307175766,0.012680754749899874,0.0808309320054266,0.8083093200542659,0.04624694824297139,0.03458387659063602,0.041500651908763224,0.041500556310507114
862.0,1.1527959905323217,1.3833519671231955,760.2932108834041,26.943647245177168,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764629651353332,9.12351853060085,0.01268075589585554,0.0808309417355315,0.808309417355315,0.04624695543464397,0.03458387971596965,0.04150065565916358,0.04150055901369586
863.0,1.1527960942068178,1.3833520584308194,760.293229184045,26.9436504868246,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764630650552562,9.12351875020854,0.012680757036274996,0.0808309514604738,0.8083095146047379,0.046246962646288296,0.03458388282620453,0.04150065939144544,0.04150056175292458
864.0,1.1527961973804344,1.38335215091225,760.2932471710595,26.943653726564072,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764631642328201,9.123518966052714,0.012680758171184777,0.08083096117969221,0.8083096117969222,0.046246969877080914,0.03458388592141303,0.04150066310569563,0.041500564527367494
865.0,1.1527963000566024,1.3833522445425923,760.2932648488717,26.943656964254796,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764632626757338,9.123519178186461,0.012680759300622626,0.08083097089276439,0.8083097089276439,0.0462469771263272,0.03458388900169807,0.041500666802037685,0.041500567336277765
866.0,1.1527964022397714,1.3833523392995846,760.2932822218405,26.943660199802274,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764633603924049,9.123519386662087,0.012680760424637484,0.08083098059940683,0.8083098059940682,0.04624698439346145,0.03458389206719314,0.04150067048063177,0.041500570178987534
