data_generator_T,data_generator_Z
15.44,0.17206994
15.46,0.17183934
15.48,0.17160934
15.5,0.17137995
15.52,0.17115115
15.54,0.17092295
15.56,0.17069533
15.58,0.17046832
15.6,0.17024189
15.62,0.17001607
15.64,0.16979082
15.66,0.16956617
15.68,0.1693421
15.7,0.16911863
15.72,0.16889574
15.74,0.16867344
15.76,0.16845171
15.78,0.16823058
15.8,0.16801001
15.82,0.16779004
15.84,0.16757064
15.86,0.16735181
15.88,0.16713357
15.9,0.16691589
15.92,0.1666988
15.94,0.16648228
15.96,0.16626634
15.98,0.16605096
16.0,0.16583614
16.02,0.16562191
16.040001,0.16540824
16.059999,0.16519514
16.08,0.16498259
16.1,0.16477062
16.120001,0.1645592
16.139999,0.16434836
16.16,0.16413806
16.18,0.16392834
16.200001,0.16371918
16.219999,0.16351056
16.24,0.16330251
16.26,0.16309501
16.280001,0.16288806
16.299999,0.16268168
16.32,0.16247584
16.34,0.16227056
16.360001,0.16206582
16.379999,0.16186164
16.4,0.161658
16.42,0.16145492
16.440001,0.16125236
16.459999,0.16105038
16.48,0.16084892
16.5,0.160648
16.52,0.16044764
16.540001,0.16024782
16.559999,0.16004853
16.58,0.15984978
16.6,0.15965158
16.620001,0.1594539
16.639999,0.15925677
16.66,0.15906017
16.68,0.1588641
16.700001,0.15866856
16.719999,0.15847357
16.74,0.15827909
16.76,0.15808515
16.780001,0.15789174
16.799999,0.15769885
16.82,0.1575065
16.84,0.15731467
16.860001,0.15712336
16.879999,0.15693258
16.9,0.15674232
16.92,0.15655258
16.940001,0.15636337
16.959999,0.15617467
16.98,0.1559865
17.0,0.15579884
17.02,0.15561169
17.040001,0.15542507
17.059999,0.15523896
17.08,0.15505336
17.1,0.15486827
17.120001,0.15468371
17.139999,0.15449965
17.16,0.1543161
17.18,0.15413307
17.200001,0.15395053
17.219999,0.15376851
17.24,0.15358698
17.26,0.15340598
17.280001,0.15322547
17.299999,0.15304546
17.32,0.15286596
17.34,0.15268695
17.360001,0.15250845
17.379999,0.15233046
17.4,0.15215296
17.42,0.15197594
17.440001,0.15179944
17.459999,0.15162343
17.48,0.15144791
17.5,0.15127289
17.52,0.15109836
17.540001,0.15092432
17.559999,0.15075077
17.58,0.15057772
17.6,0.15040515
17.620001,0.15023308
17.639999,0.15006149
17.66,0.14989038
17.68,0.14971976
17.700001,0.14954962
17.719999,0.14937997
17.74,0.1492108
17.76,0.14904211
17.780001,0.14887391
17.799999,0.14870618
17.82,0.14853893
17.84,0.14837217
17.860001,0.14820588
17.879999,0.14804006
17.9,0.14787471
17.92,0.14770986
17.940001,0.14754546
17.959999,0.14738154
17.98,0.14721809
18.0,0.14705512
18.02,0.14689261
18.040001,0.14673057
18.059999,0.146569
18.08,0.14640789
18.1,0.14624725
18.120001,0.14608708
18.139999,0.14592737
18.16,0.14576814
18.18,0.14560935
18.200001,0.14545102
18.219999,0.14529316
18.24,0.14513576
18.26,0.14497882
18.280001,0.14482234
18.299999,0.14466631
18.32,0.14451075
18.34,0.14435562
18.360001,0.14420097
18.379999,0.14404675
18.4,0.143893
18.42,0.1437397
18.440001,0.14358684
18.459999,0.14343445
18.48,0.14328249
18.5,0.14313099
18.52,0.14297992
18.540001,0.14282931
18.559999,0.14267914
18.58,0.14252943
18.6,0.14238015
18.620001,0.1422313
18.639999,0.14208291
18.66,0.14193496
18.68,0.14178744
18.700001,0.14164037
18.719999,0.14149372
18.74,0.14134753
18.76,0.14120176
18.780001,0.14105643
18.799999,0.14091155
18.82,0.14076708
