data_set_T,data_set_V,data_set_W
84.599998,-65.175659,55.411125
84.699997,-65.185829,52.623096
84.800003,-65.194923,49.84668
84.900002,-65.202957,47.082012
85.0,-65.209938,44.329239
85.099998,-65.215866,41.588482
85.199997,-65.220764,38.859886
85.300003,-65.224625,36.14357
85.400002,-65.227463,33.439671
85.5,-65.229279,30.748312
85.599998,-65.230095,28.069614
85.699997,-65.229904,25.403702
85.800003,-65.228729,22.750696
85.900002,-65.226562,20.110712
86.0,-65.223427,17.483868
86.099998,-65.219315,14.870277
86.199997,-65.214249,12.270052
86.300003,-65.208229,9.683301
86.400002,-65.201263,7.1101327
86.5,-65.193367,4.5506539
86.599998,-65.18454,2.0049675
86.699997,-65.174789,-0.52682424
86.800003,-65.164124,-3.044621
86.900002,-65.152565,-5.5483246
87.0,-65.140106,-8.0378399
87.099998,-65.126755,-10.513071
87.199997,-65.112526,-12.973927
87.300003,-65.097435,-15.420317
87.400002,-65.081467,-17.852152
87.5,-65.064651,-20.269348
87.599998,-65.046989,-22.671816
87.699997,-65.028488,-25.059477
87.800003,-65.009163,-27.432249
87.900002,-64.989006,-29.790054
88.0,-64.96804,-32.132812
88.099998,-64.946266,-34.460453
88.199997,-64.923691,-36.772896
88.300003,-64.90033,-39.070076
88.400002,-64.87619,-41.351921
88.5,-64.851273,-43.618362
88.599998,-64.825592,-45.869335
88.699997,-64.799156,-48.104771
88.800003,-64.771973,-50.324615
88.900002,-64.744049,-52.528801
89.0,-64.715385,-54.717274
89.099998,-64.686005,-56.889973
89.199997,-64.655907,-59.046844
89.300003,-64.625107,-61.187832
89.400002,-64.593597,-63.312889
89.5,-64.561401,-65.421959
89.599998,-64.528526,-67.515007
89.699997,-64.494972,-69.591965
89.800003,-64.460747,-71.652802
89.900002,-64.425865,-73.697472
90.0,-64.390335,-75.725937
90.099998,-64.354164,-77.738152
90.199997,-64.31736,-79.734077
90.300003,-64.279922,-81.713684
90.400002,-64.241867,-83.676933
90.5,-64.203209,-85.623787
90.599998,-64.16394,-87.554214
90.699997,-64.124084,-89.468193
90.800003,-64.083641,-91.365685
90.900002,-64.042618,-93.246674
91.0,-64.001022,-95.111122
91.099998,-63.958866,-96.959015
91.199997,-63.916153,-98.790329
91.300003,-63.872898,-100.60504
91.400002,-63.829102,-102.40313
91.5,-63.784779,-104.18459
91.599998,-63.739929,-105.94939
91.699997,-63.694565,-107.69752
91.800003,-63.648697,-109.42897
91.900002,-63.602325,-111.14372
92.0,-63.555466,-112.84178
92.099998,-63.508121,-114.52312
92.199997,-63.4603,-116.18774
92.300003,-63.412014,-117.83565
92.400002,-63.363266,-119.46682
92.5,-63.314064,-121.08126
92.599998,-63.26442,-122.67896
92.699997,-63.214336,-124.25994
92.800003,-63.163822,-125.82418
92.900002,-63.112885,-127.37169
93.0,-63.061535,-128.90248
93.099998,-63.009781,-130.41655
93.199997,-62.957623,-131.91389
93.300003,-62.905075,-133.39455
93.400002,-62.852142,-134.85851
93.5,-62.798832,-136.30579
93.599998,-62.745152,-137.73637
93.699997,-62.691109,-139.15031
93.800003,-62.636715,-140.54761
93.900002,-62.58197,-141.92828
94.0,-62.526886,-143.29233
94.099998,-62.471466,-144.6398
94.199997,-62.415722,-145.97069
94.300003,-62.359661,-147.28502
94.400002,-62.303288,-148.58282
94.5,-62.246609,-149.86412
94.599998,-62.189632,-151.12894
94.699997,-62.132366,-152.37729
94.800003,-62.074818,-153.60922
94.900002,-62.016994,-154.82474
95.0,-61.9589,-156.0239
95.099998,-61.900543,-157.2067
95.199997,-61.841934,-158.37318
95.300003,-61.783073,-159.52341
95.400002,-61.723972,-160.65738
95.5,-61.664639,-161.77513
95.599998,-61.605076,-162.87671
95.699997,-61.545288,-163.96216
95.800003,-61.485291,-165.03149
95.900002,-61.425083,-166.08476
96.0,-61.364677,-167.12202
96.099998,-61.304073,-168.1433
96.199997,-61.243286,-169.14862
96.300003,-61.182312,-170.13805
96.400002,-61.121166,-171.11163
96.5,-61.059853,-172.0694
96.599998,-60.998375,-173.01141
96.699997,-60.936741,-173.9377
96.800003,-60.874962,-174.84831
96.900002,-60.813038,-175.74332
97.0,-60.750977,-176.62276
97.099998,-60.688782,-177.48666
97.199997,-60.626469,-178.3351
97.300003,-60.564034,-179.16812
97.400002,-60.501488,-179.98578
97.5,-60.438835,-180.78813
97.599998,-60.376083,-181.57521
97.699997,-60.313236,-182.34711
97.800003,-60.250301,-183.10385
97.900002,-60.187286,-183.84552
98.0,-60.124195,-184.57214
98.099998,-60.061031,-185.28381
98.199997,-59.997803,-185.98056
98.300003,-59.934517,-186.66246
98.400002,-59.871178,-187.32957
98.5,-59.807793,-187.98195
98.599998,-59.744366,-188.61967
98.699997,-59.680901,-189.24278
98.800003,-59.617405,-189.85136
98.900002,-59.553886,-190.44547
99.0,-59.490345,-191.02516
99.099998,-59.426792,-191.59052
99.199997,-59.363228,-192.14159
99.300003,-59.29966,-192.67847
99.400002,-59.236095,-193.20119
99.5,-59.172539,-193.70985
99.599998,-59.108994,-194.20451
99.699997,-59.045464,-194.68523
99.800003,-58.98196,-195.15208
99.900002,-58.91848,-195.60516
100.0,-58.855034,-196.04451
