B_cells_healthy_3_task1,CAR_T_cells_1_task1,Leukaemic_B_cells_2_task1,_1_task1
19618.168702173352,1325016787.0437279,452415.42260358145,48.9
19469.48001839772,1315586800.1757534,451237.0607670287,49.0
19322.73531107354,1306223923.4705338,450080.7989637598,49.1
19177.901796987848,1296927679.3754096,448946.3478273442,49.2
19034.94734901377,1287697593.7348847,447833.42344868736,49.3
18893.84047999543,1278533195.7664723,446741.747253595,49.4
18754.550326860168,1269434018.0367148,445671.04588211235,49.5
18617.0466349323,1260399596.437365,444621.05106946937,49.6
18481.299742422936,1251429470.161738,443591.4995284663,49.7
18347.280565070232,1242523181.681225,442582.13283313194,49.8
18214.960581874366,1233680276.721982,441592.697309729,49.9
18084.311910882134,1224900304.242828,440622.94450752006,50.0
17955.30722048213,1216182816.4113882,439672.6306113583,50.1
17827.919669172396,1207527368.5807316,438741.5160377918,50.2
17702.122936550913,1198933519.2672234,437829.3656184704,50.3
17577.891210925714,1190400830.128026,436935.94850469526,50.4
17455.199177101356,1181928865.9387655,436061.03807339224,50.5
17334.022004323237,1173517194.5713477,435204.4118343868,50.6
17214.33533436146,1165165386.9719315,434365.85133886134,50.7
17096.115269715825,1156873017.139056,433545.1420888732,50.8
16979.33836192345,1148639662.1019175,432742.0734478129,50.9
16863.981652855175,1140464901.8995986,431956.4388731728,51.0
16750.022649394734,1132348319.5594401,431188.0357447931,51.1
16637.43924174649,1124289501.0747085,430436.66485083743,51.2
16526.209736941284,1116288035.3841524,429702.13057408837,51.3
16416.312849336326,1108343514.3510473,428984.2408171742,51.4
16307.727691229247,1100455532.742397,428282.8069287527,51.5
16200.433763603805,1092623688.208272,427597.6436307481,51.6
16094.410946994285,1084847581.261296,426928.5689465548,51.7
15989.639492455575,1077126815.256276,426275.40413011867,51.8
15886.100012625855,1069460996.3699697,425637.9735958087,51.9
15783.773497210626,1061849733.5815476,425016.10501006147,52.0
15682.641319574128,1054292638.6529863,424409.6293243558,52.1
15582.685163579989,1046789326.1078115,423818.3802806411,52.2
15483.887047585968,1039339413.2121582,423242.19455981225,52.3
15386.229317919455,1031942519.9552789,422680.9117284036,52.4
15289.694641560653,1024598269.0301714,422134.37418020563,52.5
15194.26599892948,1017306285.8143393,421602.42707873264,52.6
15099.92667676677,1010066198.3506879,421084.9183004753,52.7
15006.660261100202,1002877637.3285533,420581.69837887475,52.8
14914.450630285444,995740236.0648627,420092.6204489526,52.9
14823.281966416964,988653630.4859605,419617.54031064274,53.0
14733.138781686124,981617459.1099936,419156.3165887385,53.1
14644.005825045711,974631363.0259467,418708.8101206464,53.2
14555.868112575257,967694985.8764012,418274.8841425076,53.3
14468.710924946332,960807973.839458,417854.40426317794,53.4
14382.519801369948,953969975.6106904,417447.2384156565,53.5
14297.280533592166,947180642.3852158,417053.25680897274,53.6
14212.979159929573,940439627.8398945,416672.33188047394,53.7
14129.60195933615,933746588.1156516,416304.33824845444,53.8
14047.135445493084,927101181.799918,415949.15266506944,53.9
13965.566360913122,920503069.9091977,415606.6539694756,54.0
13884.881671050982,913951915.8717489,415276.7230411396,54.1
13805.0685584114,907447385.5103875,414959.24275325815,54.2
13726.114436906524,900989147.0260867,414654.098058105,54.3
13648.007081178657,894576870.9855497,414361.1768208181,54.4
13570.734395224476,888210230.2967993,414080.3683054859,54.5
13494.284463469769,881888900.1943557,413811.5634998425,54.6
13418.645573637288,875612558.2235862,413554.65525647305,54.7
13343.806212356414,869380884.2242516,413309.538256702,54.8
13269.75506081474,863193560.3141665,413076.108974859,54.9
13196.480990446045,857050270.8729764,412854.2656428842,55.0
13123.973058648951,850950702.5260429,412643.9082152327,55.1
13052.220504530715,844894544.128442,412444.9383340391,55.2
12981.212744670524,838881486.7490728,412257.25929450244,55.3
12910.939368896688,832911223.6548731,412080.77601045213,55.4
12841.39013607215,826983450.2951477,411915.39498005534,55.5
12772.554972615344,821097864.286135,411761.02427036606,55.6
12704.424051794671,815254165.3997064,411617.57405585505,55.7
12636.987691569891,809452055.5431314,411484.95591272134,55.8
12570.236338321418,803691238.7432257,411363.08270225377,55.9
12504.160595690946,797971421.1328524,411251.8687636198,56.0
12438.751221297964,792292310.9359238,411151.22988644417,56.1
12373.999123486788,786653618.4525077,411061.08328367467,56.2
12309.8953581002,781055056.0440388,410981.34756470664,56.3
12246.431125275716,775496338.1186285,410911.94270873873,56.4
12183.597766260682,769977181.1164812,410852.79003833176,56.5
12121.386760242152,764497303.4954064,410803.81219314295,56.6
12059.789721187723,759056425.7164323,410764.9331038079,56.7
11998.798394693382,753654270.2295182,410736.07796594175,56.8
11938.404654834432,748290561.4593616,410717.17321423255,56.9
11878.600548805676,742965025.7943685,410708.146816501,57.0
11819.378272204875,737677391.5712718,410708.92810355977,57.1
11760.730105409988,732427389.0573549,410719.44733870466,57.2
11702.648451685127,727214750.4392868,410739.6359682326,57.3
11645.12583476153,722039209.8094525,410769.4266007527,57.4
11588.154896432645,716900503.1523832,410808.75298665225,57.5
11531.728394173333,711798368.3312739,410857.54999778385,57.6
11475.839198780648,706732545.0745995,410915.7536073552,57.7
11420.480292033562,701702774.9628202,410983.3008700012,57.8
11365.64476436902,696708801.4151787,411060.12990202085,57.9
11311.325812571762,691750369.6765914,411146.1798617585,58.0
11257.516737475227,686827226.8046246,411241.39093011076,58.1
11204.210941671008,681939121.6565634,411345.7042911406,58.2
11151.401943487366,677085804.8781184,411459.06222683634,58.3
11099.083392378354,672267028.8923525,411581.40822180925,58.4
11047.249007048498,667482547.8813292,411712.6865261591,58.5
10995.89260135841,662732117.7762145,411852.842334015,58.6
10945.008084093806,658015496.2449734,412001.8217788157,58.7
10894.58945714908,653332442.6799994,412159.57191751275,58.8
10844.630813729984,648682718.1858287,412326.04071494925,58.9
10795.126336573687,644066085.566942,412501.17702840065,59.0
10746.070296184305,639482309.3156481,412684.9305922633,59.1
10697.457049082135,634931155.6000524,412877.25200287846,59.2
10649.281036064733,630412392.2521069,413078.09270347684,59.3
10601.536780478024,625925788.755743,413287.40496923105,59.4
10554.218886495664,621471116.2350866,413505.14189240173,59.5
10507.322042567976,617048147.4434053,413731.2574051179,59.6
10460.841043570803,612656656.7545094,413965.70643820113,59.7
10414.77074498044,608296420.1456094,414208.4445856266,59.8
10369.10607502814,603967215.1876029,414459.42819072143,59.9
10323.842037295173,599668821.0342305,414718.6143628659,60.0
