AA,Cn,DFG,E1,E2,FA,Fru,Glu,Gly,MG,Man,Mel,_1DG,_3DG,Time
0.2605158774126601,0.6456806590446738,7.402491089944636,0.1303589779536975,0.3869448281982515,0.030201619520854924,0.017217726783302124,0.05014104722916929,1.0761062670176138,0.028550355800127866,0.031399899402489405,0.004098836885793408,0.04107678745102541,0.028423005973377127,5.3100000000000005
0.26140293979625817,0.6467272307063185,7.399767474399612,0.1304376338131434,0.3872249792232398,0.03031216358834335,0.017269596180121815,0.050287674634873956,1.0784474068839665,0.02865310223650201,0.03149183948189305,0.004122505680030941,0.04111502723694951,0.028494037495520742,5.32
0.262290897048586,0.647773188500578,7.397044860960709,0.13051592790924665,0.38750407377510737,0.030422893472056407,0.017321503046358714,0.05043438830462657,1.0807888730347952,0.02875601502896499,0.03158383430727931,0.004146264320134227,0.04115313270808032,0.02856505067600558,5.33
0.2631797465106685,0.6488185325124873,7.39432324925922,0.13059386125011002,0.3877821143941135,0.030533809069340417,0.01737344724060045,0.05058118782831784,1.0831306621393113,0.028859094079916853,0.03167588362275815,0.0041701129572370875,0.04119110418324584,0.02863604525162037,5.34
0.26406948552969584,0.6498632628269617,7.3916026389265745,0.13067143484118884,0.38805910361476453,0.03064491027748417,0.017425428621772487,0.05072807279697399,1.085472770875176,0.028962339291770885,0.031767987173147064,0.004194051742288813,0.04122894198047989,0.02870702096024234,5.3500000000000005
0.2649601114590114,0.6509073795287974,7.388883029594335,0.13074864968529917,0.388335043965829,0.03075619699371917,0.01747744704913723,0.05087504280275325,1.0878151959284754,0.029065750566953534,0.031860144703968855,0.004218080826053742,0.04126664641701915,0.02877797754083326,5.36
0.2658516216581018,0.6519508827026742,7.386164420894201,0.13082550678262583,0.3886099379703526,0.030867669115220046,0.01752950238229316,0.051022097438942336,1.0901579339937015,0.029169327807904436,0.03195235596144955,0.004242200359110866,0.04130421780930027,0.0288489147334355,5.37
0.2667440134925851,0.6529937724331566,7.383446812458009,0.13090200713073052,0.3888837881456724,0.03097932653910484,0.017581594481173968,0.05116923629995296,1.092500981773727,0.02927307091707635,0.03204462069251608,0.004266410491853411,0.04134165647295686,0.028919832279168074,5.38
0.2676372843342003,0.6540360488046953,7.380730203917727,0.13097815172456004,0.38915659700343236,0.03109116916243531,0.017633723206047648,0.05131645898131828,1.0948443359797841,0.029376979796935127,0.03213693864479423,0.004290711374488429,0.04137896272281661,0.028990729920222662,5.39
0.2685314315607961,0.6550777119016297,7.378014594905462,0.13105394155645436,0.3894283670495976,0.031203196882217295,0.017685888417515647,0.05146376507968946,1.0971879933314417,0.029481054349959693,0.03222930956660633,0.004315103157036387,0.04141613687289832,0.02906160739985968,5.4
0.2694264525563198,0.656118761808188,7.375299985053455,0.13112937761615473,0.3896991007844696,0.03131540959540098,0.017738089976511964,0.051611154192832034,1.099531950556582,0.02958529447864197,0.03232173320696912,0.004339585989330752,0.041453179236408975,0.02913246446240429,5.41
