A,I1,I2,O,R,S,Time
0.3235544776119695,0.0007087418567601816,0.6755440654966891,6.0944141623535766e-05,0.00013158063221366435,1.9026074688805845e-07,4.24
0.32355419874626196,0.0007032134220973293,0.6755502140171855,6.0937755906738926e-05,0.00013124581831101996,1.9024024036497587e-07,4.25
0.3235539280912935,0.0006977302166911207,0.6755563063029987,6.0931423545149504e-05,0.00013091374556913068,1.9021990541236075e-07,4.26
0.3235536654280092,0.0006922918705176896,0.6755623429661503,6.092514407377109e-05,0.0001305843915116501,1.9019974052918167e-07,4.2700000000000005
0.32355341054303666,0.0006868980165802114,0.6755683246097623,6.091891703214113e-05,0.00013025773384740222,1.9017974422918162e-07,4.28
0.32355316322854016,0.0006815482908841405,0.6755742518282305,6.091274196427518e-05,0.00012993375046883342,1.9015991504069328e-07,4.29
0.3235529232820781,0.0006762423324126559,0.6755801252073916,6.0906618418612044e-05,0.00012961241945047832,1.901402515064574e-07,4.3
0.3235526905064639,0.0006709797831023035,0.6755859453246892,6.090054594795982e-05,0.0001292937190474387,1.9012075218344435e-07,4.3100000000000005
0.32355246470963145,0.0006657602878188417,0.6755917127493337,6.089452410944287e-05,0.00012897762769387583,1.9010141564267845e-07,4.32
0.32355224570450297,0.0006605834943332786,0.6755974280424603,6.088855246444969e-05,0.00012866412400151572,1.900822404690655e-07,4.33
0.3235520333088608,0.0006554490532981102,0.6756030917572821,6.088263057858157e-05,0.00012835318675816768,1.9006322526122305e-07,4.34
0.3235518273452222,0.0006503566182237507,0.6756087044392405,6.087675802160217e-05,0.00012804479492625542,1.9004436863131366e-07,4.3500000000000005
0.3235516276407178,0.0006453058454551573,0.675614266626152,6.087093436738784e-05,0.00012773892764136115,1.9002566920488062e-07,4.36
0.3235514340269726,0.0006402963941486422,0.6756197788483513,6.086515919387885e-05,0.00012743556421078206,1.9000712562068673e-07,4.37
0.3235512463399905,0.000635327926248878,0.6756252416288319,6.0859432083031275e-05,0.0001271346841120994,1.8998873653055546e-07,4.38
0.32355106442004133,0.0006304001064660903,0.6756306554833823,6.0853752620769744e-05,0.00012683626699176004,1.8997050059921492e-07,4.39
