Time,T,I,VI,VNI,s,r,k,d1,alpha,d2,beta,d3,nr,c,n1,compartment,Formation_of_target_cells,Removal_of_target_cell,Formation_infected_cell,Removal_of_infected_cell,Formation_of_infected_virion,Removal_of_infected_virion,Formation_of_non_infected_virion,Removal_of_non_infected_virion
30.8,25543708.02338217,14509283.336666333,4207667.082275867,2805111.388183864,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14764277.749760011,14765158.70048272,14509721.620248899,14509283.336666333,25246153.00579942,25246002.493655205,16830768.670532946,16830668.329103183
31.15,25543441.381452944,14509412.561653472,4207711.672764949,2805141.115176582,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14764500.12490201,14765158.336363643,14509723.922549114,14509412.561653472,25246377.857277043,25246270.03658969,16830918.571518026,16830846.691059493
31.5,25543244.546386097,14509501.97871297,4207742.878190433,2805161.9187935977,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14764664.277184503,14765152.164464774,14509719.719000913,14509501.97871297,25246533.442960568,25246457.269142598,16831022.295307044,16830971.512761585
31.85,25543100.50445869,14509562.5525436,4207764.322418225,2805176.2149454826,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14764784.399463993,14765142.848236155,14509711.843191568,14509562.5525436,25246638.841425862,25246585.93450935,16831092.560950574,16831057.289672896
32.2,25542995.743136715,14509602.8733034,4207778.845802171,2805185.897201464,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14764871.762646971,14765132.372193418,14509702.414762052,14509602.8733034,25246708.999547917,25246673.074813027,16831139.333031945,16831115.383208785
32.55,25542921.35223407,14509627.85599725,4207788.1156302355,2805192.07708685,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14764933.79841303,14765121.335617458,14509692.122095117,14509627.85599725,25246752.469435215,25246728.693781413,16831168.31295681,16831152.4625211
32.9,25542867.680538036,14509643.861627048,4207794.2303313725,2805196.1535542565,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14764978.555720666,14765111.39586394,14509682.719058558,14509643.861627048,25246780.319231063,25246765.381988235,16831186.879487373,16831176.92132554
33.25,25542830.656749506,14509652.45936654,4207797.749668376,2805198.4997788966,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14765009.43000363,14765102.129847674,14509673.823280178,14509652.45936654,25246795.27929778,25246786.498010255,16831196.852865186,16831190.99867338
33.6,25542804.58230976,14509656.997335289,4207799.796254008,2805199.8641692866,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14765031.173490604,14765094.114644954,14509666.068821857,14509656.997335289,25246803.175363403,25246798.777524047,16831202.116908934,16831199.18501572
33.95,25542787.24125652,14509658.320018869,4207800.673693207,2805200.449128733,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14765045.63416105,14765087.11625036,14509659.243837794,14509658.320018869,25246805.476832833,25246804.042159244,16831203.651221886,16831202.6947724
34.3,25542775.895338282,14509657.574949965,4207800.784772082,2805200.5231813435,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14765055.095482124,14765080.94073773,14509653.181784347,14509657.574949965,25246804.180412937,25246804.70863249,16831202.786941957,16831203.13908806
34.65,25542769.223632243,14509655.334657555,4207800.334582526,2805200.223055003,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14765060.658987543,14765075.531760462,14509647.839524139,14509655.334657555,25246800.282304145,25246802.007495157,16831200.188202765,16831201.33833002
35.0,25542765.705253374,14509652.246408805,4207799.551262941,2805199.7008419656,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14765063.592945745,14765070.796850776,14509643.139798243,14509652.246408805,25246794.90875132,25246797.307577647,16831196.605834212,16831198.205051795
