T,C0,C1,C2,C3,C4,IK,O0,O1,O2,O3,O4
4.5999999,0.86812603,0.125191,0.0067714839,0.00016288615,1.4743083e-06,0.0,3.0591807e-05,2.7641143e-05,1.6321603e-05,5.808437e-06,8.396928e-07
4.6500001,0.86813146,0.12519188,0.0067715547,0.00016288982,1.4744265e-06,0.0,3.0898944e-05,2.7912256e-05,1.647625e-05,5.8642017e-06,8.4795363e-07
4.6999998,0.868137,0.12519276,0.006771626,0.00016289348,1.4745444e-06,0.0,3.1205211e-05,2.8182605e-05,1.6630462e-05,5.9198087e-06,8.5619115e-07
4.75,0.86814255,0.12519366,0.0067716977,0.00016289717,1.4746622e-06,0.0,3.1510615e-05,2.8452192e-05,1.6784239e-05,5.9752588e-06,8.6440548e-07
4.8000002,0.86814821,0.12519456,0.0067717698,0.00016290085,1.4747798e-06,0.0,3.1815161e-05,2.8721017e-05,1.6937582e-05,6.0305529e-06,8.7259662e-07
4.8499999,0.86815387,0.12519549,0.006771842,0.00016290453,1.4748972e-06,0.0,3.2118845e-05,2.8989085e-05,1.7090493e-05,6.085691e-06,8.8076467e-07
4.9000001,0.86815965,0.12519641,0.0067719151,0.00016290821,1.4750143e-06,0.0,3.2421674e-05,2.9256396e-05,1.7242974e-05,6.1406731e-06,8.8890965e-07
4.9499998,0.86816549,0.12519734,0.0067719882,0.00016291191,1.4751313e-06,0.0,3.2723648e-05,2.9522955e-05,1.7395023e-05,6.1955006e-06,8.9703167e-07
5.0,0.86817133,0.12519829,0.0067720618,0.0001629156,1.4752482e-06,0.0,3.3024768e-05,2.978876e-05,1.7546645e-05,6.2501736e-06,9.0513078e-07
5.0500002,0.56552607,0.35779935,0.071514808,0.0053238082,0.00012508564,0.00093812885,4.3410796e-06,2.424464e-05,4.4043431e-05,2.7591188e-05,6.4274095e-06
5.0999999,0.33838254,0.43677464,0.19020157,0.03291142,0.0018922372,0.0020572862,8.0926475e-07,1.2192474e-05,7.2943578e-05,0.00010263763,4.529221e-05
5.1500001,0.20789011,0.41503868,0.28746691,0.081498966,0.0079040229,0.0052589797,4.0055855e-07,9.7465727e-06,0.00011254566,0.0002699905,0.00020516504
5.1999998,0.131347,0.36015016,0.34807259,0.13996062,0.019536003,0.011703155,2.8408587e-07,8.8746501e-06,0.00015143484,0.00053882581,0.00063101231
5.25,0.085448228,0.30058903,0.37669921,0.19850203,0.036616907,0.022357207,2.2083725e-07,8.0581376e-06,0.00018081615,0.00088047684,0.0014720283
5.3000002,0.057284836,0.24706315,0.38264176,0.25110489,0.057995729,0.037885223,1.7777219e-07,7.2226389e-06,0.00019954277,0.0012582483,0.0028416577
5.3499999,0.039590701,0.20252797,0.3744213,0.29505348,0.082138948,0.05862866,1.4646362e-07,6.4397941e-06,0.00020973111,0.0016439849,0.0048046927
5.4000001,0.028205259,0.1668057,0.35840079,0.32982808,0.10753541,0.084642775,1.2314291e-07,5.7515285e-06,0.00021408869,0.0020215672,0.0073807905
5.4499998,0.020702774,0.13864805,0.33885211,0.3561269,0.13290833,0.11575776,1.0554324e-07,5.1694838e-06,0.00021493244,0.0023847339,0.010554581
5.5,0.015642136,0.1166085,0.31842944,0.37518764,0.15729094,0.15164423,9.2144681e-08,4.6893397e-06,0.00021397653,0.0027335677,0.014286828
5.5500002,0.012150506,0.099373579,0.29866058,0.38837844,0.18002248,0.19187227,8.188546e-08,4.3002419e-06,0.00021239088,0.003071428,0.018524142
5.5999999,0.0096887611,0.085858442,0.28033915,0.39698204,0.20070541,0.23595941,7.4007694e-08,3.989644e-06,0.00021092576,0.0034028033,0.02320645
5.6500001,0.0079172738,0.075206965,0.26380458,0.40210152,0.21914962,0.28340694,6.7961658e-08,3.7454931e-06,0.00021003064,0.0037320326,0.028272279
5.6999998,0.0066178623,0.06675902,0.24912959,0.40463576,0.23531754,0.33372539,6.334259e-08,3.5570604e-06,0.00020994854,0.0040626712,0.0336622
5.75,0.0056476314,0.060011238,0.23623988,0.40529057,0.24927656,0.38645142,5.9847991e-08,3.4151349e-06,0.00021078538,0.0043972777,0.039320886
5.8000002,0.004911209,0.054581363,0.22498806,0.4046053,0.26116094,0.44115767,5.7248389e-08,3.3119454e-06,0.00021255891,0.0047374372,0.045198161
5.8499999,0.0043437667,0.050179023,0.21519744,0.40298343,0.27114299,0.49745786,5.536716e-08,3.2409869e-06,0.00021523265,0.0050839065,0.051249392
5.9000001,0.0039004507,0.046582945,0.20668703,0.40072152,0.27941239,0.55500817,5.4066458e-08,3.1968277e-06,0.0002187388,0.0054367953,0.057435464
5.9499998,0.0035496987,0.043623682,0.19928481,0.39803433,0.28616169,0.61350632,5.3237347e-08,3.1749346e-06,0.00022299359,0.0057957484,0.063722454
6.0,0.0032689394,0.041170694,0.19283406,0.39507532,0.29157725,0.67268944,5.2792789e-08,3.1715206e-06,0.00022790738,0.0061601023,0.070081234
6.0500002,0.0030417824,0.039122742,0.18719579,0.39195257,0.29583335,0.73233074,5.2662571e-08,3.1834177e-06,0.00023339091,0.0065290122,0.076486953
6.0999999,0.0028561531,0.037400775,0.18224873,0.38874123,0.29908931,0.79223591,5.2789613e-08,3.2079736e-06,0.00023935929,0.0069015464,0.082918555
6.1500001,0.0027030348,0.035942644,0.17788835,0.38549271,0.30148816,0.85223985,5.312722e-08,3.2429655e-06,0.00024573409,0.0072767572,0.089358293
6.1999998,0.0025756096,0.034699149,0.17402522,0.38224161,0.30315667,0.91220284,5.3636999e-08,3.2865296e-06,0.00025244436,0.0076537258,0.095791273
6.25,0.0024686619,0.033631112,0.17058329,0.37901062,0.30420598,0.97200739,5.4287256e-08,3.337103e-06,0.00025942703,0.0080315936,0.10220506
6.3000002,0.0023781583,0.032707125,0.16749811,0.3758142,0.30473265,1.0315553,5.5051764e-08,3.3933745e-06,0.00026662662,0.0084095774,0.10858934
6.3499999,0.0023009498,0.031901892,0.16471519,0.37266108,0.30482018,1.0907648,5.5908757e-08,3.4542459e-06,0.00027399487,0.0087869754,0.11493555
6.4000001,0.0022345558,0.031194922,0.1621886,0.36955622,0.30454019,1.1495682,5.6840154e-08,3.5187954e-06,0.00028149007,0.0091631729,0.12123668
6.4499998,0.0021770063,0.030569548,0.15987965,0.36650193,0.30395401,1.2079102,5.783091e-08,3.5862524e-06,0.00028907653,0.0095376354,0.127487
6.5,0.0021267259,0.030012159,0.15775581,0.36349893,0.30311382,1.2657454,5.8868512e-08,3.6559713e-06,0.0002967238,0.0099099036,0.13368183
6.5500002,0.0020824466,0.029511591,0.15578964,0.36054683,0.30206394,1.3230373,5.9942536e-08,3.7274126e-06,0.00030440604,0.010279591,0.13981745
6.5999999,0.0020431424,0.029058671,0.15395819,0.35764465,0.30084193,1.3797566,6.1044318e-08,3.8001253e-06,0.00031210147,0.01064637,0.14589086
6.6500001,0.0020079785,0.028645821,0.15224208,0.35479102,0.29947954,1.4358801,6.2166627e-08,3.8737339e-06,0.00031979184,0.011009971,0.15189974
6.6999998,0.0019762728,0.028266788,0.15062506,0.35198444,0.29800349,1.4913901,6.3303467e-08,3.9479246e-06,0.00032746184,0.011370171,0.15784229
6.75,0.0019474658,0.027916379,0.14909348,0.34922332,0.29643628,1.5462731,6.4449843e-08,4.0224377e-06,0.00033509871,0.011726791,0.16371718
6.8000002,0.0019210976,0.027590288,0.14763585,0.34650612,0.29479688,1.6005191,6.5601618e-08,4.0970563e-06,0.0003426919,0.012079686,0.16952342
6.8499999,0.0018967882,0.027284931,0.14624248,0.34383139,0.29310113,1.6541213,6.6755369e-08,4.1716012e-06,0.00035023273,0.012428744,0.17526035
6.9000001,0.0018742235,0.026997322,0.14490528,0.3411977,0.29136238,1.7070755,6.7908239e-08,4.2459242e-06,0.0003577141,0.012773878,0.18092762
6.9499998,0.0018531425,0.02672497,0.14361741,0.33860376,0.28959167,1.7593795,6.905789e-08,4.3199034e-06,0.0003651302,0.013115025,0.18652502
7.0,0.0018333287,0.02646579,0.14237307,0.33604839,0.28779837,1.811033,7.020239e-08,4.3934383e-06,0.00037247638,0.01345214,0.19205257
7.0500002,0.0018146018,0.026218046,0.14116743,0.33353052,0.28599024,1.8620369,7.134016e-08,4.4664471e-06,0.00037974888,0.013785194,0.19751042
7.0999999,0.0017968114,0.025980271,0.13999639,0.33104908,0.2841737,1.9123938,7.2469909e-08,4.5388638e-06,0.00038694483,0.014114171,0.20289887
7.1500001,0.0017798317,0.025751246,0.13885649,0.32860321,0.28235412,1.9621068,7.359057e-08,4.6106334e-06,0.00039406188,0.014439068,0.20821828
7.1999998,0.0017635578,0.025529942,0.13774475,0.32619205,0.28053594,2.0111802,7.4701305e-08,4.681714e-06,0.0004010984,0.014759889,0.21346912
7.25,0.0017479014,0.025315493,0.13665876,0.32381478,0.27872282,2.0596185,7.5801424e-08,4.7520703e-06,0.00040805314,0.015076648,0.21865194
7.3000002,0.001732789,0.025107171,0.13559635,0.32147068,0.27691787,2.1074271,7.6890394e-08,4.8216766e-06,0.00041492519,0.015389363,0.22376728
7.3499999,0.0017181581,0.024904363,0.13455576,0.31915912,0.27512351,2.1546121,7.796779e-08,4.8905122e-06,0.00042171407,0.015698062,0.22881582
7.4000001,0.001703957,0.02470655,0.13353544,0.31687942,0.27334177,2.201179,7.9033292e-08,4.958561e-06,0.0004284195,0.016002771,0.23379821
7.4499998,0.0016901413,0.024513291,0.13253409,0.31463102,0.27157438,2.2471349,8.0086657e-08,5.0258136e-06,0.0004350415,0.016303523,0.23871514
7.5,0.0016766741,0.024324214,0.13155058,0.31241333,0.2698226,2.2924857,8.1127702e-08,5.0922617e-06,0.00044158014,0.016600356,0.24356732
7.5500002,0.001663524,0.024139004,0.13058396,0.31022584,0.26808757,2.3372388,8.2156326e-08,5.1579013e-06,0.00044803577,0.016893303,0.24835549
7.5999999,0.0016506641,0.023957387,0.12963337,0.30806807,0.26637009,2.3814006,8.3172445e-08,5.2227306e-06,0.00045440884,0.01718241,0.2530804
7.6500001,0.0016380722,0.023779135,0.12869811,0.3059395,0.26467088,2.4249783,8.4176037e-08,5.2867499e-06,0.00046069984,0.017467713,0.25774279
7.6999998,0.0016257288,0.02360405,0.12777752,0.30383968,0.26299039,2.467979,8.5167095e-08,5.3499612e-06,0.00046690943,0.017749256,0.26234341
7.75,0.0016136175,0.023431962,0.12687106,0.30176815,0.26132905,2.5104096,8.6145661e-08,5.4123675e-06,0.00047303826,0.018027082,0.26688302
7.8000002,0.0016017244,0.023262721,0.12597825,0.29972455,0.25968716,2.5522771,8.7111772e-08,5.4739744e-06,0.00047908712,0.018301236,0.27136239
7.8499999,0.0015900373,0.023096202,0.12509863,0.29770839,0.25806481,2.5935888,8.8065505e-08,5.5347859e-06,0.00048505675,0.018571759,0.27578229
7.9000001,0.0015785455,0.022932291,0.12423185,0.2957193,0.25646222,2.6343515,8.9006946e-08,5.5948094e-06,0.00049094798,0.018838696,0.28014344
7.9499998,0.0015672403,0.022770891,0.12337752,0.2937569,0.25487936,2.6745725,8.9936186e-08,5.6540516e-06,0.0004967617,0.019102095,0.2844466
8.0,0.0015561137,0.022611916,0.12253536,0.29182076,0.25331625,2.7142584,9.0853327e-08,5.7125194e-06,0.00050249876,0.019361995,0.28869253
8.0500002,0.0015451587,0.022455288,0.12170506,0.28991058,0.25177285,2.7534163,9.1758487e-08,5.7702209e-06,0.00050816004,0.019618442,0.29288197
8.1000004,0.0015343693,0.022300942,0.12088638,0.28802595,0.25024909,2.792053,9.2651788e-08,5.8271644e-06,0.0005137464,0.019871483,0.29701564
