_1_task1,cAMP_1_task1
911.0,5.651696927221226e-06
912.0,5.6516969259612894e-06
913.0,5.65169692478127e-06
914.0,5.651696923641807e-06
915.0,5.651696922541625e-06
916.0,5.651696921479451e-06
917.0,5.6516969204540066e-06
918.0,5.6516969194640165e-06
919.0,5.651696918508206e-06
920.0,5.651696917585297e-06
921.0,5.651696916694016e-06
922.0,5.651696915833088e-06
923.0,5.651696915001234e-06
924.0,5.651696914197181e-06
925.0,5.651696913419651e-06
926.0,5.651696912698583e-06
927.0,5.651696912013218e-06
928.0,5.651696911355101e-06
929.0,5.651696910723117e-06
930.0,5.651696910116152e-06
931.0,5.651696909533095e-06
932.0,5.65169690897283e-06
933.0,5.651696908434244e-06
934.0,5.651696907916224e-06
935.0,5.651696907417656e-06
936.0,5.6516969069374275e-06
937.0,5.651696906474423e-06
938.0,5.651696906027531e-06
939.0,5.651696905595636e-06
940.0,5.651696905177626e-06
941.0,5.651696904772387e-06
942.0,5.651696904378805e-06
943.0,5.651696903995766e-06
944.0,5.6516969036221575e-06
945.0,5.651696903256866e-06
946.0,5.651696902898778e-06
947.0,5.651696902546778e-06
948.0,5.651696902199755e-06
949.0,5.651696901856594e-06
950.0,5.651696901516181e-06
951.0,5.651696901177404e-06
952.0,5.651696900894573e-06
953.0,5.651696900665677e-06
954.0,5.651696900446929e-06
955.0,5.651696900237644e-06
956.0,5.651696900037134e-06
957.0,5.6516968998447116e-06
958.0,5.651696899659691e-06
959.0,5.6516968994813835e-06
960.0,5.651696899309102e-06
961.0,5.651696899142161e-06
962.0,5.651696898979872e-06
963.0,5.651696898821549e-06
964.0,5.651696898666504e-06
965.0,5.651696898514049e-06
966.0,5.651696898363498e-06
967.0,5.651696898214164e-06
968.0,5.65169689806536e-06
969.0,5.651696897916398e-06
970.0,5.651696897766591e-06
971.0,5.651696897615252e-06
972.0,5.6516968974616945e-06
973.0,5.651696897305231e-06
974.0,5.651696897145174e-06
975.0,5.651696896980836e-06
976.0,5.6516968968115315e-06
977.0,5.6516968966365726e-06
978.0,5.651696896481835e-06
979.0,5.651696896389829e-06
980.0,5.651696896300681e-06
981.0,5.651696896214084e-06
982.0,5.651696896129739e-06
983.0,5.65169689604734e-06
984.0,5.651696895966583e-06
985.0,5.651696895887167e-06
986.0,5.651696895808787e-06
987.0,5.65169689573114e-06
988.0,5.651696895653923e-06
989.0,5.651696895576832e-06
990.0,5.651696895499564e-06
991.0,5.6516968954218155e-06
992.0,5.651696895343283e-06
993.0,5.651696895263665e-06
994.0,5.651696895182655e-06
995.0,5.651696895099952e-06
996.0,5.651696895015252e-06
997.0,5.651696894928252e-06
998.0,5.651696894838647e-06
999.0,5.651696894746136e-06
1000.0,5.6516968946504124e-06
