_1_task1,mRNA_ptsG_1_task1,mRNA_ptsH_2_task1,mRNA_ptsI_3_task1
355.0,4.56665491454814e-07,1.1437049147518915e-07,1.0061299688349491e-08
356.0,4.566654913288305e-07,1.143704914219188e-07,1.0061299683020895e-08
357.0,4.56665491215876e-07,1.1437049137343951e-07,1.006129967815528e-08
358.0,4.5666549111634837e-07,1.1437049132990113e-07,1.0061299673767164e-08
359.0,4.566654910306452e-07,1.1437049129145356e-07,1.0061299669871062e-08
360.0,4.566654909591643e-07,1.1437049125824675e-07,1.0061299666481493e-08
361.0,4.5666549090230346e-07,1.1437049123043053e-07,1.006129966361297e-08
362.0,4.566654908604604e-07,1.1437049120815483e-07,1.006129966128001e-08
363.0,4.5666549083403287e-07,1.1437049119156957e-07,1.0061299659497132e-08
364.0,4.5666549082341865e-07,1.1437049118082461e-07,1.0061299658278849e-08
365.0,4.566654908290154e-07,1.1437049117606987e-07,1.006129965763968e-08
366.0,4.5666549085122097e-07,1.1437049117745525e-07,1.0061299657594139e-08
367.0,4.566654908904331e-07,1.1437049118513064e-07,1.0061299658156744e-08
368.0,4.5666549094704946e-07,1.1437049119924592e-07,1.006129965934201e-08
369.0,4.566654910214679e-07,1.1437049121995102e-07,1.0061299661164454e-08
370.0,4.5666549111408615e-07,1.1437049124739583e-07,1.006129966363859e-08
371.0,4.566654912253019e-07,1.1437049128173024e-07,1.0061299666778942e-08
372.0,4.5666549135551294e-07,1.1437049132310415e-07,1.0061299670600019e-08
373.0,4.566654915051171e-07,1.1437049137166747e-07,1.0061299675116337e-08
374.0,4.5666549167451195e-07,1.1437049142757007e-07,1.0061299680342416e-08
375.0,4.566654918640954e-07,1.1437049149096189e-07,1.006129968629277e-08
376.0,4.566654920742652e-07,1.1437049156199277e-07,1.0061299692981916e-08
377.0,4.56665492305419e-07,1.1437049164081266e-07,1.0061299700424373e-08
378.0,4.5666549255795456e-07,1.1437049172757145e-07,1.0061299708634652e-08
379.0,4.566654928322697e-07,1.1437049182241902e-07,1.0061299717627273e-08
380.0,4.5666549312876217e-07,1.1437049192550527e-07,1.0061299727416752e-08
381.0,4.566654934478297e-07,1.1437049203698012e-07,1.0061299738017604e-08
382.0,4.5666549378986996e-07,1.1437049215699344e-07,1.0061299749444345e-08
383.0,4.5666549415528087e-07,1.1437049228569514e-07,1.0061299761711495e-08
384.0,4.5666549454446006e-07,1.1437049242323512e-07,1.0061299774833565e-08
385.0,4.5666549495780525e-07,1.1437049256976327e-07,1.0061299788825076e-08
386.0,4.566654949006743e-07,1.1437049254369571e-07,1.0061299786179006e-08
387.0,4.566654948156507e-07,1.1437049250751284e-07,1.006129978256067e-08
388.0,4.5666549473279603e-07,1.1437049247225444e-07,1.0061299779034523e-08
389.0,4.56665494652179e-07,1.1437049243794962e-07,1.0061299775603427e-08
390.0,4.5666549457386814e-07,1.143704924046274e-07,1.006129977227025e-08
391.0,4.566654944979321e-07,1.1437049237231686e-07,1.0061299769037857e-08
392.0,4.566654944244395e-07,1.1437049234104709e-07,1.0061299765909114e-08
393.0,4.566654943534589e-07,1.1437049231084712e-07,1.0061299762886889e-08
394.0,4.566654942850589e-07,1.1437049228174605e-07,1.006129975997405e-08
395.0,4.5666549421930814e-07,1.1437049225377289e-07,1.006129975717346e-08
396.0,4.5666549415627523e-07,1.1437049222695677e-07,1.0061299754487988e-08
397.0,4.566654940960287e-07,1.1437049220132672e-07,1.0061299751920497e-08
398.0,4.5666549403863723e-07,1.143704921769118e-07,1.0061299749473857e-08
399.0,4.566654939841694e-07,1.1437049215374111e-07,1.0061299747150934e-08
400.0,4.5666549393269385e-07,1.1437049213184367e-07,1.0061299744954594e-08
401.0,4.5666549388427914e-07,1.1437049211124858e-07,1.0061299742887701e-08
402.0,4.5666549383899385e-07,1.1437049209198489e-07,1.0061299740953124e-08
403.0,4.566654937969067e-07,1.1437049207408167e-07,1.006129973915373e-08
404.0,4.5666549375808616e-07,1.1437049205756798e-07,1.0061299737492384e-08
405.0,4.5666549372260093e-07,1.1437049204247289e-07,1.0061299735971954e-08
406.0,4.566654936905195e-07,1.1437049202882545e-07,1.0061299734595303e-08
407.0,4.5666549366191065e-07,1.1437049201665477e-07,1.0061299733365302e-08
408.0,4.566654936368428e-07,1.1437049200598987e-07,1.0061299732284814e-08
409.0,4.566654936153847e-07,1.1437049199685983e-07,1.0061299731356708e-08
410.0,4.5666549359760486e-07,1.1437049198929372e-07,1.0061299730583848e-08
411.0,4.5666549358357196e-07,1.1437049198332061e-07,1.0061299729969102e-08
412.0,4.566654935733545e-07,1.1437049197896954e-07,1.0061299729515336e-08
413.0,4.5666549356702125e-07,1.143704919762696e-07,1.0061299729225415e-08
414.0,4.5666549356464067e-07,1.1437049197524985e-07,1.0061299729102209e-08
415.0,4.5666549356628137e-07,1.1437049197593935e-07,1.0061299729148582e-08
416.0,4.56665493572012e-07,1.1437049197836716e-07,1.0061299729367401e-08
417.0,4.5666549358190124e-07,1.1437049198256237e-07,1.0061299729761531e-08
418.0,4.566654935960175e-07,1.1437049198855403e-07,1.0061299730333839e-08
419.0,4.566654936144296e-07,1.1437049199637117e-07,1.0061299731087194e-08
420.0,4.56665493637206e-07,1.1437049200604293e-07,1.0061299732024459e-08
421.0,4.566654936644154e-07,1.1437049201759831e-07,1.0061299733148503e-08
422.0,4.5666549369612623e-07,1.1437049203106641e-07,1.006129973446219e-08
423.0,4.566654937324073e-07,1.143704920464763e-07,1.0061299735968388e-08
424.0,4.5666549377332714e-07,1.1437049206385702e-07,1.0061299737669967e-08
425.0,4.566654938189543e-07,1.1437049208323765e-07,1.0061299739569786e-08
426.0,4.566654938693575e-07,1.1437049210464724e-07,1.0061299741670715e-08
427.0,4.566654939246052e-07,1.1437049212811488e-07,1.0061299743975622e-08
428.0,4.5666549398476615e-07,1.1437049215366961e-07,1.0061299746487373e-08
429.0,4.5666549404990886e-07,1.1437049218134053e-07,1.0061299749208832e-08
430.0,4.5666549412010195e-07,1.1437049221115667e-07,1.0061299752142866e-08
431.0,4.5666549419541403e-07,1.143704922431471e-07,1.0061299755292345e-08
432.0,4.566654942759137e-07,1.143704922773409e-07,1.006129975866013e-08
433.0,4.566654943616696e-07,1.1437049231376714e-07,1.0061299762249091e-08
434.0,4.5666549445275037e-07,1.1437049235245487e-07,1.0061299766062096e-08
435.0,4.5666549454922446e-07,1.1437049239343314e-07,1.0061299770102006e-08
436.0,4.566654946511606e-07,1.1437049243673106e-07,1.0061299774371693e-08
437.0,4.566654947586274e-07,1.1437049248237766e-07,1.006129977887402e-08
438.0,4.5666549487169334e-07,1.1437049253040204e-07,1.0061299783611854e-08
439.0,4.5666549499042725e-07,1.1437049258083321e-07,1.0061299788588064e-08
440.0,4.5666549511489747e-07,1.1437049263370028e-07,1.0061299793805512e-08
441.0,4.566654952451728e-07,1.143704926890323e-07,1.0061299799267066e-08
442.0,4.566654953813218e-07,1.1437049274685835e-07,1.0061299804975597e-08
443.0,4.56665495523413e-07,1.1437049280720747e-07,1.0061299810933964e-08
444.0,4.5666549567151506e-07,1.1437049287010874e-07,1.006129981714504e-08
445.0,4.566654958256966e-07,1.1437049293559123e-07,1.0061299823611686e-08
446.0,4.5666549598602617e-07,1.14370493003684e-07,1.0061299830336774e-08
447.0,4.566654961525725e-07,1.143704930744161e-07,1.0061299837323165e-08
448.0,4.56665496325404e-07,1.1437049314781663e-07,1.006129984457373e-08
449.0,4.566654965045895e-07,1.1437049322391463e-07,1.0061299852091331e-08
450.0,4.566654966901974e-07,1.1437049330273917e-07,1.0061299859878838e-08
451.0,4.566654968822964e-07,1.1437049338431932e-07,1.0061299867939116e-08
452.0,4.566654970809551e-07,1.1437049346868413e-07,1.0061299876275032e-08
453.0,4.566654972862421e-07,1.1437049355586268e-07,1.0061299884889453e-08
454.0,4.5666549743502114e-07,1.1437049361897478e-07,1.006129989112934e-08
455.0,4.566654975012858e-07,1.1437049364694816e-07,1.0061299893901878e-08
456.0,4.566654975678366e-07,1.1437049367503467e-07,1.0061299896686372e-08
457.0,4.5666549763464843e-07,1.1437049370322356e-07,1.0061299899481751e-08
458.0,4.566654977016964e-07,1.1437049373150399e-07,1.0061299902286945e-08
459.0,4.5666549776895546e-07,1.143704937598652e-07,1.0061299905100893e-08
460.0,4.566654978364005e-07,1.1437049378829637e-07,1.0061299907922522e-08
461.0,4.566654979040066e-07,1.1437049381678674e-07,1.0061299910750768e-08
462.0,4.566654979717488e-07,1.1437049384532547e-07,1.006129991358456e-08
463.0,4.5666549803960197e-07,1.1437049387390182e-07,1.0061299916422833e-08
464.0,4.566654981075411e-07,1.1437049390250496e-07,1.0061299919264522e-08
465.0,4.566654981755412e-07,1.1437049393112411e-07,1.0061299922108552e-08
466.0,4.566654982435773e-07,1.1437049395974847e-07,1.0061299924953863e-08
467.0,4.5666549831162427e-07,1.1437049398836725e-07,1.0061299927799383e-08
468.0,4.566654983796572e-07,1.1437049401696965e-07,1.0061299930644044e-08
469.0,4.566654984476511e-07,1.143704940455449e-07,1.0061299933486782e-08
470.0,4.566654985155808e-07,1.1437049407408218e-07,1.0061299936326526e-08
471.0,4.5666549858342147e-07,1.143704941025707e-07,1.0061299939162212e-08
472.0,4.5666549865114795e-07,1.143704941309997e-07,1.006129994199277e-08
473.0,4.5666549871873525e-07,1.1437049415935832e-07,1.0061299944817132e-08
474.0,4.5666549878615844e-07,1.1437049418763583e-07,1.006129994763423e-08
475.0,4.5666549885339236e-07,1.1437049421582142e-07,1.0061299950443002e-08
476.0,4.5666549892041215e-07,1.1437049424390427e-07,1.0061299953242373e-08
477.0,4.566654989871927e-07,1.1437049427187362e-07,1.0061299956031279e-08
478.0,4.5666549905370904e-07,1.1437049429971867e-07,1.0061299958808653e-08
479.0,4.566654991199361e-07,1.1437049432742861e-07,1.0061299961573425e-08
480.0,4.5666549918584893e-07,1.1437049435499266e-07,1.006129996432453e-08
481.0,4.566654992514224e-07,1.1437049438240002e-07,1.00612999670609e-08
482.0,4.5666549931663167e-07,1.1437049440963989e-07,1.0061299969781466e-08
483.0,4.5666549938145155e-07,1.1437049443670151e-07,1.0061299972485162e-08
484.0,4.566654994458572e-07,1.1437049446357405e-07,1.006129997517092e-08
485.0,4.5666549950982336e-07,1.1437049449024672e-07,1.0061299977837672e-08
486.0,4.5666549957332527e-07,1.1437049451670875e-07,1.006129998048435e-08
487.0,4.5666549963633774e-07,1.1437049454294933e-07,1.0061299983109886e-08
488.0,4.566654996988358e-07,1.1437049456895767e-07,1.0061299985713217e-08
489.0,4.5666549976079446e-07,1.1437049459472298e-07,1.006129998829327e-08
490.0,4.566654998221888e-07,1.1437049462023445e-07,1.006129999084898e-08
491.0,4.566654998829936e-07,1.1437049464548131e-07,1.0061299993379277e-08
492.0,4.566654999431839e-07,1.1437049467045277e-07,1.0061299995883099e-08
493.0,4.566655000027348e-07,1.14370494695138e-07,1.0061299998359373e-08
494.0,4.566655000616212e-07,1.1437049471952625e-07,1.0061300000807033e-08
495.0,4.5666550011981806e-07,1.143704947436067e-07,1.0061300003225013e-08
496.0,4.566655001773004e-07,1.1437049476736856e-07,1.0061300005612241e-08
497.0,4.566655002340432e-07,1.1437049479080103e-07,1.0061300007967656e-08
498.0,4.566655002900215e-07,1.1437049481389333e-07,1.0061300010290186e-08
499.0,4.566655003452102e-07,1.1437049483663467e-07,1.0061300012578765e-08
500.0,4.566655003995843e-07,1.1437049485901424e-07,1.0061300014832324e-08
501.0,4.1766510188352754e-07,1.1289667294720661e-07,9.86299873500691e-09
502.0,3.8574654228066116e-07,1.1151558590116618e-07,9.676491459995141e-09
503.0,3.5972802343335654e-07,1.1023412753955617e-07,9.502342515516927e-09
504.0,3.383257611178403e-07,1.0903300369564368e-07,9.338638557238765e-09
505.0,3.20536381559341e-07,1.078964031956974e-07,9.183801319715295e-09
506.0,3.0557775308011234e-07,1.0681152905859348e-07,9.036536597706977e-09
507.0,2.928400747386947e-07,1.0576818908090595e-07,8.895790422043712e-09
508.0,2.818495941589132e-07,1.0475844174155281e-07,8.760713632255208e-09
509.0,2.722391989813662e-07,1.037762388710331e-07,8.630628296400272e-09
510.0,2.637248343582856e-07,1.0281708127055716e-07,8.504996712629962e-09
511.0,2.5608735292823735e-07,1.018777175417556e-07,8.383395067752352e-09
512.0,2.491568735775915e-07,1.0095585480958326e-07,8.265488371872304e-09
513.0,2.42802146850357e-07,1.0004994836701908e-07,8.151012506799528e-09
514.0,2.369225463316826e-07,9.915903410877266e-08,8.03976010641093e-09
515.0,2.3143927239431794e-07,9.828254318560865e-08,7.931564387472913e-09
516.0,2.262913721171934e-07,9.742021128948617e-08,7.826291483768004e-09
517.0,2.2143136723321048e-07,9.657198250722502e-08,7.723832069080447e-09
518.0,2.1682195169862845e-07,9.573793618148811e-08,7.624094882083178e-09
519.0,2.1243375724328594e-07,9.491823815093021e-08,7.527002321651857e-09
520.0,2.0824344078120525e-07,9.411309987059984e-08,7.432486674153037e-09
521.0,2.042322564467265e-07,9.332275016443652e-08,7.340487272933373e-09
522.0,2.003850705507356e-07,9.254741288349623e-08,7.25094881780662e-09
523.0,1.9668936323220234e-07,9.178729525569473e-08,7.163819160528419e-09
524.0,1.9313470644158528e-07,9.104257691574263e-08,7.079048644435022e-09
525.0,1.8971233139893132e-07,9.031340371513954e-08,6.996589211995173e-09
526.0,1.8641475913351075e-07,8.959988423706585e-08,6.916393845512571e-09
527.0,1.832354104547203e-07,8.890208971056509e-08,6.838416038766064e-09
528.0,1.8016848446779301e-07,8.822005373130146e-08,6.762609639851199e-09
529.0,1.7720880312479358e-07,8.755377323272019e-08,6.688928696187977e-09
530.0,1.743516726273984e-07,8.690321054913871e-08,6.617327357915221e-09
531.0,1.7159279235210713e-07,8.626829559809524e-08,6.547759839429241e-09
532.0,1.6892818819545487e-07,8.564892865249202e-08,6.480180444984916e-09
533.0,1.6635415951122406e-07,8.504498345212893e-08,6.4145436292691755e-09
534.0,1.6386723824142812e-07,8.445630869900862e-08,6.350803989231457e-09
535.0,1.6146415112005214e-07,8.388273152110427e-08,6.288916331939442e-09
536.0,1.5914179479474804e-07,8.332406101432659e-08,6.228835766581242e-09
537.0,1.5689723064642978e-07,8.278008900736096e-08,6.170517776330907e-09
538.0,1.547276513328263e-07,8.225059209732524e-08,6.113918154943064e-09
539.0,1.526303980039228e-07,8.173533660460674e-08,6.058993521470056e-09
540.0,1.5060290338102936e-07,8.123407666060851e-08,6.005700633443878e-09
541.0,1.4864271741163416e-07,8.074655874204002e-08,5.953996991161304e-09
542.0,1.4674748907731633e-07,8.027252284650139e-08,5.903840730042459e-09
543.0,1.4491496582754005e-07,7.981170321633625e-08,5.855190671210092e-09
544.0,1.4314296854934493e-07,7.93638306604028e-08,5.808006213765093e-09
545.0,1.4142942216983433e-07,7.89286317172535e-08,5.762247610502846e-09
546.0,1.3977233154098467e-07,7.85058313313849e-08,5.717875876032532e-09
547.0,1.3816977325617783e-07,7.809515409168404e-08,5.674852777275157e-09
548.0,1.3661989392177876e-07,7.769632473163546e-08,5.633140855292021e-09
549.0,1.3512090901873888e-07,7.730906858425065e-08,5.592703443822012e-09
550.0,1.3367110021112068e-07,7.693311214331603e-08,5.553504677744917e-09
551.0,1.3226881331052174e-07,7.656818363091171e-08,5.5155095009157844e-09
552.0,1.309124547724495e-07,7.621401350784197e-08,5.478683666146526e-09
553.0,1.2960048792752282e-07,7.587033501635868e-08,5.442993728596911e-09
554.0,1.2833143441128365e-07,7.553688475816241e-08,5.408407065998517e-09
555.0,1.2710385898227665e-07,7.521340192219958e-08,5.374891779940836e-09
556.0,1.2591638667766344e-07,7.489962918561489e-08,5.342416724707083e-09
557.0,1.2476765116739557e-07,7.459530696781826e-08,5.310950797014205e-09
558.0,1.236564594273646e-07,7.43002038183155e-08,5.280466542275184e-09
559.0,1.2258153627005387e-07,7.401406799165635e-08,5.250934328043042e-09
560.0,1.2154166990479658e-07,7.373665584242554e-08,5.222325735786158e-09
561.0,1.2053571264489126e-07,7.346773259312404e-08,5.194613609519074e-09
562.0,1.1956255172872233e-07,7.320706711825489e-08,5.167771411518787e-09
563.0,1.1862111557162751e-07,7.295443305805192e-08,5.141773356048471e-09
564.0,1.1771036375366208e-07,7.270960793190038e-08,5.116594243812627e-09
565.0,1.1682929062400749e-07,7.247237377907457e-08,5.092209545050104e-09
566.0,1.1597692594022986e-07,7.224251741529561e-08,5.068595422509503e-09
567.0,1.1515232930752197e-07,7.201982985314882e-08,5.0457286327364955e-09
568.0,1.1435459548040086e-07,7.180410723414544e-08,5.0235866431170655e-09
569.0,1.1358283840043799e-07,7.15951485921719e-08,5.0021473154172575e-09
570.0,1.1283621913001956e-07,7.1392760058175e-08,4.98138947903199e-09
571.0,1.1211391837890959e-07,7.119675117634134e-08,4.961292389692298e-09
572.0,1.1141515408924884e-07,7.100693721976838e-08,4.941836070474937e-09
573.0,1.1073915935437765e-07,7.082313654584018e-08,4.923000892912443e-09
574.0,1.1008519349195873e-07,7.064517205786605e-08,4.904767815665728e-09
575.0,1.0945254002843997e-07,7.047287088487351e-08,4.887118322960758e-09
576.0,1.0884050568024158e-07,7.03060644606229e-08,4.870034423224341e-09
577.0,1.082484203334745e-07,7.014458852062069e-08,4.853498647064703e-09
578.0,1.0767563660563242e-07,6.998828303068246e-08,4.837494039942976e-09
579.0,1.071215275234236e-07,6.983699204760433e-08,4.822004129549505e-09
580.0,1.0658548748270085e-07,6.969056374664636e-08,4.807012925943127e-09
581.0,1.0606693098046982e-07,6.954885032545545e-08,4.792504911402428e-09
582.0,1.0556528940639593e-07,6.941170767238927e-08,4.778464993530311e-09
583.0,1.0508001321875955e-07,6.927899560201154e-08,4.76487853008365e-09
584.0,1.0461057067226423e-07,6.915057770829419e-08,4.751731308371402e-09
585.0,1.041564490330589e-07,6.90263214227371e-08,4.739009540936299e-09
586.0,1.0371715122959607e-07,6.890609775777631e-08,4.726699846133567e-09
587.0,1.0329219631115976e-07,6.878978130871734e-08,4.714789239935011e-09
588.0,1.0288111893958249e-07,6.867725015696182e-08,4.7032651204572545e-09
589.0,1.0248346843381307e-07,6.85683858052307e-08,4.692115265178002e-09
590.0,1.0209880786906821e-07,6.846307304391202e-08,4.681327810121675e-09
591.0,1.0172671611267241e-07,6.836120005766792e-08,4.670891254888544e-09
592.0,1.0136678498667163e-07,6.826265822782076e-08,4.660794448036603e-09
593.0,1.010186189052928e-07,6.816734201639971e-08,4.651026567935941e-09
594.0,1.006818356199245e-07,6.807514898301359e-08,4.6415771220209305e-09
595.0,1.0035606544064962e-07,6.79859797469226e-08,4.6324359454062985e-09
596.0,1.0004095035778044e-07,6.789973781338125e-08,4.62359317741758e-09
597.0,9.97361439863218e-08,6.781632954041105e-08,4.615039257644464e-09
598.0,9.944131119798201e-08,6.773566410940341e-08,4.606764923571786e-09
599.0,9.915612718679777e-08,6.765765336287283e-08,4.598761190746432e-09
600.0,9.88802783878246e-08,6.758221189984238e-08,4.5910193635803e-09
601.0,9.86134610575385e-08,6.750925684356975e-08,4.5835310079219915e-09
602.0,9.835538114872178e-08,6.743870786760199e-08,4.576287955891148e-09
603.0,9.810575362567405e-08,6.737048703803435e-08,4.569282286479877e-09
604.0,9.786430486990519e-08,6.73045191079884e-08,4.56250635735883e-09
605.0,9.76307585646513e-08,6.724072814779012e-08,4.5559524545337175e-09
606.0,9.740485354740289e-08,6.717904249550655e-08,4.5496133039578195e-09
607.0,9.718634577826536e-08,6.711939492400922e-08,4.5434820838391875e-09
608.0,9.697503525747106e-08,6.706173024378751e-08,4.537553194779632e-09
609.0,9.677066020538084e-08,6.700597619029548e-08,4.53181930614485e-09
610.0,9.65729855233165e-08,6.695206782307641e-08,4.526273831970977e-09
611.0,9.63817925083238e-08,6.689994467913854e-08,4.520910641590047e-09
612.0,9.619687419292462e-08,6.684954947304539e-08,4.5157239272281415e-09
613.0,9.601802276378203e-08,6.680082468803197e-08,4.510707857437936e-09
614.0,9.584504033499607e-08,6.675371549889555e-08,4.505856874152108e-09
615.0,9.567773868286462e-08,6.670816971360952e-08,4.501165686047767e-09
616.0,9.551592803296494e-08,6.666413472505753e-08,4.4966289595248885e-09
617.0,9.535942975316144e-08,6.66215609671624e-08,4.49224166899916e-09
618.0,9.520807723873926e-08,6.658040219398168e-08,4.487999123917006e-09
619.0,9.506169402378145e-08,6.654060944059043e-08,4.48389635925029e-09
620.0,9.492011434101027e-08,6.65021366730165e-08,4.479928706472526e-09
621.0,9.478318005341911e-08,6.646494004791291e-08,4.476091716576903e-09
622.0,9.465074173062576e-08,6.642897803585884e-08,4.472381176178634e-09
623.0,9.452265767456152e-08,6.639421124169706e-08,4.4687930874999506e-09
624.0,9.439877747450501e-08,6.636059796807847e-08,4.465323216620384e-09
625.0,9.427896849931687e-08,6.632810135254961e-08,4.461967820427321e-09
626.0,9.416310389143335e-08,6.629668613028919e-08,4.458723316941587e-09
627.0,9.4051047487699e-08,6.626631454622898e-08,4.4555858698577145e-09
628.0,9.394267681354546e-08,6.62369525888914e-08,4.4525520220927274e-09
629.0,9.383787467634508e-08,6.620856771051675e-08,4.449618464111201e-09
630.0,9.37365205759161e-08,6.618112651740438e-08,4.446781800167298e-09
631.0,9.363850164730732e-08,6.615459770860437e-08,4.4440388455461344e-09
632.0,9.354370970326355e-08,6.612895128289608e-08,4.441386546410639e-09
633.0,9.345203701952882e-08,6.610415740744442e-08,4.438821866506493e-09
634.0,9.336338122594751e-08,6.608018773118938e-08,4.436341918277773e-09
635.0,9.327764405721288e-08,6.605701504928976e-08,4.4339439294532006e-09
636.0,9.319472956151695e-08,6.603461281133931e-08,4.431625194114928e-09
637.0,9.31145432229277e-08,6.601295487110683e-08,4.429383047832029e-09
638.0,9.303699712679668e-08,6.599201693150764e-08,4.427215011334153e-09
639.0,9.296200569113933e-08,6.597177535049965e-08,4.42511867178165e-09
640.0,9.288948213669133e-08,6.595220613934388e-08,4.423091582166251e-09
641.0,9.281934660456417e-08,6.59332872583334e-08,4.4211314913133836e-09
642.0,9.275152208936644e-08,6.591499746665195e-08,4.4192362286528984e-09
643.0,9.268593237262457e-08,6.58973157412533e-08,4.4174036459917876e-09
644.0,9.262250170195572e-08,6.588022118744899e-08,4.415631608553653e-09
645.0,9.256116136440942e-08,6.586369488638463e-08,4.4139181800944654e-09
646.0,9.250184379691568e-08,6.584771823974682e-08,4.412261457043417e-09
647.0,9.24444792240308e-08,6.583227202035775e-08,4.410659473611053e-09
648.0,9.238900512294887e-08,6.58173390408075e-08,4.409110468730761e-09
649.0,9.233536023067677e-08,6.580290246379456e-08,4.407612717043269e-09
650.0,9.228348380138343e-08,6.578894559847534e-08,4.406164508648854e-09
651.0,9.223331622654407e-08,6.57754520738305e-08,4.404764166417225e-09
652.0,9.218480277469068e-08,6.576240688077947e-08,4.4034101499654675e-09
653.0,9.21378897595645e-08,6.574979530373533e-08,4.402100949050446e-09
654.0,9.209252310385352e-08,6.573760247737697e-08,4.40083503918413e-09
655.0,9.204865276301643e-08,6.572581469507606e-08,4.399611012466863e-09
656.0,9.200622949120595e-08,6.571441847568762e-08,4.398427484367961e-09
657.0,9.19652047504907e-08,6.570340057520243e-08,4.39728309504737e-09
658.0,9.192553285256401e-08,6.569274850561474e-08,4.396176560772958e-09
659.0,9.188716915832683e-08,6.568245003310534e-08,4.3951066237379245e-09
660.0,9.185007065688492e-08,6.567249337470663e-08,4.394072071940259e-09
661.0,9.181419607311013e-08,6.566286725661066e-08,4.393071745187743e-09
662.0,9.177950517293097e-08,6.565356071828418e-08,4.392104515791552e-09
663.0,9.17459589101206e-08,6.564456308919776e-08,4.391169284878905e-09
664.0,9.171352052774629e-08,6.56358643980784e-08,4.390265025603475e-09
665.0,9.168215210189675e-08,6.56274543227302e-08,4.389390675059431e-09
666.0,9.165181882573542e-08,6.561932337506598e-08,4.388545255291291e-09
667.0,9.162248668194235e-08,6.561146228861209e-08,4.387727810999465e-09
668.0,9.159412145521384e-08,6.56038617390087e-08,4.386937380995458e-09
669.0,9.156669329636654e-08,6.559651357921104e-08,4.386173124132237e-09
670.0,9.154016876280566e-08,6.558940871182259e-08,4.385434102500671e-09
671.0,9.151452079118477e-08,6.558253982879518e-08,4.384719561234995e-09
672.0,9.148971736241749e-08,6.55758982143255e-08,4.384028601330193e-09
673.0,9.146573374384724e-08,6.556947720872785e-08,4.383360534386959e-09
674.0,9.14425398548099e-08,6.556326864564782e-08,4.38271451766507e-09
675.0,9.142011231895533e-08,6.555726614786983e-08,4.382089891252891e-09
676.0,9.139842434766443e-08,6.555146244155429e-08,4.381485903680948e-09
677.0,9.137745220909244e-08,6.554585111070008e-08,4.380901891586167e-09
678.0,9.135717225906749e-08,6.554042575750271e-08,4.380337193418481e-09
679.0,9.133756110088431e-08,6.553518004500783e-08,4.379791153861838e-09
680.0,9.131859771964453e-08,6.55301082970238e-08,4.379263185450315e-09
681.0,9.13002592991864e-08,6.552520433722871e-08,4.378752649375736e-09
682.0,9.128252698130348e-08,6.552046307428866e-08,4.378259018258972e-09
683.0,9.126537895071535e-08,6.55158786078036e-08,4.377781681635193e-09
684.0,9.12487991489584e-08,6.551144660948338e-08,4.377320190620505e-09
685.0,9.123276591854304e-08,6.550716122253598e-08,4.3768739392084566e-09
686.0,9.12172612737475e-08,6.550301759179522e-08,4.376442424410627e-09
687.0,9.120227013099698e-08,6.549901165324079e-08,4.376025224648578e-09
688.0,9.118777247965303e-08,6.549513799969986e-08,4.375621780131658e-09
689.0,9.117375361760613e-08,6.549139267189642e-08,4.375231680141407e-09
690.0,9.116019830194843e-08,6.548777156301576e-08,4.374854498765166e-09
691.0,9.114708866505052e-08,6.54842698501756e-08,4.374489736346438e-09
692.0,9.113441323296567e-08,6.548088445289124e-08,4.374137072800251e-09
693.0,9.11221559408404e-08,6.547761103988046e-08,4.373796059112971e-09
694.0,9.111030214305342e-08,6.547444566595682e-08,4.373466286097445e-09
695.0,9.109884382617822e-08,6.547138618892684e-08,4.373147530611985e-09
696.0,9.108776359831647e-08,6.546842791734678e-08,4.372839306448766e-09
697.0,9.107704745507499e-08,6.54655670805624e-08,4.372541222419484e-09
698.0,9.10666841149607e-08,6.546280064776916e-08,4.3722529637418835e-09
699.0,9.105666690750686e-08,6.546012684104228e-08,4.37197434502161e-09
700.0,9.104697959431742e-08,6.545754128271796e-08,4.371704912383026e-09
701.0,9.10376096902073e-08,6.545504061493192e-08,4.3714443172676295e-09
702.0,9.10285491593834e-08,6.545262268596442e-08,4.371192335791329e-09
703.0,9.101979059961154e-08,6.545028551584151e-08,4.3709487618227015e-09
704.0,9.101132004695743e-08,6.544802534583833e-08,4.3707132053678756e-09
705.0,9.100312652863515e-08,6.54458392280729e-08,4.370485360246608e-09
706.0,9.09952062671878e-08,6.544372616135865e-08,4.370265121696079e-09
707.0,9.098754649750929e-08,6.544168271290158e-08,4.370052133363977e-09
708.0,9.098013916835058e-08,6.543970672524118e-08,4.3698461708520645e-09
709.0,9.097297408038732e-08,6.54377954597554e-08,4.36964694963145e-09
710.0,9.096604781005343e-08,6.543594800705417e-08,4.369454374668513e-09
711.0,9.09593500803836e-08,6.543416160799452e-08,4.369268159282736e-09
712.0,9.095287224861844e-08,6.543243394478123e-08,4.369088062504307e-09
713.0,9.094660697293279e-08,6.54307630510051e-08,4.368913879754116e-09
714.0,9.094054740116439e-08,6.542914709265262e-08,4.3687454201563815e-09
715.0,9.093468646582433e-08,6.542758417571306e-08,4.368582486741712e-09
716.0,9.092901620539539e-08,6.542607216095986e-08,4.3684248573883594e-09
717.0,9.092353198573166e-08,6.542460981597724e-08,4.368272403364116e-09
718.0,9.09182283958382e-08,6.542319569511193e-08,4.368124974074952e-09
719.0,9.091310046331064e-08,6.542182847116859e-08,4.367982431195996e-09
