Mlc_Mlcsite_ptsGp1_1_task1,_1_task1
2.2028480130895254e-10,886.0
2.2028480548993359e-10,887.0
2.2028480953491588e-10,888.0
2.2028481344517107e-10,889.0
2.202848172216026e-10,890.0
2.2028482086474534e-10,891.0
2.202848243747661e-10,892.0
2.2028482775146323e-10,893.0
2.202848309942667e-10,894.0
2.2028483410223826e-10,895.0
2.202848370740712e-10,896.0
2.2028483990809058e-10,897.0
2.2028484260225307e-10,898.0
2.202848452333885e-10,899.0
2.2028484784905988e-10,900.0
2.202848503697449e-10,901.0
2.202848527979752e-10,902.0
2.2028485513618953e-10,903.0
2.2028485738673402e-10,904.0
2.2028485955186185e-10,905.0
2.2028486163373354e-10,906.0
2.2028486363441686e-10,907.0
2.2028486555588675e-10,908.0
2.2028486740002536e-10,909.0
2.202848691686222e-10,910.0
2.2028487086337382e-10,911.0
2.202848725373879e-10,912.0
2.202848741151684e-10,913.0
2.2028487563673672e-10,914.0
2.2028487710418056e-10,915.0
2.202848785195875e-10,916.0
2.202848798850452e-10,917.0
2.2028488120264127e-10,918.0
2.2028488247446333e-10,919.0
2.2028488370259901e-10,920.0
2.2028488488913594e-10,921.0
2.2028488603616176e-10,922.0
2.2028488714576409e-10,923.0
2.2028488822003053e-10,924.0
2.2028488926104873e-10,925.0
2.2028489020240056e-10,926.0
2.2028489108893334e-10,927.0
2.2028489193849418e-10,928.0
2.2028489275281477e-10,929.0
2.2028489353362666e-10,930.0
2.2028489428266156e-10,931.0
2.2028489500165106e-10,932.0
2.2028489569232683e-10,933.0
2.202848963564205e-10,934.0
2.2028489699566365e-10,935.0
2.2028489761178802e-10,936.0
2.2028489820652517e-10,937.0
2.2028489878160675e-10,938.0
2.2028489933876438e-10,939.0
2.2028489987972975e-10,940.0
2.2028490040623445e-10,941.0
2.202849009200101e-10,942.0
2.2028490142278842e-10,943.0
2.2028490191630097e-10,944.0
2.202849024022794e-10,945.0
2.2028490288245534e-10,946.0
2.2028490335856047e-10,947.0
2.2028490383232638e-10,948.0
2.202849043054847e-10,949.0
2.2028490477976709e-10,950.0
2.2028490525690523e-10,951.0
2.2028490564142205e-10,952.0
2.2028490593662537e-10,953.0
2.2028490621908705e-10,954.0
2.2028490648979085e-10,955.0
2.202849067497205e-10,956.0
2.202849069998597e-10,957.0
2.2028490724119223e-10,958.0
2.2028490747470177e-10,959.0
2.2028490770137209e-10,960.0
2.2028490792218694e-10,961.0
2.2028490813813002e-10,962.0
2.2028490835018503e-10,963.0
2.2028490855933579e-10,964.0
2.2028490876656596e-10,965.0
2.202849089728593e-10,966.0
2.202849091791995e-10,967.0
2.2028490938657037e-10,968.0
2.2028490959595558e-10,969.0
2.2028490980833888e-10,970.0
2.2028491002470405e-10,971.0
2.2028491024603473e-10,972.0
2.202849104733147e-10,973.0
2.2028491070752771e-10,974.0
2.202849109496575e-10,975.0
2.2028491120068775e-10,976.0
2.202849114616022e-10,977.0
2.202849116920437e-10,978.0
2.2028491182577147e-10,979.0
2.2028491195588096e-10,980.0
2.2028491208275862e-10,981.0
2.2028491220679092e-10,982.0
2.202849123283644e-10,983.0
2.2028491244786542e-10,984.0
2.2028491256568052e-10,985.0
2.2028491268219612e-10,986.0
2.2028491279779875e-10,987.0
2.2028491291287485e-10,988.0
2.2028491302781085e-10,989.0
2.2028491314299326e-10,990.0
2.2028491325880855e-10,991.0
2.202849133756432e-10,992.0
2.2028491349388364e-10,993.0
2.2028491361391634e-10,994.0
2.202849137361278e-10,995.0
2.2028491386090448e-10,996.0
2.2028491398863285e-10,997.0
2.2028491411969934e-10,998.0
2.2028491425449048e-10,999.0
2.2028491439339272e-10,1000.0
