Time,u,v,w,r_1,alpha_1,alpha_2,k_1,r_2,alpha_3,k_2,gamma_1,k_3,mu_1,alpha_4,k_4,compartment,Increase_in_density_of_glioma_cells,Decrease_in_density_of_glioma_cell,Increase_in_density_of_macrophage_population,Decrease_in_the_density_of_macrophage_population,Increase_in_density_of_glioma_specific_CD8__T_cell,decrease_in_density_of_glioma_specific_CD8__T_cell
267.0,0.4678241754166939,0.9449235346963889,0.10464921784619635,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12005078620583173,0.12058226105627994,0.017210636063970792,0.01720663313313976,0.0018237504709348366,0.0017538510340491193
270.0,0.4662662474531983,0.9449353131496253,0.10485341545509679,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12000127276543941,0.12050857637384356,0.017207169944085516,0.017203320375204088,0.00182207320988602,0.00175580808643735
273.0,0.46477981030829285,0.9449466337704395,0.10504693417694048,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11995184933840225,0.12043570591230925,0.01720383846696439,0.017200140374174375,0.0018204266641643789,0.001757643064101617
276.0,0.46336256747550086,0.944957503600203,0.10523023953526539,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11990274223502977,0.12036388227359196,0.017200639570651762,0.017197090735681354,0.0018188145884077043,0.001759363025663204
279.0,0.4620123655171945,0.9449679293614692,0.10540376974251658,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11985415628785044,0.12029332004306718,0.01719757128641079,0.01719416918093075,0.0018172404251811628,0.0017609745841861333
282.0,0.46072697464824786,0.9449779191036012,0.10556795808173437,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1198062689351213,0.12022420021543474,0.017194631254432716,0.017191373082883564,0.0018157069752079292,0.0017624840808032076
285.0,0.4595041110888282,0.9449874820032517,0.10572323131556496,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11975923201357998,0.12015667327757004,0.017191816782536187,0.017188699517111647,0.0018142164617759252,0.001763897584029406
288.0,0.4583416248951691,0.9449966267616249,0.10586999439400603,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11971318037166409,0.12009087844427732,0.017189125317875333,0.017186145677578157,0.001812770926077248,0.0017652208218379736
291.0,0.45723722846951026,0.9450053639660928,0.10600865138506602,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11966822273791121,0.12002691702052913,0.017186553751892725,0.017183708294876435,0.0018113716819946806,0.0017664592755903125
294.0,0.4561887420582307,0.9450137038675429,0.1061395872534556,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11962445262731933,0.11996487891769451,0.017184099074489038,0.017181384177064125,0.0018100198569791321,0.0017676181192144722
297.0,0.45519397606906586,0.9450216574838008,0.1062631764012451,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11958194502984318,0.11990483105529448,0.01718175804928157,0.017179169963434597,0.0018087161551793673,0.001768702254169027
300.0,0.4542507347609667,0.9450292365262418,0.10637978274408535,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11954075768084871,0.11984681883864502,0.017179527235213012,0.01717706213916608,0.0018074608866059645,0.0017697163196859433
