Time,M,Tc,N,Tr,sm,rm,km,dm,anm,bnm,acm,bcm,acnm,amm,bmm,arm,brm,rc,kc,dc,amc,bmc,anc,bnc,sn,rn,kn,dn,acn,bcn,rr,kr,dr,amr,bmr,compartment,M_breakup,M_decay,M_source,M_growth,Tc_growth,Tc_death,Tc_stimulation,N_source,N_growth,N_stimulation,N_death,Tr_death,Tr_growth,Tr_stimulation
1251.0,5.098047014528399,594.1576246237506,276.3995791996689,47.74079453802728,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534747715762405,0.010196094029056798,0.001,0.043733176870148625,1.9874207730075195,11.883152492475013,9.895732286954138,0.03,4.265162956275287,2.6148265528195838,6.909989479991722,3.613978146528665,1.5997582037919484,2.0142245457891583
1254.0,5.098054084626207,594.1576263370628,276.3995792877118,47.740803627584555,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534777919898924,0.010196108169252413,0.001,0.0437331744438542,1.9874207621963091,11.883152526741256,9.895732320774858,0.03,4.2651629554707755,2.6148265552438903,6.909989482192795,3.613978834608151,1.5997580576181414,2.014225396576937
1257.0,5.098061011984895,594.1576280158453,276.39957937397827,47.74081259331679,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534807500583485,0.01019612202396979,0.001,0.04373317206637487,1.9874207516029858,11.883152560316905,9.89573235391086,0.03,4.2651629546824985,2.6148265576193506,6.909989484349457,3.613979513314081,1.5997579134354603,2.014226228977401
1260.0,5.098067798249706,594.1576296605069,276.399579458489,47.7408214474361,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534836462539034,0.010196135596499413,0.001,0.043733169737156304,1.9874207412249685,11.88315259321014,9.895732386369687,0.03,4.265162953910265,2.614826559946543,6.909989486462225,3.613980183570913,1.5997577710475208,2.0142270429842135
1263.0,5.098074444959258,594.1576312714309,276.39957954126317,47.74083020234064,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453486480995925,0.010196148889918518,0.001,0.043733167455680386,1.98742073105984,11.883152625428618,9.89573241815838,0.03,4.265162953153898,2.6148265622260127,6.909989488531579,3.6139808463171867,1.5997576302549485,2.0142278385716583
1266.0,5.098080953545557,594.1576328489751,276.3995796223188,47.74083887061463,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453489254650841,0.010196161907091113,0.001,0.043733165221465295,1.9874207211053416,11.883152656979503,9.895732449283448,0.03,4.265162952413237,2.6148265644582698,6.909989490557971,3.6139815025055277,1.5997574908553747,2.0142286156946443
1269.0,5.098087325333981,594.1576343934721,276.3995797016727,47.74084746502835,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453491967532143,0.010196174650667961,0.001,0.04373316303406545,1.9874207113593756,11.883152687869442,9.895732479750873,0.03,4.265162951688125,2.614826566643785,6.9099894925418175,3.6139821531026466,1.5997573526434368,2.0142293742886976
1272.0,5.098093561543292,594.1576359052283,276.39957977934006,47.74085599853813,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453494619900384,0.010196187123086585,0.001,0.04373316089307157,1.9874207018200083,11.883152718104567,9.89573250956614,0.03,4.265162950978422,2.6148265687829944,6.909989494483502,3.6139827990893365,1.5997572154107793,2.014230114269968
1275.0,5.098099663285634,594.1576373845252,276.399579855335,47.74086448428637,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453497211963186,0.010196199326571268,0.001,0.04373315879811069,1.9874206924854623,11.883152747690504,9.895732538734189,0.03,4.265162950284004,2.6148265708763003,6.909989496383375,3.613983441460478,1.5997570789460553,2.01423083553523
1278.0,5.098105631566526,594.1576388316186,276.39957992967015,47.74087293560151,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453499743875233,0.010196211263133052,0.001,0.04373315674884614,1.9874206833541246,11.883152776632372,9.895732567259447,0.03,4.265162949604751,2.614826572924066,6.909989498241754,3.6139840812250346,1.599756943034923,2.014231537961877
