M,MEK,MKP3,M_MEK_T,M_MEK_Y,M_MKP3_T,M_MKP3_Y,MpT,MpT_MEK,MpT_MKP3_T,MpT_MKP3_Y,MpY,MpY_MEK,MpY_MKP3,Mpp,Mpp_MKP3,Time
514.7982212282185,6.376516244505954,9.113063128388156,163.7541348370603,8.033187185976209,35.3323855566313,54.04308072412359,2.2976601443827533,0.03385740083331956,0.13158524673822733,0.17987562856878223,18.374181306032167,1.8023043316240523,1.1961848472970538,0.01951669426055978,0.0038248682529051364,2.13
514.6809673019513,6.377421799044119,9.077458917530915,163.74477933697992,8.030251417451876,35.35414686012719,54.057300466798615,2.309292012863019,0.03409917593806848,0.13170562265475472,0.18017397334146504,18.444867177626673,1.8134482705858905,1.1953509041966308,0.019754224133895174,0.003863255350446638,2.14
514.5643411124282,6.378321940934599,9.042442566072852,163.73537783704415,8.027362172679364,35.37567857453494,54.071150451733985,2.320921117259796,0.03434125596336747,0.131826592329983,0.1804717766402238,18.51550892899348,1.824596793378391,1.1945281570701436,0.01999334832574639,0.0039018816178891655,2.15
514.4483323137655,6.379216705634554,9.008003768866185,163.7259313174373,8.02451854897981,35.3969843382829,54.0846368736172,2.332547356937885,0.03458363606909221,0.1319481972696346,0.18076909455397025,18.5861067370641,1.8357497918791141,1.193716978799994,0.02023406673318364,0.003940748610130409,2.16
514.332930697224,6.380106158274054,8.97413232908083,163.71644072072638,8.021719651241803,35.41806775216121,54.09776586431382,2.3441706323627596,0.03482631142529676,0.13207047837750863,0.18106598260645465,18.65666077853391,1.8469071583323313,1.1929177355764522,0.02047637923406898,0.003979857883751391,2.17
514.21812639734,6.380990420946575,8.940818338155823,163.70690690903425,8.018964606477802,35.43893231683581,54.11054338851498,2.355790846956417,0.03506927723877741,0.1321934749414416,0.1813624947928846,18.72717122915066,1.8580687863024645,1.1921307757601178,0.020720285655127974,0.004019210998967187,2.18
514.1039095910322,6.381869600616989,8.908051944933861,163.69733075206005,8.016252548539992,35.45958151304704,54.12297537762466,2.3674079047246077,0.03531252873493787,0.13231722592345896,0.18165868479683772,18.797638263981245,1.869234570047908,1.1913564441577127,0.02096578581270132,0.004058809516455447,2.19
513.9902707101152,6.382743757051333,8.87582360038933,163.68771313047236,8.013582644300511,35.480018716643976,54.13506758784305,2.3790217127498496,0.03555606122327168,0.13244176857629514,0.18195460467164093,18.86806205510686,1.8804044069523866,1.1905950668760557,0.02121287946871,0.004098654999684758,2.2
513.8772002494405,6.38361295564365,8.844123813257932,163.6780549139982,8.01095406555576,35.50024728344283,54.14682574187492,2.390632178732599,0.03579987002447926,0.13256713981939475,0.1822503061462382,18.938442774353557,1.8915781947777675,1.189846966446544,0.02146156637493206,0.0041387490121627775,2.21
513.7646889623571,6.384477256048558,8.812943357359998,163.66835695023565,8.008366009707757,35.520270477269364,54.158255408703866,2.402239213135279,0.036043950520690024,0.1326933750598691,0.1825458394944044,19.008780591680136,1.902755833487227,1.189112448993659,0.021711846235979618,0.004179093118875551,2.22
513.652727717097,6.385336729638922,8.782273110378075,163.6586200656997,8.005817682850198,35.5400915259363,54.1693620970814,2.4138427275424035,0.03628829811379414,0.13282050910267462,0.18284125440056886,19.079075676639164,1.9139372236972672,1.1883918142164167,0.021963718738343345,0.004219688884601229,2.23
513.5413075879856,6.386191456217764,8.752104148625598,163.64884505901483,8.003308309032661,35.55971358835332,54.18015120055995,2.4254426356466006,0.03653290824807435,0.13294857561095347,0.1831365994394842,19.14932819767778,1.925122267486542,1.18768534953629,0.022217183533454556,0.004260537874440623,2.24
513.4304200790808,6.387041507798878,8.722427987333058,163.6390326907951,8.000837154258063,35.579139671094914,54.190627857780754,2.4370388557832428,0.03677777647868111,0.13307760574999283,0.18343192071777528,19.21953832007488,1.9363108706691368,1.1869933156697519,0.02247224019310143,0.0043016416537830235,2.25
513.3200566440362,6.387886956784432,8.693236090761296,163.62918372653013,7.9984034797018175,35.5983727984241,54.20079723697979,2.4486313057482776,0.03702289834822957,0.13320763097564106,0.1837272646283475,19.289706209463066,1.9475029386352563,1.1863159764428781,0.0227288882982778,0.004343001787975227,2.26
513.2102085522883,6.388727876996015,8.664519736889721,163.61929894952837,7.996006528896033,35.617416059250985,54.210664614554474,2.460219901366189,0.037268269353521385,0.13333868380567604,0.18402267861038965,19.359832032767613,1.9586983752259184,1.1856536070465793,0.0229871274636218,0.004384619842208681,2.27
