data_set_T,data_set_KO,data_set_NAI
928.0,3.8125091,19.045048
929.0,3.8125091,19.045048
930.0,3.8125091,19.045048
931.0,3.8125088,19.04505
932.0,3.8125088,19.04505
933.0,3.8125088,19.04505
934.0,3.8125088,19.045052
935.0,3.8125088,19.045052
936.0,3.8125088,19.045052
937.0,3.8125086,19.045053
938.0,3.8125086,19.045053
939.0,3.8125086,19.045053
940.0,3.8125086,19.045055
941.0,3.8125086,19.045055
942.0,3.8125086,19.045055
943.0,3.8125086,19.045055
944.0,3.8125086,19.045057
945.0,3.8125083,19.045057
946.0,3.8125083,19.045057
947.0,3.8125083,19.045057
948.0,3.8125083,19.045059
949.0,3.8125083,19.045059
950.0,3.8125083,19.045059
951.0,3.8125083,19.045059
952.0,3.8125083,19.045061
953.0,3.8125081,19.045061
954.0,3.8125081,19.045061
955.0,3.8125081,19.045061
956.0,3.8125081,19.045061
957.0,3.8125081,19.045063
958.0,3.8125081,19.045063
959.0,3.8125081,19.045063
960.0,3.8125081,19.045063
961.0,3.8125081,19.045065
962.0,3.8125081,19.045065
963.0,3.8125079,19.045065
964.0,3.8125079,19.045065
965.0,3.8125079,19.045065
966.0,3.8125079,19.045065
967.0,3.8125079,19.045067
968.0,3.8125079,19.045067
969.0,3.8125079,19.045067
970.0,3.8125079,19.045067
971.0,3.8125079,19.045067
972.0,3.8125079,19.045069
973.0,3.8125079,19.045069
974.0,3.8125079,19.045069
975.0,3.8125076,19.045069
976.0,3.8125076,19.045069
977.0,3.8125076,19.045069
978.0,3.8125076,19.045069
979.0,3.8125076,19.045071
980.0,3.8125076,19.045071
981.0,3.8125076,19.045071
982.0,3.8125076,19.045071
983.0,3.8125076,19.045071
984.0,3.8125076,19.045071
985.0,3.8125076,19.045071
986.0,3.8125076,19.045073
987.0,3.8125076,19.045073
988.0,3.8125076,19.045073
989.0,3.8125074,19.045073
990.0,3.8125074,19.045073
991.0,3.8125074,19.045073
992.0,3.8125074,19.045073
993.0,3.8125074,19.045073
994.0,3.8125074,19.045074
995.0,3.8125074,19.045074
996.0,3.8125074,19.045074
997.0,3.8125074,19.045074
998.0,3.8125074,19.045074
999.0,3.8125074,19.045074
1000.0,3.8125074,19.045074
