DUSP,cFOS,cFOSm,cFOSp,pRSKn,pcFOS,ppERKc,ppERKn,x1,x2,Time
0.8222746529084975,0.015244724378531846,0.06012505838274375,0.08408283811333643,0.060955713509843384,0.0012706810896880088,0.8721303764381437,0.21262515162430484,0.9053081657124068,0.033177789274263084,5.45
0.824401053055439,0.015365822056880765,0.06049800644071498,0.08439604564698037,0.061076829098574696,0.0012845892553950149,0.8726704745061529,0.21265479227066963,0.9059087890335514,0.03323831452739851,5.46
0.8265277470127467,0.015487558943557024,0.06087222172809931,0.0847092754609318,0.06119779250906325,0.0012986145668117128,0.8732086206116146,0.21268390881952745,0.9065074591098474,0.033298838498232834,5.47
0.8286547295198095,0.015609936264468138,0.061247703333924,0.08502252392995839,0.06131860344372686,0.0013127576777155377,0.8737448211065121,0.21271250665702696,0.9071041822933054,0.03335936118679323,5.48
0.8307819954014646,0.015732955237854767,0.061624450329786876,0.08533578745942708,0.06143926161398024,0.0013270192431174953,0.8742790823221762,0.21274058761010672,0.9076989649152831,0.03341988259310685,5.49
0.832909539510494,0.01585661707427362,0.06200246177006747,0.08564906246806298,0.06155976673446576,0.001341399919252799,0.8748114105693464,0.21276815334530588,0.9082918132865473,0.033480402717200874,5.5
0.8350373567200828,0.015980922976580866,0.0623817366920141,0.08596234538529372,0.061680118522293464,0.001355900363571354,0.8753418121382308,0.21279520583037784,0.9088827336973333,0.03354092155910246,5.51
0.8371654419123856,0.016105874139911925,0.06276227411585752,0.08627563264807483,0.061800316695889604,0.00137052123472594,0.8758702932985828,0.21282174799534181,0.9094717324174215,0.033601439118838776,5.5200000000000005
0.8392937899915505,0.016231471751663375,0.06314407304485779,0.0865889207050535,0.06192036097629787,0.00138526319256124,0.8763968602997697,0.2128477829477045,0.9100588156962067,0.03366195539643699,5.53
0.8414223958937164,0.016357716991476607,0.06352713246535371,0.08690220601973131,0.06204025108817743,0.0014001268981036475,0.8769215193708376,0.21287331337105725,0.9106439897627618,0.033722470391924254,5.54
0.8435512545853777,0.0164846110312216,0.06391145134684191,0.08721548507002774,0.06215998675963474,0.0014151130135510366,0.8774442767205747,0.21289834161628318,0.9112272608259024,0.03378298410532774,5.55
0.8456803610581233,0.016612155034980498,0.0642970286420668,0.0875287543467123,0.06227956772169181,0.0014302222022622522,0.8779651385375777,0.2129228700090391,0.9118086350742524,0.033843496536674615,5.5600000000000005
0.8478097103289999,0.01674035015815943,0.06468386328524123,0.08784201035412996,0.0623989937083626,0.0014454551288750677,0.8784841109880689,0.21294690098660865,0.9123881186740609,0.03390400768599203,5.57
0.84993929743427,0.016869197549772407,0.06507195419705487,0.0881552496068127,0.06251826445590532,0.001460812458954114,0.8790012002219119,0.21297043703167515,0.912965717775219,0.03396451755330714,5.58
0.8520691174354378,0.016998698350821958,0.06546130028129307,0.08846846863247283,0.06263737970350498,0.001476294859219912,0.8795164123685133,0.21299348060961695,0.9135414385071604,0.03402502613864712,5.59
0.854199165419798,0.017128853694122103,0.06585190042456797,0.08878166397235607,0.0627563391933324,0.0014919029975621271,0.8800297535364698,0.2130160341595917,0.914115286978509,0.034085533442039136,5.6000000000000005
0.856329436497943,0.017259664704988516,0.06624375349788357,0.08909483218006567,0.06287514267025518,0.0015076375429272965,0.8805412298154329,0.21303810010594965,0.9146872692789433,0.03414603946351033,5.61
