G,Ii,Ip,x1,x2,x3,Time
12256.79561080274,242.65933755682542,91.3967712233403,109.10164394448243,112.54077924567528,105.17707989099489,0.91
12255.86199449474,242.651876852992,91.37540518193703,109.08688712925529,112.53790834682043,105.18321255580574,0.92
12254.928590647787,242.6444040113215,91.35404489563672,109.07212481103082,112.53502754486826,105.18933771664683,0.93
12253.995399466203,242.63691903907218,91.33269036995065,109.05735699918914,112.53213684348788,105.19545537152126,0.9400000000000001
12253.062421154033,242.62942194350387,91.31134161037762,109.04258370310718,112.52923624635318,105.20156551843684,0.9500000000000001
12252.129655915043,242.621912731878,91.28999862240394,109.02780493215862,112.5263257571428,105.20766815540608,0.96
12251.197103952727,242.61439141145766,91.26866141150344,109.01302069571386,112.52340537954012,105.21376328044626,0.97
12250.264765470298,242.6068579895075,91.24732998313749,108.99823100314012,112.52047511723325,105.21985089157934,0.98
12249.332640670691,242.59931247329374,91.22600434275502,108.98343586380129,112.51753497391503,105.22593098683203,0.99
12248.40072975657,242.59175487008423,91.20468449579249,108.96863528705805,112.51458495328303,105.23200356423574,1.0
12247.46903293032,242.58418518714836,91.18337044767398,108.95382928226776,112.51162505903953,105.23806862182661,1.01
12246.53755039405,242.57660343175712,91.16206220381113,108.93901785878454,112.50865529489153,105.24412615764551,1.02
12245.606282349596,242.56900961118302,91.14075976960318,108.92420102595919,112.50567566455071,105.25017616973801,1.03
12244.675228998516,242.5614037327001,91.11946315043699,108.90937879313924,112.50268617173346,105.25621865615442,1.04
12243.744390542095,242.55378580358396,91.09817235168703,108.89455116966889,112.49968682016086,105.26225361494977,1.05
12242.813767181342,242.54615583111175,91.07688737871541,108.87971816488903,112.49667761355867,105.26828104418381,1.06
12241.883359116993,242.5385138225621,91.05560823687192,108.86487978813724,112.49365855565733,105.27430094192101,1.07
12240.953166549509,242.53085978521517,91.03433493149396,108.85003604874778,112.49062965019195,105.28031330623055,1.08
12240.023189679076,242.52319372635262,91.01306746790662,108.83518695605157,112.48759090090229,105.28631813518636,1.09
12239.093428705606,242.5155156532576,90.99180585142271,108.82033251937618,112.48454231153278,105.29231542686708,1.1
12238.163883828742,242.50782557321477,90.97055008734269,108.80547274804583,112.48148388583249,105.29830517935605,1.11
12237.23455524785,242.50012349351024,90.94930018095475,108.7906076513814,112.47841562755514,105.30428739074135,1.12
12236.305443162022,242.49240942143157,90.92805613753481,108.7757372387004,112.47533754045908,105.31026205911579,1.1300000000000001
12235.376547770082,242.48468336426782,90.90681796234651,108.76086151931695,112.4722496283073,105.31622918257688,1.1400000000000001
12234.447869270576,242.4769453293095,90.88558566064124,108.7459805025418,112.4691518948674,105.32218875922686,1.1500000000000001
12233.519407861782,242.4691953238485,90.86435923765816,108.73109419768234,112.46604434391159,105.32814078717271,1.16
12232.591163741707,242.46143335517823,90.8431386986242,108.71620261404253,112.46292697921672,105.33408526452611,1.17
12231.66313710808,242.45365943059346,90.82192404875406,108.70130576092293,112.45979980456421,105.34002218940346,1.18
12230.735328158366,242.44587355739043,90.80071529325024,108.68640364762074,112.45666282374009,105.34595155992588,1.19
12229.807737089752,242.43807574286672,90.77951243730304,108.67149628342966,112.45351604053498,105.35187337421922,1.2
12228.88036409916,242.43026599432136,90.75831548609062,108.65658367764006,112.45035945874407,105.35778763041405,1.21
12227.953209383237,242.42244431905476,90.73712444477894,108.6416658395388,112.44719308216716,105.36369432664566,1.22
