I_1_task1,N_2_task1,_1_task1
7302363.425164876,950064282430.4012,1380.0
7300235.763517268,950317081117.0815,1382.0
7298147.124001862,950565383864.9017,1384.0
7296096.921980667,950809268230.4932,1386.0
7294084.354675967,951048810525.0181,1388.0
7292108.73036443,951284085832.3478,1390.0
7290169.369496799,951515168026.5504,1392.0
7288265.604369521,951742129789.5361,1394.0
7286396.778796359,951965042628.7035,1396.0
7284562.247780025,952183976894.585,1398.0
7282761.377183794,952399001798.4935,1400.0
7280993.543403134,952610185430.1683,1402.0
7279258.161512701,952817594249.9519,1404.0
7277554.66159539,953021293537.1866,1406.0
7275882.423776869,953221348600.6392,1408.0
7274240.870575032,953417823085.9194,1410.0
7272629.434178633,953610779590.8899,1412.0
7271047.556154751,953800279682.6499,1414.0
7269494.687156256,953986383914.52,1416.0
7267970.286629279,954169151843.0267,1418.0
7266473.822520679,954348642044.8871,1420.0
7265004.77098551,954524912133.9929,1422.0
7263562.782039219,954698016930.861,1424.0
7262147.30771447,954868012616.2517,1426.0
7260757.808222785,955034954449.6105,1428.0
7259393.803105353,955198896213.3104,1430.0
7258054.819769198,955359890799.3495,1432.0
7256740.3932348285,955517990225.8877,1434.0
7255450.065883893,955673245653.7842,1436.0
7254183.3872068245,955825707403.1344,1438.0
7252939.913550501,955975424969.8071,1440.0
7251719.2078658845,956122447041.9819,1442.0
7250520.839455684,956266821516.6858,1444.0
7249344.383721996,956408595516.331,1446.0
7248189.47116956,956547814460.2607,1448.0
7247055.959416906,956684518776.3328,1450.0
7245943.240214278,956818757207.7914,1452.0
7244850.929998494,956950573576.3544,1454.0
7243778.651679568,957080010980.4313,1456.0
7242726.03444825,957207111810.5117,1458.0
7241692.71358358,957331917764.5536,1460.0
7240678.330260428,957454469863.3707,1462.0
7239682.531357043,957574808466.0209,1464.0
7238704.969262602,957692973285.1941,1466.0
7237745.301684753,957809003402.6007,1468.0
7236803.191457164,957922937284.3593,1470.0
7235878.306347067,958034812796.3842,1472.0
7234970.452096957,958144661142.5688,1474.0
7234079.327304818,958252518052.0365,1476.0
7233204.54649207,958358422733.552,1478.0
7232345.8089106865,958462410182.3373,1480.0
7231502.818928223,958564514818.1565,1482.0
7230675.285876631,958664770498.822,1484.0
7229862.923901057,958763210533.7,1486.0
7229065.4518086575,958859867697.2168,1488.0
7228282.592917401,958954774242.3652,1490.0
7227514.074904876,959047961914.21,1492.0
7226759.629657096,959139461963.3942,1494.0
7226018.993117311,959229305159.6449,1496.0
7225291.906952571,959317521657.3564,1498.0
7224578.265234654,959404129060.3892,1500.0
7223877.713886721,959489165018.9637,1502.0
7223190.011824454,959572657842.4052,1504.0
7222514.921974385,959654635368.9097,1506.0
7221852.211148827,959735124976.9246,1508.0
7221201.64992081,959814153596.5278,1510.0
7220563.012499011,959891747720.8086,1512.0
7219936.076602688,959967933417.2471,1514.0
7219320.623336611,960042736339.094,1516.0
7218716.437065996,960116181736.7516,1518.0
7218123.305291438,960188294469.1526,1520.0
7217541.018523842,960259099015.141,1522.0
7216969.432600914,960328615003.071,1524.0
7216408.395359853,960396862476.3221,1526.0
7215857.646424933,960463869088.5103,1528.0
7215316.995733819,960529657292.0553,1530.0
7214786.256336713,960594249163.9667,1532.0
7214265.244297665,960657666415.3308,1534.0
7213753.778595874,960719930400.7971,1536.0
7213251.681026996,960781062128.0662,1538.0
7212758.77610445,960841082267.376,1540.0
7212274.890960724,960900011160.9894,1542.0
7211799.855248679,960957868832.681,1544.0
7211333.501042861,961014674997.2242,1546.0
7210875.662740796,961070449069.8783,1548.0
7210426.297397498,961125202375.3884,1550.0
7209985.18500855,961178957563.8174,1552.0
7209552.158250083,961231733733.3262,1554.0
7209127.068008883,961283548665.8918,1556.0
7208709.767677353,961334419847.6213,1558.0
7208300.11307895,961384364476.6754,1560.0
7207897.96239363,961433399471.1924,1562.0
7207503.176083287,961481541477.2118,1564.0
7207115.616817191,961528806876.5985,1566.0
7206735.149397432,961575211794.9667,1568.0
7206361.640684358,961620772109.603,1570.0
7205994.959522017,961665503457.3912,1572.0
7205635.006148425,961709418632.25,1574.0
7205281.714318276,961752527398.5176,1576.0
7204934.9021229325,961794849700.1625,1578.0
7204594.45052147,961836399855.5778,1580.0
7204260.242461523,961877191948.9364,1582.0
7203932.162817188,961917239837.0111,1584.0
7203610.098326925,961956557155.9949,1586.0
7203293.937531463,961995157328.3219,1588.0
7202983.570711694,962033053569.4879,1590.0
7202678.889826583,962070258894.8705,1592.0
7202379.788451064,962106786126.5502,1594.0
7202086.161713949,962142647900.1305,1596.0
7201797.906235822,962177856671.5586,1598.0
7201514.920066944,962212424723.9462,1600.0
7201237.127608977,962246361138.8253,1602.0
7200964.483397776,962279671335.8098,1604.0
7200696.840338507,962312373081.464,1606.0
7200434.105839091,962344477518.1747,1608.0
7200176.188753329,962375995609.9032,1610.0
7199922.999329574,962406938147.6956,1612.0
7199674.44915942,962437315755.1931,1614.0
7199430.451126386,962467138894.1431,1616.0
7199190.919354598,962496417869.9092,1618.0
7198955.769157471,962525162836.9823,1620.0
7198724.916986398,962553383804.4908,1622.0
7198498.280379428,962581090641.7113,1624.0
7198275.777909949,962608293083.5791,1626.0
7198057.329135383,962635000736.1985,1628.0
7197842.887803356,962661220127.3407,1630.0
7197632.4496671045,962686954012.977,1632.0
7197425.869688744,962712217620.1805,1634.0
7197223.076638574,962737019580.3873,1636.0
7197024.000458462,962761368384.2936,1638.0
7196828.572225195,962785272386.0635,1640.0
7196636.72411382,962808739807.5374,1642.0
7196448.389360988,962831778742.439,1644.0
7196263.502228295,962854397160.5846,1646.0
7196081.997965637,962876602912.0897,1648.0
7195903.81277454,962898403731.5779,1650.0
7195728.883771513,962919807242.3882,1652.0
7195557.14895139,962940820960.7833,1654.0
7195388.547150673,962961452300.1575,1656.0
7195223.0356096,962981706425.2925,1658.0
7195060.5956138745,963001585562.8633,1660.0
7194901.131659682,963021101319.6991,1662.0
7194744.588713256,963040260357.4695,1664.0
7194590.912639342,963059069226.6808,1666.0
7194440.050172469,963077534369.9149,1668.0
7194291.948888221,963095662125.0697,1670.0
7194146.557174509,963113458728.5978,1672.0
7194003.824202846,963130930318.7457,1674.0
7193863.699899611,963148082938.7946,1676.0
7193726.134917331,963164922540.2979,1678.0
7193591.080605945,963181454986.3224,1680.0
7193458.488984079,963197686054.6864,1682.0
7193328.312710319,963213621441.2003,1684.0
7193200.521572778,963229265356.8541,1686.0
7193075.109273853,963244619951.0897,1688.0
7192951.994781819,963259693709.6228,1690.0
7192831.136029693,963274491777.1016,1692.0
7192712.49167719,963289019212.7529,1694.0
7192596.0210895995,963303280992.9742,1696.0
7192481.684316665,963317282013.9252,1698.0
7192369.44207147,963331027094.1198,1700.0
7192259.25570931,963344520977.0182,1702.0
7192151.087206575,963357768333.6184,1704.0
7192044.899139631,963370773765.0483,1706.0
7191940.654663693,963383541805.1578,1708.0
7191838.317491714,963396076923.11,1710.0
7191737.851873256,963408383525.9736,1712.0
7191639.228111928,963420464880.1873,1714.0
7191542.425348137,963432322566.834,1716.0
7191447.397067551,963443963212.8705,1718.0
7191354.110484041,963455390802.0321,1720.0
7191262.533321485,963466609253.4994,1722.0
7191172.633795253,963477622423.9801,1724.0
7191084.380593697,963488434109.7926,1726.0
7190997.742859639,963499048048.9473,1728.0
7190912.690171863,963509467923.2302,1730.0
7190829.1925265975,963519697360.2853,1732.0
7190747.220319008,963529739935.6965,1734.0
7190666.744324687,963539599175.071,1736.0
7190587.735681136,963549278556.1217,1738.0
7190510.165869265,963558781510.7491,1740.0
7190434.026835008,963568109604.3799,1742.0
7190359.338837785,963577261826.0641,1744.0
7190286.024517314,963586245986.2261,1746.0
7190214.058486058,963595065178.4912,1748.0
7190143.415716857,963603722451.1737,1750.0
7190074.071527079,963612220809.1166,1752.0
7190006.001562777,963620563215.534,1754.0
7189939.18178285,963628752593.8517,1756.0
7189873.588443194,963636791829.5476,1758.0
7189809.198080864,963644683771.9943,1760.0
7189745.987498226,963652431236.2986,1762.0
7189683.9337471165,963660037005.144,1764.0
7189623.014113,963667503830.6307,1766.0
7189563.206099123,963674834436.1174,1768.0
7189504.487410672,963682031518.0621,1770.0
7189446.835938931,963689097747.8632,1772.0
7189390.229745437,963696035773.7006,1774.0
7189334.647046138,963702848222.377,1776.0
7189280.066195546,963709537701.1587,1778.0
7189226.4656708995,963716106799.6171,1780.0
7189173.940101281,963722545558.5594,1782.0
7189122.397445332,963728864175.106,1784.0
7189071.803088939,963735066640.1575,1786.0
7189022.139103285,963741155138.6737,1788.0
7188973.387783498,963747131827.6375,1790.0
7188925.531637133,963752998837.4286,1792.0
7188878.553372667,963758758273.1963,1794.0
7188832.435887981,963764412216.2335,1796.0
7188787.162258853,963769962725.3492,1798.0
7188742.715727444,963775411838.2424,1800.0
7188699.079690784,963780761572.8748,1802.0
7188656.237689269,963786013928.8444,1804.0
7188614.173395138,963791170888.7592,1806.0
7188572.8706009695,963796234419.6096,1808.0
7188532.313208168,963801206474.1423,1810.0
7188492.485215451,963806088992.2335,1812.0
7188453.370707335,963810883902.2621,1814.0
7188414.9538426325,963815593122.4825,1816.0
7188377.21884293,963820218562.399,1818.0
7188340.208998788,963824755438.2523,1820.0
7188303.936877857,963829202445.2614,1822.0
7188268.329593098,963833567958.0427,1824.0
7188233.374622991,963837853511.276,1826.0
7188199.059626019,963842060617.9569,1828.0
7188165.372433382,963846190770.29,1830.0
7188132.301041731,963850245440.5826,1832.0
7188099.833605886,963854226082.138,1834.0
7188067.958431565,963858134130.1482,1836.0
7188036.663968106,963861971002.5886,1838.0
7188005.938801191,963865738101.1107,1840.0
7187975.771645571,963869436811.935,1842.0
7187946.151337793,963873068506.7452,1844.0
7187917.0668289205,963876634543.5813,1846.0
7187888.50717726,963880136267.7328,1848.0
7187860.461541083,963883575012.6323,1850.0
7187832.919171356,963886952100.7491,1852.0
7187805.869404459,963890268844.482,1854.0
7187779.301654913,963893526547.0532,1856.0
7187753.210379091,963896725877.7228,1858.0
7187727.6516737435,963899859747.9281,1860.0
7187702.559948113,963902936386.0345,1862.0
7187677.926583349,963905956850.1422,1864.0
7187653.743100275,963908922181.3182,1866.0
7187630.001154511,963911833404.1877,1868.0
7187606.6925315885,963914691527.5258,1870.0
7187583.809142078,963917497544.8494,1872.0
7187561.343016704,963920252435.0095,1874.0
7187539.286301466,963922957162.7823,1876.0
7187517.631252762,963925612679.4614,1878.0
7187496.370232508,963928219923.4496,1880.0
7187475.495703256,963930779820.8503,1882.0
7187455.000223317,963933293286.06,1884.0
7187434.876441882,963935761222.3599,1886.0
7187415.117094138,963938184522.5068,1888.0
7187395.714996394,963940564069.3267,1890.0
7187376.663041198,963942900736.3048,1892.0
7187357.95419246,963945195388.1785,1894.0
7187339.581480569,963947448881.5286,1896.0
7187321.560708051,963949659156.2175,1898.0
7187303.87925345,963951827793.4308,1900.0
7187286.521364179,963953956775.7028,1902.0
7187269.481109598,963956046827.632,1904.0
7187252.752646873,963958098662.7615,1906.0
7187236.33021721,963960112984.0303,1908.0
7187220.208142069,963962090484.2234,1910.0
7187204.380819395,963964031846.4226,1912.0
7187188.842719834,963965937744.4569,1914.0
7187173.588382963,963967808843.3528,1916.0
7187158.612413505,963969645799.7856,1918.0
7187143.909477561,963971449262.5292,1920.0
7187129.474298828,963973219872.9071,1922.0
7187115.301654823,963974958265.2427,1924.0
7187101.386373107,963976665067.3099,1926.0
7187087.723327508,963978340900.7842,1928.0
7187074.307434343,963979986381.6921,1930.0
7187061.133648642,963981602120.8629,1932.0
7187048.196960373,963983188724.3783,1934.0
7187035.49994075,963984745965.6981,1936.0
7187023.053135044,963986272742.6001,1938.0
7187010.834965321,963987771476.317,1940.0
7186998.841193715,963989242684.9204,1942.0
7186987.067636163,963990686879.8457,1944.0
7186975.510159549,963992104566.2418,1946.0
7186964.164678845,963993496243.321,1948.0
7186953.027154253,963994862404.7085,1950.0
7186942.0935883485,963996203538.7922,1952.0
7186931.360023224,963997520129.0724,1954.0
7186920.822537628,963998812654.5115,1956.0
7186910.47724411,964000081589.8837,1958.0
7186900.32028616,964001327406.1248,1960.0
7186890.347835355,964002550570.682,1962.0
7186880.556088501,964003751547.8632,1964.0
7186870.941264766,964004930799.1873,1966.0
7186861.499602839,964006088783.7334,1968.0
7186852.227358056,964007225958.4908,1970.0
7186843.120799554,964008342778.7087,1972.0
7186834.1762074055,964009439698.2458,1974.0
7186825.435314145,964010511785.2255,1976.0
7186816.862608019,964011563260.358,1978.0
7186808.449647841,964012595136.7072,1980.0
7186800.19341735,964013607784.488,1982.0
7186792.090925845,964014601570.8489,1984.0
7186784.139205853,964015576860.1582,1986.0
7186776.3353108,964016534014.2913,1988.0
7186768.676312677,964017473392.9181,1990.0
7186761.159299717,964018395353.7903,1992.0
7186753.781374061,964019300253.0282,1994.0
7186746.539649426,964020188445.4082,1996.0
7186739.431248783,964021060284.6494,1998.0
7186732.453302019,964021916123.7018,2000.0
