Time,Akt,DEPTOR,iIRS,IR,IRS,mTORC1,mTORC1_DEPTOR,mTORC2,mTORC2_DEPTOR,pAkt,pDEPTOR,pIR,pIRS,pmTORC1,pmTORC2
180.0,11.751648837018662,27.44922882685697,71.26335300804188,36.82298299501006,3.6448564798804504,5.5289601664348975,118.71254161014218,6.397304687910448,193.21825348110391,88.2483511629813,10.619976081894883,13.177017004990015,25.091790512077747,125.75849822342164,0.3844418309830646
183.6,12.592501834203693,28.218924059756255,72.20991170130202,36.80277282624619,3.567899314323487,5.654523593517854,116.73019607713591,6.17844046241281,193.45110695467875,87.40749816579626,11.599772908427056,13.197227173753888,24.222188984374576,127.61528032934494,0.3704525829059021
187.2,13.477560252530852,28.922692383240918,73.12915199614686,36.78400286701424,3.4959054263103426,5.797426687026491,114.81852926873879,5.991307490217451,193.65017411962808,86.5224397474691,12.608604228390204,13.215997132985844,23.374942577542896,129.38404404423346,0.3585183901519213
190.8,14.405588116687836,29.56247282175222,74.02144742532191,36.76656984681304,3.428282225605052,5.9591081143854066,112.9772555851432,5.831128330065569,193.82053725983107,85.5944118833121,13.639734333271461,13.233430153187042,22.55027034907314,131.0636363004701,0.34833441010078287
194.4,15.375697108507376,30.14104762510776,74.88701621787105,36.75037798771918,3.3646591249348017,6.141370079728429,111.20634295627386,5.693826263749628,193.9665376137267,84.62430289149256,14.686071804889655,13.249622012280897,21.748324657194246,132.65228696399643,0.33963612252111464
198.0,16.387181974129405,30.661762470552745,75.72601295167203,36.73533847183898,3.3047831098526346,6.346386019854843,109.50605796763965,5.575960391318716,194.09184144306272,83.61281802587052,15.740338118742843,13.264661528161094,20.969203938475438,134.1475560125042,0.3321981656159946
201.6,17.439396859700683,31.128275495065562,76.53856838118777,36.7213688714579,3.2484714472452683,6.576718862517337,107.8770055261314,5.474639353443226,194.19953031142475,82.56060314029924,16.79518866737624,13.27863112854217,20.212960171567037,135.54627561134993,0.3258303351294529
205.2,18.531665422895422,31.5443651527583,77.32480549377125,36.708392714991916,3.19559143252109,6.835361476618389,106.32017248107695,5.387451727873701,194.2921754460453,81.4683345771045,17.843286920117432,13.291607285008148,19.47960307370774,136.84446604230337,0.32037282607843554
208.8,19.663215103620118,31.91375478129312,78.08484686824687,36.69633904919327,3.146049435653288,7.1257709745181925,104.8369723956082,5.312381205864682,194.37192587971114,80.33678489637978,18.877346943385483,13.303660950806803,18.76910369609992,138.03725662987233,0.3156929144215912
212.4,20.833126560950287,32.2400058516361,78.81881596989788,36.685142025093675,3.099786491301635,7.451920217500256,103.42928989409661,5.24775114312969,194.44056955533748,79.16687343904961,19.890134698927746,13.314857974906394,18.08139753880057,139.11878988840184,0.31167930153024526
216.0,22.04030306763291,32.5264270702013,79.52683649050105,36.67474053288527,3.0567760078515454,7.818341476014585,102.09953069657392,5.192163657143764,194.49959625778615,77.95969693236698,20.874445975436583,13.325259467114801,17.41638750164748,140.08212782741018,0.30824008506751405
219.6,23.283444667263264,32.776025858965525,80.2090300583115,36.665077861063295,3.017023070161794,8.230178068606913,100.8506735297379,5.144460067360832,194.5502414404363,76.71655533273665,21.82305917085821,13.334922138936772,16.773946871526782,140.9191484016539,0.305298492200275
223.2,24.561036881093813,32.99147481206279,80.86551299191248,36.65610136550985,2.980564467695125,8.693221853435144,99.68632242558915,5.10368003846006,194.59352879776162,75.43896311890609,22.728673964584342,13.34389863449022,16.15392254039248,141.6204557209744,0.3027911637757069
226.8,25.871345277792265,33.17510246480199,81.49639243754301,36.647762131440686,2.94746904103135,9.213933632643885,98.61075099155362,5.069030477937679,194.63030392348597,74.12865472220764,23.58384262015635,13.352237868559373,15.556138521425737,142.17531537580118,0.30066559857374414
230.4,27.21240419284565,33.32887808719311,82.10176132303347,36.64001484237379,2.9178401326285717,9.799474282650921,97.62898077746381,5.039866183328748,194.66125498689667,72.78759580715426,24.380886148444358,13.359985157626278,14.980398544338028,142.57154493988398,0.29887882977200053
234.0,28.582028573241764,33.454432042099356,82.68169338429063,36.63281736472251,2.891815902210987,10.457639677826657,96.74680052437559,5.0156565019373165,194.6869471984898,71.41797142675813,25.111820235033154,13.367182635277551,14.426490713498467,142.79555979779641,0.29739629957027824
237.6,29.977811578398416,33.553069829963604,83.23623747536584,36.626130588478034,2.869571733551549,11.196834327738765,95.97080874232735,4.995982770572807,194.70782809939732,70.02218842160151,25.768293328309593,13.373869411522028,13.894190791082702,142.83235692993253,0.2961891300272509
241.2,31.397136689564068,33.62578508756807,83.76541103771733,36.61991819394449,2.85132265668896,12.025946931213529,95.30843225279236,4.980512575423723,194.7242521253388,68.60286331043585,26.341530534298617,13.380081806055566,13.383266305593807,142.66562081599275,0.2952352992348352
244.8,32.837181302322556,33.67328531289615,84.26919322275359,36.61414646970398,2.8373261094461237,12.954202230849228,94.7679253878244,4.968993702675103,194.73648876345212,67.16281869767738,26.822300535825143,13.38585353029607,12.89348066780037,142.27787238132495,0.29451753387015106
248.4,34.294927192751956,33.69601808591201,84.74751827026185,36.60878412255316,2.8278840784567922,13.990955306318858,94.3583350845374,4.961242269445689,194.744734705161,65.70507280724797,27.200912124387422,13.39121587744689,12.42459765128146,141.65070960914238,0.2940230253906873
252.0,35.76717859358839,33.69420265979788,85.20026761895173,36.60380202578536,2.823346867677966,15.145455491266782,94.08940424365323,4.9571333916387905,194.7491239028693,64.23282140641153,27.467269193677414,13.396197974214681,11.976385513370397,140.7651402650786,0.2937427054892798
255.6,37.25056434678049,33.66784159887572,85.62725683402762,36.59917316501399,2.824121599373205,16.42658173462565,93.97150063125211,4.956597600224909,194.74973160436684,62.74943565321944,27.61092616550313,13.400826834986054,11.548621566599264,139.6019176341208,0.2936707954056127
259.2,38.741554136960005,33.616744158485574,86.02822743907129,36.59487244341533,2.830675338155309,17.84256657794093,94.01545668154965,4.959612378881533,194.746582876165,61.25844586303993,27.621216283797636,13.405127556584706,11.141097222773475,138.141976740508,0.29380474495087866
262.8,40.23646678618808,33.54053440899968,86.40283781935298,36.59087658697998,2.8435378208240665,19.400720622256102,94.23238312346724,4.966200573192062,194.73965439647304,59.763533213811854,27.4874280710579,13.409123413020057,10.753624359823036,136.36689625427528,0.2941450303322997
266.4,41.73148531044405,33.438640798086944,86.75064129242865,36.587163960330074,2.863318859324756,21.107229915485473,94.63342867474424,4.976429371087372,194.7288763155017,58.268514689555886,27.199054211665,13.412836039669967,10.386039848246654,134.2593414097689,0.2946943134083513
270.0,43.22266941013798,33.31025471809548,87.07106626593833,36.583714461224375,2.890721733145896,22.966991108414238,95.22952829829578,4.990411728869743,194.71413010929118,56.77733058986195,26.74608687431546,13.416285538775664,10.038212000915854,131.8034805932886,0.2954581618365048
273.6,44.70596361142305,33.154255052232806,87.3633914330676,36.58050941554673,2.9265606530548847,24.98351793956437,96.03112114333088,5.008314539676858,194.6952405489478,55.29403638857688,26.11938325548643,13.419490584453314,9.710047913877585,128.98536091710338,0.2964449113727807
277.2,46.177204609184834,32.969075763796425,87.62671212714403,36.57753147620717,2.9717859710031185,27.1589283157489,97.04783952137892,5.030371670251689,194.67196195003692,53.8227953908151,25.311122764785683,13.42246852379287,9.401501901852932,125.79323216287081,0.2976663797088498
280.8,47.63212244091926,32.75250876327524,87.85990259174949,36.57476454272982,3.0275104155237598,29.494009125290088,98.28815308605529,5.056910546243552,194.64395045463223,52.36787755908067,24.31538769603519,13.42523545727021,9.112586992726849,122.21783778865328,0.2991389991216649
284.4,49.06633677842117,32.50140197339119,88.06155958584839,36.57219365004577,3.095055084341355,31.98840815793808,99.75901824603788,5.088384415828509,194.61073020186473,50.93366322157877,23.128849578704152,13.427806349954261,8.843385329810358,118.25257359602271,0.30088538230421413
