H_c_1_task1,L_c_2_task1,_1_task1
0.0016958228137198795,0.015526505955053435,8.12
0.0016977423983616465,0.015521486508308733,8.14
0.001699652180206495,0.015516465856721772,8.16
0.0017015521951104814,0.015511444030931758,8.18
0.001703442478814463,0.015506421060612629,8.2
0.0017053230669440997,0.015501396974473058,8.22
0.0017071939950098522,0.015496371800256455,8.24
0.0017090552984069837,0.015491345564740968,8.26
0.0017109070124155595,0.015486318293739471,8.28
0.001712749172200443,0.015481290012100624,8.3
0.001714581812771409,0.015476260763290176,8.32
0.0017164049690156303,0.015471230593441842,8.34
0.0017182186757390928,0.015466199531029358,8.36
0.00172002296763191,0.015461167603892165,8.38
0.0017218178792683225,0.015456134839235395,8.4
0.0017236034451066984,0.015451101263629866,8.42
0.0017253796994895338,0.015446066903012081,8.44
0.0017271466766434524,0.01544103178268425,8.46
0.0017289044106792051,0.015435995927314263,8.48
0.0017306529355916702,0.0154309593609357,8.5
0.001732392285259854,0.015425922106947843,8.52
0.0017341224934468906,0.015420884188115653,8.54
0.0017358435938000412,0.015415845626569788,8.56
0.0017375556198506944,0.015410806443806595,8.58
0.001739258605014367,0.015405766660688113,8.6
0.001740952582590703,0.015400726297442078,8.62
0.0017426375857634738,0.015395685373661906,8.64
0.0017443136476005786,0.015390643908306714,8.66
0.0017459808011750623,0.015385601928234238,8.68
0.0017476390795940948,0.015380559470244146,8.7
0.0017492885156388074,0.01537551655568307,8.72
0.0017509291419704606,0.0153704732049815,8.74
0.0017525609911368974,0.015365429438108567,8.76
0.00175418409557254,0.015360385274572055,8.78
0.0017557984875983912,0.01535534073341839,8.8
0.0017574041994220346,0.015350295833232646,8.82
0.0017590012631376341,0.01534525059213854,8.84
0.0017605897107259344,0.01534020502779844,8.86
0.0017621695740542604,0.01533515915741335,8.88
0.0017637408848765175,0.015330112997722935,8.9
0.0017653036748331915,0.015325066565005496,8.92
0.0017668579754513494,0.015320019875077978,8.94
0.001768403818144638,0.01531497294329598,8.96
0.001769941234213284,0.015309925784553736,8.98
0.0017714702548440966,0.015304878413284142,9.0
0.0017729909111104634,0.015299830843458727,9.02
0.0017745032339723538,0.01529478308858767,9.04
0.001776007254276317,0.015289735161719796,9.06
0.0017775030027554833,0.015284687075442581,9.08
0.0017789905103370804,0.015279638853353192,9.1
0.0017804698079762406,0.01527459052385916,9.12
0.001781940926169244,0.015269542102021262,9.14
0.0017834038953023542,0.015264493602565836,9.16
0.001784858745652997,0.01525944503992882,9.18
0.001786305507389762,0.015254396428255719,9.2
0.001787744210572401,0.015249347781401626,9.22
0.0017891748851518294,0.015244299112931212,9.24
0.0017905975609701246,0.01523925043611874,9.26
0.0017920122677605283,0.015234201763948034,9.28
0.001793419035147444,0.015229153109112518,9.3
0.0017948178926464387,0.01522410448401519,9.32
0.001796208869664242,0.015219055900768627,9.34
0.0017975919954987467,0.01521400737119499,9.36
0.001798967299339009,0.01520895890682602,9.38
0.0018003348102652468,0.015203910518903045,9.4
0.001801694557248842,0.015198862218376965,9.42
0.0018030465691523396,0.015193814015908266,9.44
0.0018043908747294463,0.015188765921867017,9.46
0.001805727502625033,0.015183717946332866,9.48
0.00180705648137726,0.015178670099130978,9.5
0.0018083778399019378,0.01517362239801798,9.52
0.0018096916069755586,0.015168574859944897,9.54
0.0018109978109342448,0.015163527495969303,9.56
0.0018122964800109235,0.015158480316953701,9.58
0.0018135876423353264,0.015153433333565522,9.6
0.00181487132593399,0.01514838655627712,9.62
0.0018161475587302554,0.015143339995365785,9.64
0.0018174163685442675,0.015138293660913722,9.66
0.0018186777830929768,0.015133247562808077,9.68
0.0018199318299901381,0.015128201710740913,9.7
0.0018211785367463105,0.015123156114209224,9.72
0.0018224179307688578,0.015118110782514934,9.74
0.0018236500393619482,0.015113065724764889,9.76
0.001824874889726555,0.015108020949870866,9.78
0.0018260925089604563,0.015102976466549572,9.8
0.001827302924058233,0.015097932283322638,9.82
0.0018285061619112732,0.015092888408516619,9.84
0.001829702249307767,0.015087844850263002,9.86
0.0018308912129327117,0.0150828016164982,9.88
0.0018320730793679066,0.015077758714963554,9.9
0.001833247875110617,0.015072716153387886,9.92
0.001834415627164305,0.015067673945266782,9.94
0.0018355763622061143,0.015062632101717894,9.96
0.0018367301065438093,0.015057590631059653,9.98
0.0018378768863881066,0.01505254954147556,10.0
0.001839016727852674,0.015047508841014181,10.02
0.00184014965695413,0.015042468537589138,10.04
0.001841275699612045,0.01503742863897912,10.06
0.0018423948816489412,0.015032389152827886,10.08
0.001843507228790292,0.015027350086644246,10.1
0.0018446127666645214,0.01502231144780208,10.12
0.001845711520803006,0.015017273243540335,10.14
0.0018468035166400733,0.015012235480963018,10.16
0.0018478887795130021,0.015007198167039194,10.18
0.0018489673346620225,0.015002161308602999,10.2
0.0018500392072303168,0.014997124912353629,10.22
0.0018511044222640177,0.014992088984855342,10.24
0.00185216300471221,0.014987053532537466,10.26
0.0018532149794269295,0.014982018561694383,10.28
0.0018542603711631637,0.014976984078485548,10.3
0.0018552992045788516,0.014971950088935466,10.32
0.0018563315042841835,0.014966916599326693,10.34
0.0018573572954153443,0.014961883620773036,10.36
0.0018583766026533171,0.014956851161398572,10.38
0.0018593894504030015,0.014951819227765381,10.4
0.0018603958629782023,0.014946787826348059,10.42
0.0018613958646016295,0.014941756963533713,10.44
0.0018623894794048963,0.014936726645621968,10.46
0.001863376731428521,0.014931696878824964,10.48
0.0018643576446219264,0.014926667669267351,10.5
0.00186533224284344,0.014921639022986297,10.52
0.0018663005498602931,0.014916610945931486,10.54
0.0018672625893486224,0.014911583443965115,10.56
0.0018682183848934685,0.014906556522861898,10.58
0.0018691679599887763,0.014901530188309057,10.6
0.0018701113380373959,0.014896504445906338,10.62
0.0018710485423510817,0.014891479301165994,10.64
0.0018719795961504918,0.0148864547595128,10.66
0.00187290452256519,0.014881430826284039,10.68
0.0018738233446336432,0.01487640750672951,10.7
0.0018747360853032244,0.01487138480601153,10.72
0.00187564276743021,0.01486636272920493,10.74
0.0018765434138773808,0.014861341281724469,10.76
0.0018774380480362813,0.014856320471611952,10.78
0.0018783266927432584,0.014851300304789275,10.8
0.0018792093706281,0.014846280786585201,10.82
0.0018800861042355369,0.014841261922267444,10.84
0.0018809569160252433,0.014836243717042688,10.86
0.0018818218283718359,0.01483122617605657,10.88
0.0018826808635648755,0.014826209304393689,10.9
0.0018835340438088644,0.0148211931070776,10.92
0.00188438139122325,0.014816177589070825,10.94
0.0018852229278424214,0.014811162755274838,10.96
0.0018860586756157115,0.014806148610530076,10.98
0.0018868886564073965,0.014801135159615939,11.0
0.001887712891996695,0.014796122407250778,11.02
0.0018885314040777697,0.01479111035809191,11.04
0.0018893442142597252,0.014786099016735612,11.06
0.0018901513440666106,0.014781088387717118,11.08
0.0018909528149374168,0.014776078475510622,11.1
0.001891748648226079,0.014771069284529278,11.12
0.0018925388652014754,0.0147660608191252,11.14
0.0018933234870474262,0.01476105308358946,11.16
0.0018941025350191574,0.014756046082578977,11.18
0.0018948760308310603,0.014751039822174473,11.2
0.001895643995607644,0.014746034307018282,11.22
0.0018964064503269506,0.014741029541524136,11.24
0.0018971634158878171,0.0147360255300607,11.26
0.0018979149131098797,0.014731022276951576,11.28
0.0018986609627335699,0.014726019786475288,11.3
0.0018994015854201182,0.014721018062865302,11.32
0.0019001368017515505,0.014716017110310009,11.34
0.0019008666322306912,0.014711016932952733,11.36
0.001901591097281161,0.01470601753489173,11.38
0.0019023102172473789,0.014701018920180187,11.4
0.0019030240123945592,0.014696021092826226,11.42
0.0019037325029087149,0.014691024056792894,11.44
0.0019044357088966557,0.014686027815998173,11.46
0.0019051336503859888,0.01468103237431498,11.48
0.0019058263473251177,0.014676037735571159,11.5
