Time,P,I,M,T,U,beta,gamma,beta0,mu,a,b,n,alpha,alpha0,Q0,delta_0,theta_0,delta_1,k1,n1,compartment,increase_in_the_amount_of_pathogenic_micro_organism,Decrease_in_the_amount_of_pathogenic_micro_organism,Increase_of_appropriate_immune_response_with_respect_to_pathogen,Reduction_of_immune_response,betterment_of_relative_characteristics_of_the_damaged_part_of_the_organ,removal_of_relative_characteristics_of_the_damaged_part_of_the_organ,Increase_in_the_concentration_of_toxicant_in_the_environment,Decrease_in_the_concentration_of_toxicant_in_the_environment,Increase_in_the_uptake_concentration_of_toxicant_by_the_body,Decrease_in_the_uptake_concentration_of_toxcant_by_the_body
10.0,2.472457177287149,0.001260304718702027,32.82915559802525,12.289370192591331,105.95568483296503,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2362285886435744,1.2227647011761134,0.04093481483419711,0.04108475889268543,5.933897225489157,3.2829155598025253,5.0,4.9157480770365325,14.747244231109597,2.199235566400275
10.5,2.478430111069771,0.001189755739759942,34.1257215896795,12.327550904309312,112.21022437246793,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2392150555348855,1.2286705994139757,0.04088461793507174,0.04101737577612754,5.948232266567451,3.4125721589679503,5.0,4.931020361723725,14.793061085171175,2.324306142553495
11.0,2.4831056564643883,0.0011270942813662631,35.365248498237854,12.35881063785576,118.42319550557576,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2415528282321942,1.2333026749423597,0.04083960825562877,0.04095790082665618,5.959453575514532,3.5365248498237856,5.0,4.943524255142304,14.830572765426911,2.448548373972787
11.5,2.486762566699281,0.00107109936071537,36.54917047436095,12.384403927945794,124.59126625476337,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2433812833496405,1.2369307911171314,0.040799070938632755,0.04090508502840816,5.968230160078274,3.6549170474360952,5.0,4.953761571178318,14.861284713534952,2.571895100476985
12.0,2.489621052619243,0.0010207847096286565,37.67914201654118,12.40535799564206,130.71181644136962,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2448105263096214,1.2397696654841537,0.040762410130985,0.04085792168056065,5.975090526286182,3.767914201654118,5.0,4.9621431982568245,14.88642959477047,2.694293502982075
12.5,2.491854461480629,0.000975345801791519,38.75696635235172,12.422513628558564,136.7828086015229,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2459272307403144,1.2419892524295673,0.04072912593630418,0.04081559017839609,5.980450707553509,3.875696635235172,5.0,4.969005451423426,14.907016354270276,2.815702494906507
13.0,2.4935990440879334,0.0009341205015800341,39.78453856200183,12.436559460284206,142.802679767564,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2467995220439667,1.2437237046347411,0.040698796596940874,0.040777416266648,5.98463770581104,3.9784538562001828,5.0,4.974623784113683,14.923871352341047,2.93609054186215
13.5,2.494961610614519,0.0008965593654226871,40.76380287008257,12.448059169292604,148.77025560095893,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2474808053072595,1.2450785317479574,0.040671064359509956,0.04074284168493999,5.987907865474845,4.0763802870082575,5.0,4.979223667717042,14.937671003151124,3.0554339315923986
14.0,2.496025839691461,0.0008622029990526925,41.69671951382945,12.457474448230135,154.68467791343627,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2480129198457306,1.2461366025297278,0.040645624289408495,0.04071140076540499,5.9904620152595065,4.169671951382945,5.0,4.982989779292055,14.94896933787616,3.173715314191404
14.5,2.496857133228822,0.0008306645670027517,42.58523982366054,12.465183061383875,160.5453476512424,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.248428566614411,1.2469628112886026,0.04062221522483238,0.04068270141465705,5.992457119749173,4.258523982366054,5.0,4.98607322455355,14.95821967366065,3.290922552039463
15.0,2.4975066036211007,0.0008016162342077339,43.43128786352607,12.471494305974128,166.3518761412723,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2487533018105503,1.2476079491181262,0.04060061255155111,0.04065641254828613,5.994015848690641,4.343128786352607,5.0,4.988597722389652,14.965793167168952,3.407047741528901
15.5,2.4980141958393767,0.0007747784764950323,44.23674670326691,12.47666151308818,172.10404565431793,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2490070979196883,1.2481117549046552,0.04058062228987462,0.040632252906565774,5.9952340700145035,4.423674670326691,5.0,4.990664605235272,14.971993815705815,3.522086419260769
16.0,2.498411091057351,0.0007499116008183163,45.003448964329166,12.480892090484385,177.80177773854746,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2492055455286755,1.2485052753567165,0.04056207623823912,0.04060998194963562,5.996186618537642,4.5003448964329165,5.0,4.992356836193754,14.977070508581262,3.636036924234303
16.5,2.4987216037219095,0.0007268089719033764,45.733170234772615,12.484355768328752,183.44510722898468,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2493608018609548,1.2488127352453122,0.04054482798396217,0.04058939257966297,5.996931848932583,4.573317023477261,5.0,4.993742307331502,14.981226921994502,3.7488998744511752
17.0,2.4989647160482003,0.0007052915845339151,46.42762456322356,12.487191564202961,189.0341602985397,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2494823580241001,1.2490530553499861,0.040528749635282794,0.04057030649594706,5.99751531851568,4.642762456322356,5.0,4.994876625681185,14.984629877043552,3.860677727439591
17.5,2.4991552365629106,0.000685203643763409,47.08846220442212,12.489513320092113,194.56913703997137,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2495776182814553,1.249241000801685,0.04051372908232699,0.04055256956548998,5.997972567750986,4.708846220442212,5.0,4.9958053280368455,14.987415984110536,3.9713744297976414
