T,DNK_B,DNK_G,H_HH,NCLI,NGL_C,NGL_C_E,NGL_C_G,NGL_C_I,NGL_E,NGL_E_G,NGL_E_I,NGL_REL,NKI,N_HH,R_AMPA,R_NMDA,V,_CLE,_CLI,_ECL,_EK,_ENA,_GL_C,_GL_E,_KE,_KI,_NAE,_NAI,_VL_E,_VL_G,_VL_I
22.4,-57.650154,35.660675,0.98153013,67.470726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.6622,0.064074837,0.0,0.0,-68.185036,119.74155,9.0904036,-68.681015,-89.657654,67.271103,0.0,0.0,4.9783382,144.11676,156.21837,12.504186,2476.1726,7601.6353,7422.1924
22.799999,-58.642063,36.355194,0.98135877,67.48941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.9382,0.064402543,0.0,0.0,-68.122101,119.55466,9.0943966,-68.627708,-89.612686,67.378059,0.0,0.0,4.9888458,144.17734,156.43735,12.471537,2475.2395,7603.7725,7420.9883
23.200001,-59.632553,37.050304,0.98118621,67.508446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.2123,0.064730868,0.0,0.0,-68.059319,119.36773,9.0984325,-68.574203,-89.567665,67.484489,0.0,0.0,4.9993711,144.23758,156.65613,12.439186,2474.2979,7605.9136,7419.7886
23.6,-60.621624,37.745968,0.9810124,67.527824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.4844,0.065060057,0.0,0.0,-67.996658,119.18074,9.1025105,-68.5205,-89.522606,67.590385,0.0,0.0,5.0099144,144.29749,156.87474,12.407126,2473.3477,7608.0586,7418.5938
24.0,-61.609268,38.442139,0.98083746,67.547531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.7545,0.065389886,0.0,0.0,-67.934135,118.9937,9.1066284,-68.466614,-89.477501,67.695763,0.0,0.0,5.0204759,144.35707,157.09315,12.375352,2472.3894,7610.208,7417.4028
24.4,-62.595486,39.138779,0.98066121,67.567558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.0228,0.065720625,0.0,0.0,-67.871712,118.80661,9.1107855,-68.412537,-89.432358,67.800629,0.0,0.0,5.0310564,144.41634,157.31139,12.343858,2471.4233,7612.3604,7416.2163
24.799999,-63.580269,39.83585,0.98048377,67.587883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.2893,0.066052034,0.0,0.0,-67.809433,118.61948,9.1149797,-68.358284,-89.387161,67.904991,0.0,0.0,5.0416565,144.4753,157.52945,12.312637,2470.4495,7614.5161,7415.0342
25.200001,-64.563614,40.533314,0.98030502,67.608505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.5538,0.066384397,0.0,0.0,-67.747246,118.4323,9.1192093,-68.303856,-89.341919,68.008865,0.0,0.0,5.0522757,144.53394,157.74731,12.281685,2469.4685,7616.6753,7413.8564
25.6,-65.545517,41.231136,0.98012507,67.62941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.8167,0.066717468,0.0,0.0,-67.685188,118.24509,9.1234741,-68.249252,-89.296623,68.112251,0.0,0.0,5.0629158,144.59229,157.965,12.250996,2468.4802,7618.8374,7412.6821
26.0,-66.52597,41.929276,0.97994369,67.650589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0778,0.067051522,0.0,0.0,-67.623215,118.05785,9.1277714,-68.194489,-89.251282,68.215164,0.0,0.0,5.073576,144.65033,158.1825,12.220565,2467.4851,7621.0024,7411.5127
26.4,-67.504974,42.627701,0.97976112,67.672035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.337,0.067386322,0.0,0.0,-67.561371,117.87057,9.1321011,-68.139557,-89.205887,68.317604,0.0,0.0,5.0842576,144.70808,158.39983,12.190388,2466.4834,7623.1699,7410.3467
26.799999,-68.482529,43.326374,0.97957718,67.693733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.5946,0.067722157,0.0,0.0,-67.499596,117.68325,9.1364622,-68.084473,-89.160446,68.419586,0.0,0.0,5.0949607,144.76555,158.61696,12.160458,2465.4753,7625.3398,7409.1846
27.200001,-69.458626,44.025265,0.97939193,67.715675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.8506,0.068058729,0.0,0.0,-67.437943,117.49592,9.140852,-68.029236,-89.114944,68.521111,0.0,0.0,5.1056862,144.82272,158.83391,12.130772,2464.4612,7627.5122,7408.0269
27.6,-70.433266,44.724342,0.97920519,67.737854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.1049,0.068396479,0.0,0.0,-67.376343,117.30855,9.1452703,-67.973846,-89.069389,68.622185,0.0,0.0,5.1164341,144.87962,159.05066,12.101324,2463.4409,7629.6865,7406.8726
28.0,-71.406433,45.423569,0.97901726,67.760254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.3575,0.068734847,0.0,0.0,-67.314873,117.12116,9.1497164,-67.918312,-89.023773,68.722824,0.0,0.0,5.1272054,144.93625,159.26724,12.072111,2462.4148,7631.8633,7405.7222
28.4,-72.378136,46.122921,0.9788276,67.782875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.6086,0.069074675,0.0,0.0,-67.253426,116.93376,9.1541882,-67.862633,-88.978111,68.823029,0.0,0.0,5.1379986,144.9926,159.48364,12.043128,2461.3831,7634.0415,7404.5752
28.799999,-73.348366,46.822361,0.97863692,67.80571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.8582,0.069414832,0.0,0.0,-67.192139,116.74634,9.1586857,-67.806816,-88.932373,68.922806,0.0,0.0,5.148818,145.04869,159.69984,12.014371,2460.3462,7636.2217,7403.4321
29.200001,-74.317116,47.521866,0.97844428,67.828743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.1061,0.069756962,0.0,0.0,-67.130798,116.5589,9.1632071,-67.750862,-88.886597,69.022171,0.0,0.0,5.1596589,145.10451,159.91586,11.985835,2459.304,7638.4033,7402.293
29.6,-75.284393,48.221405,0.97825086,67.851974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.3525,0.070098855,0.0,0.0,-67.069695,116.37145,9.1677523,-67.694771,-88.840736,69.121117,0.0,0.0,5.1705275,145.16008,160.1317,11.957518,2458.2568,7640.5864,7401.1567
30.0,-76.250191,48.920952,0.97805494,67.875381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.5974,0.070443653,0.0,0.0,-67.008408,116.18399,9.1723185,-67.638557,-88.794846,69.219658,0.0,0.0,5.181416,145.21539,160.34734,11.929413,2457.2046,7642.771,7400.0244
30.4,-77.214493,49.620472,0.97785717,67.898979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.8408,0.070789978,0.0,0.0,-66.947121,115.99653,9.1769075,-67.582214,-88.748833,69.31778,0.0,0.0,5.1923409,145.27045,160.56279,11.901522,2456.1479,7644.9565,7398.8955
